g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
504,Alfalfa,Sacramento River,70.98981104,281.5123622,5.816,3.537610105,0.306290873,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.8805053,1459.7306635671998,8.782609004864433,1459.7306635671998,462.5644357,997.1662278,-4.882352941,0.016991956642634535,0.9830038718344225,2.33320998647521e-06,1.838312956552182e-06,2.5842559829855847,0.007573402,76933.98824394276,70.98978073580753,251.13400947068195,3.0304192478070036e-05,0.000263416,4.268808725380998e-07,1.0489068641086967e-06,GOOD,295.5879803,1388.978461
504,Almonds & Pistachios,Sacramento River,21373.05871,4875.270912,1.0765,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,5066.86471,27.559503026800332,5066.86471,462.5644357,4604.300274,-4.882352941,0.050273474,0.9497226237365777,2.9674700150689114e-06,9.350808452654472e-07,0.5876875118039717,0.00011697,3231329.284364393,21373.058256662156,77235.18288990113,0.000453338,0.055244731,2.121071444441313e-08,7.152788373897689e-07,GOOD,5119.034458,4994.591257
504,Citrus & Subtropical,Sacramento River,199.9356254,976.2944426,3.515,2.972946835,0.183365181,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50,148.6473418,3282.341366,21.885643184713164,3282.341366,462.5644357,2819.776931,-4.882352941,0.097544508,0.9024405480475707,3.919090529531461e-06,1.1025015967966599e-05,2.2021515988638782,0.038473922,33.44642835464734,199.93562431499387,594.3975952700781,1.0850061187284155e-06,0.000389467,5.426777326740568e-09,6.552286641954296e-07,GOOD,1025.109165,3222.88243
504,Corn,Sacramento River,677.5969739,226.6500745,5.869375,2.826875063,0.234536008,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.3437532,1188.0707669114377,8.908139714155162,1188.0707669114377,462.5644357,725.5063312,-4.882352941,0.049995016,0.9499778377442867,2.3415560108496566e-05,3.7306889016925837e-06,3.251974599566676,0.004919345,5262.910915426955,677.5969489797578,1915.480513237105,2.4920242140069604e-05,0.001475045,3.6777381098144256e-08,7.700647021887177e-07,GOOD,237.9825782,1131.533266
504,Cucurbits,Sacramento River,36.94838987,202.6283347,12.01,1.97136542,0.087908733,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50,98.568271,2334.027768,23.284271465251383,2334.027768,462.5644357,1871.463332,-4.882352941,0.4627022836259309,0.5371228037884895,4.5352453378344764e-05,0.00012956,10.344317035693244,0.5412955766237291,7.126521602898097e-06,36.948389949157246,72.83875764521908,-7.92E-08,2.0469177215431955e-05,2.1423733583441085e-09,2.810203266079542e-07,GOOD,212.7597514,2294.60046
504,Dry Beans,Sacramento River,85.45005407,1522.772293,1.682,2.293810917,0.272510229,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50,114.6905459,2445.7502399499995,21.110151357712667,2445.7502399499995,462.5644357,1983.185804,-4.882352941,0.2702195621354576,0.7297152918264916,5.341593021106044e-05,1.1730107839734165e-05,1.298754649314051,0.006965918,157013.16967377896,85.45005525236077,196.00616242512274,-1.18E-06,0.000104459,1.383686399342284e-08,5.329364473273504e-07,GOOD,1598.910908,2399.874022
504,Grain,Sacramento River,1216.831099,215.9600053,2.6543,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000004,532.8187119,13.511713442650427,532.8187119,462.5644357,70.25427622,-4.882352941,0.976182696,0.022720017621640644,0.000890478,0.000206808,2.6807040612550623,0.00111055,16459.54089823674,1216.835089725008,960.1584481343182,-0.003990725,-0.002488723,3.2796047136138147e-06,2.5919989897226834e-06,GOOD,226.7580056,517.0374591
504,Other Deciduous,Sacramento River,50328.39675,1888.596785,2.0305,3.327741402,0.215021845,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50,166.3870701,3667.5055479764997,21.831439775054143,3667.5055479764997,462.5644357,3204.941112,-4.882352941,0.05857837,0.9414106399732124,5.455054293304816e-06,5.5353281861828724e-06,1.145972689746101,0.000152842,9569.271015589717,50328.39636669361,167479.77091883792,0.000383306,0.11864241931471042,7.616105698163149e-09,7.083980030409317e-07,GOOD,1983.026624,3600.95072
504,Pasture,Sacramento River,7517.628742,191.4002352,5,3.965593094,0.350906068,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50,198.2796547,758.0255349,4.580609397044774,758.0255349,462.5644357,295.4610992,-4.882352941,0.004565276,0.9954326470320928,1.1438467227186387e-06,9.334684148075427e-07,1.7389061209628525,0.000260825,159627.98743448858,7517.624677837352,29811.815327911587,0.004064163,0.04129462,5.406176319420225e-07,1.3851743634731703e-06,GOOD,200.970247,678.713673
504,Safflower,Sacramento River,151.5246813,563.5408044,1.0316,2.357007476,0.396694215,0.424242424,0.112947658,0.74,0.17,212.2655769,227.006242,60.43672676,50,117.85037380000001,462.56443572203995,4.661100987242545,462.56443572203995,462.5644357,0,-4.882352941,0.056362595457104134,0.9435720050410424,5.164883739355193e-05,1.3750664459772452e-05,0.5997154436801151,0.008918358,11.515598942594865,151.52575128681428,357.1470646696815,-0.001069987,-0.002258047,7.06146883205155e-06,6.322497267903335e-06,GOOD,591.7178446,415.4242862
504,Sunflowers,Sacramento River,101.3126958,3711.716055,0.583,2.873453662,0.386904762,0.388227513,0.177248677,0.74,0.17,734.0697039,736.5793439,336.2917618,50,143.6726831,2019.3053960129996,14.249854725747014,2019.3053960129996,462.5644357,1556.74096,-4.882352941,0.075142376,0.9248365852798042,1.444395160762437e-05,6.594512823987935e-06,0.34798787504111056,0.013338421,30222.85119005075,101.31269108097074,291.1171452311136,4.719029263355878e-06,0.000191522,4.657885397375714e-08,6.578876083342697e-07,GOOD,3897.301858,1961.836323
504,Truck Crops,Sacramento River,161.4988504,4569.754449,5.564927083,2.662234731,0.139554281,0.396137579,0.419814805,0.33,0.17,7441.94487,27484.23099,27982.75263,50,133.1117366,25296.28305268484,180.65099761431182,25296.28305268484,462.5644357,24833.71862,-4.882352941,0.614565548,0.38541462847437613,9.62398961427327e-06,1.0199217487614722e-05,5.042244147194352,0.018763619820188083,63926.90622562703,161.4988502789232,429.9475876,1.2107682323403424e-07,0.000260926,7.497070284658462e-10,6.068786648438065e-07,GOOD,4798.242171,25243.03836
504,Vineyard,Sacramento River,76.86206361,1697.433086,9.717108041,2.661751325,0.302297005,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50,133.0875663,16360.24626637404,117.32158148575368,16360.24626637404,462.5644357,15897.68183,-4.882352941,0.5079598589534359,0.49202447556192747,6.224354473550173e-06,9.441130163027058e-06,8.472442072596262,0.10007938026929189,72.48875951,76.86206357467334,204.5875905558193,3.5326664260537655e-08,0.0001091,4.596111866028736e-10,5.332692663929651e-07,GOOD,1782.30474,16307.01124
506,Alfalfa,Sacramento River,12642.38466,269.6555291,6.366,3.537610105,0.306290873,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.8805053,1539.081863,9.208261493615169,1539.081863,453.1620153,1085.919848,-4.882352941,0.017898919,0.9820969133950637,2.331057274213678e-06,1.8366168559589897e-06,2.855653654792791,4.2526344757030235e-05,14920058.87216999,12642.383172996066,44723.812956924434,0.001487004,0.014767588560061995,1.1762052603267998e-07,3.3019509535334167e-07,GOOD,283.1383056,1468.329661
506,Almonds & Pistachios,Sacramento River,213146.605,4677.600247,1.003444444,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,4512.3475525141785,24.647622297745034,4512.3475525141785,453.1620153,4059.185537,-4.882352941,0.045019542,0.9549765338364892,2.9838861983772706e-06,9.402537563601047e-07,0.5360230960023672,1.1729016279663473e-05,28410041.08652148,213146.60346744375,770241.9024308545,0.001532556,0.1587609308771789,7.190150911760238e-09,2.0611823071766585e-07,GOOD,4911.480259,4440.074099
506,Citrus & Subtropical,Sacramento River,1310.232581,959.8107757,3.76,2.972946835,0.183365181,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50,148.6473418,3459.5549172239994,23.01582963333126,3459.5549172239994,453.1620153,3006.392902,-4.882352941,0.10227206168996743,0.8977130724889115,3.898560196834627e-06,1.096726092400814e-05,2.3775046443934595,0.005870948,233.6884177303881,1310.2325789091674,3895.251051060971,2.0908325950586004e-06,0.000753737,1.5957720983116055e-09,1.9350144686537876e-07,GOOD,1007.801314,3400.095981
