g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater_unit,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,,pc,pimarginal
504,Alfalfa,Sacramento River,70.98981104,280.6850253,5.836221097,3.537610105,0.306290873,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.8805053,1460.594631279839,8.787243465,1460.594631279839,534.9188056,925.6758257,-4.882352941,0.017001840574898584,0.9829939879441021,0.025975009295459147,0.032967809355279036,2.593515814993639,0.007573402,71420.01000580021,70.98974836699803,251.13393422904224,6.267300197748682e-05,0.000338658,8.828450316929709e-07,1.3485140775777396e-06,GOOD,1.939072961544676,1.5277763122781245,,280.6850253,1011.886628
504,Almonds & Pistachios,Sacramento River,21373.05871,4749.201759,0.821237312,3.61367267,0.287448101,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,3718.857260115832,20.48084574,3718.857260115832,534.9188056,3183.938454,-4.882352941,0.037399479,0.9625965657641329,0.03594294,0.11406457367666152,0.4230510423671333,0.00011697,2234571.915458713,21373.057496228823,77235.18930629363,0.001213771,0.048828339,5.67897742091494e-08,6.322028651647225e-07,GOOD,3.0498974152879694,0.9610545813701002,,4749.201759,3246.660611
504,Citrus & Subtropical,Sacramento River,199.9356254,976,3.55,2.972946835,0.183365181,0.094855843,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,148.6473418,3315.4664005919994,22.09689940435969,3315.4664005919994,534.9188056,2780.547595,-4.882352941,0.09843197,0.9015531009719329,0.13685559786327403,0.048648408,2.228010486970545,0.038473922,32.98114479523897,199.93562214268016,594.3976690925344,3.2573198325280828e-06,0.000315644,1.6291843067043932e-08,5.310316476763419e-07,GOOD,0.49423381869050864,1.3903572019867076,,976,3021.85046
504,Corn,Sacramento River,677.5969739,222.8912667,5.685966667,2.826875063,0.234536008,1.320694044672553,0.033525185,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.3437532,1125.128798714607,8.486657148544174,1125.128798714607,534.9188056,590.2099931,-4.882352941,0.047472601401622946,0.9525001802717503,0.020005374486555046,0.12556314962911733,3.1209294020643794,0.004919345,4281.772045114503,677.5968620217933,1915.4805258265494,0.000111878,0.001462456,1.6511025133861731e-07,7.634922340201671e-07,GOOD,2.644960375498291,0.4214088525991567,,222.8912667,866.2024265
504,Cucurbits,Sacramento River,36.94838987,203,12,1.97136542,0.087908733,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,98.568271,2336.461468,23.307557018376357,2336.461468,534.9188056,1801.542663,-4.882352941,0.46296137435757295,0.5368637974015756,0.17789152624166912,0.062270831414042035,10.336798954200365,0.5412955766237291,6.860276601557027e-06,36.94838967899731,72.83877105515215,1.91002690996811e-07,7.059244140350529e-06,5.169445587990138e-09,9.691601538487776e-08,GOOD,0.13450545739469513,0.38424701518246485,,203,2236.143548
504,Dry Beans,Sacramento River,85.45005407,1523,1.7,2.293810917,0.272510229,0.8579188204514863,0.0413722,1.68,0.17,521.9411016,903.6303871,214.6292221,50,114.6905459,2473.5472431239996,21.33925308641135,2473.5472431239996,534.9188056,1938.628438,-4.882352941,0.2724537253240344,0.7274813280771879,0.1535539728354432,0.6992457706846613,1.3147327281083463,0.006965918,153485.94990273056,85.45003639997032,196.00614887561483,1.7670029677674393e-05,0.000118008,2.067878115466053e-07,6.020643794465885e-07,GOOD,2.5664753522934403,0.5635965250716192,,1523,2324.849773
504,Grain,Sacramento River,1216.831099,216,2.663531184,0.78906264,0.351483763,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000004,534.9188056,13.561215785846976,534.9188056,534.9188056,0,-4.882352941,0.9762739245091105,0.022632992,0.7055358915883699,3.0379032515055093,2.6899275006667773,0.00111055,81.93752709881262,1216.8418260493197,960.1638936710374,-0.010727049,-0.00793426,8.815561443595241e-06,8.263511691209171e-06,GOOD,3.1117324505343373,0.7226823065494933,,216,543.1309672
504,Other Deciduous,Sacramento River,50328.39675,1633.262839,1.968454581,3.327741402,0.215021845,0.54254216,0.5586272122329681,0.13,0.17,2284.866179,4950.948854,6009.195442,50,166.3870701,3047.7134934406154,18.302972102627567,3047.7134934406154,534.9188056,2512.794688,-4.882352941,0.049166158,0.950822742,0.030952149916096426,0.030503279,1.0737432979919905,0.000152842,7502.807966434918,50328.39569324455,167479.7890815917,0.001056755,0.10047966553247534,2.0997200732387736e-08,5.999506316591164e-07,GOOD,0.6204120841421951,0.6295417628777134,,1633.262839,2659.994384
504,Pasture,Sacramento River,7517.628742,269.126027,5,3.965593094,0.350906068,0.10289172336777223,0.068524209,0.51,0.17,328.209843,177.7241242,145.0367898,10,39.65593094,1305.2782176550002,31.759395682906916,1305.2782176550002,534.9188056,770.359412,-4.882352941,0.037978716,0.962011246,0.070136727,0.085943631,2.574641743,0.000260825,415895.6864,7517.6262103093695,29811.762408746396,0.002531691,0.094213785,3.367671798162268e-07,3.1602790092963574e-06,GOOD,2.262942000342034,1.8467377139832826,,269.126027,1187.848527
504,Safflower,Sacramento River,151.5246813,564,1,2.357007476,0.396694215,0.4537037030434028,0.032158708,0.74,0.17,212.2655769,227.006242,60.43672676,10,23.57007476,539.4960409429999,21.92065600066421,539.4960409429999,534.9188056,4.577235322,-4.882352941,0.25825689853674866,0.7414861373748916,0.24148697027379365,0.9070486227644503,0.764649934,0.008918358,144.38773128268824,151.51906882247334,357.1307301784969,0.005612478,0.014076444120519227,3.704002198521006e-05,3.941382839536379e-05,GOOD,3.5121951355556216,0.9350649358914657,,564,507.562601
504,Sunflowers,Sacramento River,101.3126958,3712,0.6,2.873453662,0.386904762,0.3895547862245365,0.081201103,0.74,0.17,734.0697039,736.5793439,336.2917618,50,143.6726831,2082.5749359479996,14.666495541742329,2082.5749359479996,534.9188056,1547.65613,-4.882352941,0.077314318,0.9226646929407505,0.077050896,0.16876446308050513,0.36008179762996023,0.013338421,30046.520478713606,101.31267970583802,291.1171555,1.609416197823066e-05,0.00018123,1.5885631954757104e-07,6.22532357774618e-07,GOOD,2.182835824495322,0.9965928458037955,,3712,1813.505542
