internal_id,crop_code,hr,direct_jobs_unfilitered,direct_value_add,total_jobs_unfiltered,total_revenue,total_value_add,total_jobs,direct_jobs
21A,Subtropical,Tulare Lake,1,1,2.164433,1,1.781283,0.000002,0.000001
21A,Tomatoes,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
21A,Truck,Tulare Lake,1,1,2.365597,1,1.970829,0.000002,0.000001
21A,Walnuts,Tulare Lake,1,1,1.395582,1,1.214135,0.000001,0.000001
3A,Alfalfa,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
3A,Almonds,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
3A,Beans Dry,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
3A,Berries,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
3A,Corn,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
3A,Cotton,Sacramento River,1,1,2.00558,1,1.224593,0,0.000001
3A,Cucurbits,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
3A,Field and Grain,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
3A,Grapes,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
3A,Lettuce,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
3A,Onions and Garlic,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
3A,Orchards,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
3A,Pasture,Sacramento River,1,1,1.746634,1,1.760549,0.000002,0.000001
3A,Pistachios,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
3A,Rice,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
3A,Safflower,Sacramento River,1,1,1.222109,1,1.118136,0.000001,0.000001
3A,Subtropical,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
3A,Sunflowers,Sacramento River,1,1,1.222109,1,1.118136,0.000001,0.000001
3A,Tomatoes,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
3A,Truck,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
3A,Walnuts,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
4,Alfalfa,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
4,Almonds,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
4,Beans Dry,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
4,Corn,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
4,Cotton,Sacramento River,1,1,2.00558,1,1.224593,0,0.000001
4,Cucurbits,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
4,Field and Grain,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
4,Onions and Garlic,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
4,Orchards,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
4,Pasture,Sacramento River,1,1,1.746634,1,1.760549,0.000002,0.000001
4,Rice,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
4,Safflower,Sacramento River,1,1,1.222109,1,1.118136,0.000001,0.000001
4,Subtropical,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
4,Sunflowers,Sacramento River,1,1,1.222109,1,1.118136,0.000001,0.000001
4,Tomatoes,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
4,Truck,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
4,Walnuts,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
5,Alfalfa,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
5,Almonds,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
5,Beans Dry,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
5,Berries,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
5,Corn,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
5,Cucurbits,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
5,Field and Grain,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
5,Grapes,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
5,Orchards,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
5,Pasture,Sacramento River,1,1,1.746634,1,1.760549,0.000002,0.000001
5,Pistachios,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
5,Rice,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
5,Safflower,Sacramento River,1,1,1.222109,1,1.118136,0.000001,0.000001
5,Subtropical,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
