g,i,hr,xland,p,y,xwater,omegaland,omegawater_unit,omegasupply,omegalabor,theta,omegawater,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
10,Pasture,San Joaquin River,15491.15011,226.9343417,5,4.600187047,214.8235605,46.00187047,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702,192.6338469,1.14712982,192.6338469,0.17,68.61215883,124.0216881,-4.882352941,0.005075434,0.986439143,0.001602254,0.006883169,2.089814959,0.000126574,453083.5016,15491.14717,71262.15344,0.002943334,0.03463727,1.90E-07,4.86E-07,GOOD,226.9343417,27.01850873
10,Pistachios,San Joaquin River,20148.25981,4897.401316,1.414819371,3.805829794,1806.455069,190.2914897,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284,2783.41504,1.591834969,2783.41504,0.17,68.61215883,2714.802882,-4.882352941,0.033608303,0.950657759,0.002640955,0.013092984,0.768288117,0.00012408,3036419.169,20148.25957,76680.84208,0.000243218,0.005405151,1.21E-08,7.05E-08,GOOD,4897.401316,2249.489509
10,Potatoes,San Joaquin River,714.5510225,919.9316484,16.13648405,3.305132031,1515.990126,165.2566016,1581.902745,9194.809715,0.41,50,0.10212496,0.619410086,0.106565176,2386.503184,1.134823369,2386.503184,0.17,68.61215883,2317.891025,-4.882352941,0.054728834,0.794137811,0.022184713,0.128948643,11.70070364,0.003413366,99748.05476,714.5510127,2361.685307,9.77E-06,0.000164944,1.37E-08,6.98E-08,GOOD,919.9316484,2005.564898
10,Rice,San Joaquin River,1892.744493,573.2274458,4.688550562,4.833919598,335.3762222,241.6959799,192.0996257,1541.750863,0.2,50,0.124786237,0.573652143,0.071476115,376.6831724,1.107620191,376.6831724,0.17,68.61215883,308.0710135,-4.882352941,0.001337383,0.995406116,0.0003608,0.002895701,1.587048734,0.002641667,1816.208894,1892.74441,9149.37373,8.28E-05,0.000968315,4.37E-08,1.06E-07,GOOD,573.2274458,-549.9597817
10,Safflower,San Joaquin River,90.20422473,575.1459791,1.245291589,2.40565496,140.0879783,24.0565496,80.89587427,303.852797,0.74,10,0.195592287,0.424242424,0.112947658,167.3312511,1.242716297,167.3312511,0.17,68.61215883,98.71909222,-4.882352941,0.125981236,0.716347712,0.033151349,0.124519702,0.968791195,0.014981021,5312.576447,90.20419974,217.0001327,2.50E-05,0.000107935,2.77E-07,4.97E-07,GOOD,575.1459791,133.5160428
10,Subtropical,San Joaquin River,1704.416794,950.3385633,4.405405823,3.247465856,846.2602941,162.3732928,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361,698.0244571,1.142940118,698.0244571,0.17,68.61215883,629.4122983,-4.882352941,0.028036452,0.926939772,0.032850505,0.012173271,2.598749769,0.004513161,156.1420066,1704.416775,5535.034959,1.85E-05,0.000384355,1.09E-08,6.94E-08,GOOD,950.3385633,333.0960256
10,Truck,San Joaquin River,2201.610217,690.3355797,21.20927139,2.667732673,775.1695468,133.3866337,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021,5946.476384,1.603707682,5946.476384,0.17,68.61215883,5877.864225,-4.882352941,0.21990558,0.525351626,0.140646152,0.114096642,18.24124919,0.001107837,529352.644,2201.610201,5873.307132,1.60E-05,0.000376671,7.29E-09,6.41E-08,GOOD,690.3355797,5724.023137
10,Walnuts,San Joaquin River,11445.10078,1802.497789,1.658526763,4.952669773,765.1413128,247.6334887,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,892.0443277,1.357428723,892.0443277,0.17,68.61215883,823.4321688,-4.882352941,0.002698778,0.9955348,0.000436613,0.001329808,0.557257651,0.000672105,1125.142038,11445.10064,56683.80047,0.00014158,0.00421156,1.24E-08,7.43E-08,GOOD,1802.497789,-86.76907771
10,Tomatoes,San Joaquin River,37267.21112,99.69467136,46.73447582,2.379660861,122.4440466,118.9830431,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875,1580.104731,1.441119419,1580.104731,0.17,68.61215883,1511.492573,-4.882352941,0.133645775,0.643606157,0.150205326,0.072542741,38.03339952,3.63E-05,12155525.58,37267.20926,88683.31411,0.00185738,0.009590851,4.98E-08,1.08E-07,GOOD,99.69467136,1415.948484
11,Alfalfa,San Joaquin River,5309.822233,290.4258221,6.981811447,4.134965358,571.5529894,41.34965358,305.9903334,377.9325916,1.86,10,0.281872792,0.186385019,0.150905255,730.8727613,1.489129543,730.8727613,0.17,68.61215883,662.2606024,-4.882352941,0.02941147,0.955144134,0.006909895,0.008534501,3.712508039,0.000101253,7513706.784,5309.820695,21955.91747,0.001538284,0.013525471,2.90E-07,6.16E-07,GOOD,290.4258221,601.2430297
11,Almonds,San Joaquin River,117828.5502,4775.762292,1.018616781,4.125499535,1058.3111,206.2749768,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,1679.029036,1.454344131,1679.029036,0.17,68.61215883,1610.416877,-4.882352941,0.012832728,0.978161305,0.002134919,0.006871048,0.469576695,2.12E-05,10590173.76,117828.5467,486101.5821,0.003489772,0.046919765,2.96E-08,9.65E-08,GOOD,4775.762292,1034.316692
11,Beans Dry,San Joaquin River,422.2532085,1593.773361,1.285477627,2.212101358,174.4872303,110.6050679,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516,585.5199417,1.333479076,585.5199417,0.17,68.61215883,516.9077828,-4.882352941,0.10447712,0.733564561,0.020010397,0.141947922,0.991633901,0.001409671,297297.5364,422.253053,934.0664919,0.000155521,0.000404023,3.68E-07,4.33E-07,GOOD,1593.773361,451.4553887
11,Berries,San Joaquin River,76.88491972,6918.471451,4.49116409,3.460572945,1405.645459,173.0286473,12947.16439,12034.90563,0.25,50,0.045238346,0.387323291,0.416682812,4511.246412,1.114139416,4511.246412,0.17,68.61215883,4442.634253,-4.882352941,0.056296005,0.706013199,0.123185221,0.114505575,3.499120826,0.052025807,2083.036496,76.8849191,266.0658569,6.18E-07,1.62E-05,8.03E-09,6.08E-08,GOOD,6918.471451,4085.496804
11,Corn,San Joaquin River,21510.71134,77.55530093,25.22861255,2.415829265,172.4592835,120.7914633,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293,399.0836594,1.196408306,399.0836594,0.17,68.61215883,330.4715006,-4.882352941,0.052941855,0.829948423,0.015856237,0.101253485,17.78155435,0.000154962,131575.9822,21510.70942,51966.19777,0.001924669,0.008195171,8.95E-08,1.58E-07,GOOD,77.55530093,228.0635708
11,Cucurbits,San Joaquin River,1179.626916,384.0603914,14.86947686,2.299627126,267.5771763,114.9813563,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591,289.5988182,1.00325705,289.5988182,0.17,68.61215883,220.9866593,-4.882352941,0.04529776,0.545068317,0.303451984,0.106181938,12.70707858,0.016954513,6.77E-05,1179.626898,2712.701839,1.78E-05,0.000215192,1.51E-08,7.93E-08,GOOD,384.0603914,140.1659285
11,Field and Grain,San Joaquin River,5380.950242,194.8087562,3.454627792,2.917058441,127.4152527,72.92646103,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,68.61215883,1.060499947,68.61215883,0.17,68.61215883,0,-4.882352941,0.013823801,0.957683556,0.005380103,0.02311254,1.850487538,0.000251136,202079.8757,5380.946588,15696.53341,0.003654473,0.012909328,6.79E-07,8.22E-07,GOOD,194.8087562,-71.19212885
11,Grapes,San Joaquin River,8159.614574,1686.199914,10.80135885,3.098484515,5693.452831,154.9242258,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,1764.328209,1.054534307,1764.328209,0.17,68.61215883,1695.71605,-4.882352941,0.131318485,0.682024451,0.106553789,0.080103276,8.556948336,0.000942729,3609.905572,8159.614548,25282.43769,2.61E-05,0.001711533,3.20E-09,6.77E-08,GOOD,1686.199914,1439.22212
11,Lettuce,San Joaquin River,2.85248003,1008,18.9,3.326092372,1600,216.1960042,12500,929,0.25,65,0.083984211,0.048763332,0.656126648,3806.003996,1.190145407,3806.003996,0.17,68.61215883,3737.391837,-4.882352941,0.056762599,0.802234003,0.131248975,0.009754424,13.59299947,1.40228852,70.60916181,2.852480005,9.487613921,2.47E-08,-1.85E-06,8.65E-09,1.95E-07,GOOD,1008,3303.11212
11,Onions and Garlic,San Joaquin River,171.6374832,1579.216395,6.547714821,1.480822037,1660.207972,74.04110185,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415,1398.06279,1.10128044,1398.06279,0.17,68.61215883,1329.450631,-4.882352941,0.283971634,0.04674413,0.26877367,0.400510566,6.493378023,0.014210325,18776.606,171.6374797,254.164549,3.52E-06,1.85E-05,2.05E-08,7.28E-08,GOOD,1579.216395,1362.462197
11,Orchards,San Joaquin River,3815.51314,4762.917744,3.247388671,3.445837194,2203.997553,172.2918597,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127,2113.315653,1.103101512,2113.315653,0.17,68.61215883,2044.703494,-4.882352941,0.049250913,0.825520982,0.060997939,0.064230165,2.276276862,0.002016061,977.199145,3815.513118,13147.63617,2.18E-05,0.00092396,5.72E-09,7.03E-08,GOOD,4762.917744,1691.917814
11,Pasture,San Joaquin River,22910.01072,226.9343417,5,4.600187047,214.8235605,46.00187047,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702,192.6338469,1.14712982,192.6338469,0.17,68.61215883,124.0216881,-4.882352941,0.005075434,0.986439143,0.001602254,0.006883169,2.089814959,8.56E-05,670069.5433,22910.00465,105390.2715,0.006068563,0.063091303,2.65E-07,5.99E-07,GOOD,226.9343417,27.01850873
11,Pistachios,San Joaquin River,232.7120763,4897.401316,1.414819371,3.805829794,1806.455069,190.2914897,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284,2783.41504,1.591834969,2783.41504,0.17,68.61215883,2714.802882,-4.882352941,0.033608303,0.950657759,0.002640955,0.013092984,0.768288117,0.010742889,35070.59249,232.7120723,885.6624831,3.99E-06,7.03E-05,1.71E-08,7.94E-08,GOOD,4897.401316,2249.489509
11,Potatoes,San Joaquin River,780.6514587,919.9316484,16.13648405,3.305132031,1515.990126,165.2566016,1581.902745,9194.809715,0.41,50,0.10212496,0.619410086,0.106565176,2386.503184,1.134823369,2386.503184,0.17,68.61215883,2317.891025,-4.882352941,0.054728834,0.794137811,0.022184713,0.128948643,11.70070364,0.003124345,108975.3734,780.6514433,2580.155926,1.54E-05,0.000214805,1.97E-08,8.33E-08,GOOD,919.9316484,2005.564898
11,Rice,San Joaquin River,351.5468328,573.2274458,4.688550562,4.833919598,335.3762222,241.6959799,192.0996257,1541.750863,0.2,50,0.124786237,0.573652143,0.071476115,376.6831724,1.107620191,376.6831724,0.17,68.61215883,308.0710135,-4.882352941,0.001337383,0.995406116,0.0003608,0.002895701,1.587048734,0.014222856,337.3315768,351.5468115,1699.348905,2.13E-05,0.000219356,6.07E-08,1.29E-07,GOOD,573.2274458,-549.9597817
11,Safflower,San Joaquin River,6.30571216,575.1459791,1.245291589,2.40565496,140.0879783,24.0565496,80.89587427,303.852797,0.74,10,0.195592287,0.424242424,0.112947658,167.3312511,1.242716297,167.3312511,0.17,68.61215883,98.71909222,-4.882352941,0.125981236,0.716347712,0.033151349,0.124519702,0.968791195,0.214305905,371.374822,6.30570958,15.16937251,2.58E-06,-4.77E-06,4.09E-07,3.15E-07,GOOD,575.1459791,133.5160428
11,Subtropical,San Joaquin River,286.7748395,950.3385633,4.405405823,3.247465856,846.2602941,162.3732928,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361,698.0244571,1.142940118,698.0244571,0.17,68.61215883,629.4122983,-4.882352941,0.028036452,0.926939772,0.032850505,0.012173271,2.598749769,0.02682351,26.27150768,286.774835,931.2914262,4.49E-06,7.35E-05,1.57E-08,7.89E-08,GOOD,950.3385633,333.0960256
11,Truck,San Joaquin River,1929.470914,690.3355797,21.20927139,2.667732673,775.1695468,133.3866337,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021,5946.476384,1.603707682,5946.476384,0.17,68.61215883,5877.864225,-4.882352941,0.21990558,0.525351626,0.140646152,0.114096642,18.24124919,0.00126409,463919.7811,1929.470893,5147.312214,2.06E-05,0.000384732,1.07E-08,7.47E-08,GOOD,690.3355797,5724.023137
11,Walnuts,San Joaquin River,25596.28964,1802.497789,1.658526763,4.952669773,765.1413128,247.6334887,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,892.0443277,1.357428723,892.0443277,0.17,68.61215883,823.4321688,-4.882352941,0.002698778,0.9955348,0.000436613,0.001329808,0.557257651,0.000300524,2516.313489,25596.2892,126769.959,0.000438272,0.011023589,1.71E-08,8.70E-08,GOOD,1802.497789,-86.76907771
12,Alfalfa,San Joaquin River,10092.25907,290.4258221,6.981811447,4.134965358,571.5529894,41.34965358,305.9903334,377.9325916,1.86,10,0.281872792,0.186385019,0.150905255,730.8727613,1.489129543,730.8727613,0.17,68.61215883,662.2606024,-4.882352941,0.02941147,0.955144134,0.006909895,0.008534501,3.712508039,5.33E-05,14281132.61,10092.25563,41731.1098,0.003444714,0.031836955,3.41E-07,7.63E-07,GOOD,290.4258221,601.2430297
12,Almonds,San Joaquin River,117053.0121,4775.762292,1.018616781,4.125499535,1058.3111,206.2749768,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,1679.029036,1.454344131,1679.029036,0.17,68.61215883,1610.416877,-4.882352941,0.012832728,0.978161305,0.002134919,0.006871048,0.469576695,2.14E-05,10520470.08,117053.008,482902.0885,0.004084139,0.058535915,3.49E-08,1.21E-07,GOOD,4775.762292,1034.316692
12,Beans Dry,San Joaquin River,393.2915124,1593.773361,1.285477627,2.212101358,174.4872303,110.6050679,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516,585.5199417,1.333479076,585.5199417,0.17,68.61215883,516.9077828,-4.882352941,0.10447712,0.733564561,0.020010397,0.141947922,0.991633901,0.001513478,276906.3571,393.2913453,870.0002462,0.000167132,0.000442472,4.25E-07,5.09E-07,GOOD,1593.773361,451.4553887
12,Berries,San Joaquin River,197.6429401,6918.471451,4.49116409,3.460572945,1405.645459,173.0286473,12947.16439,12034.90563,0.25,50,0.045238346,0.387323291,0.416682812,4511.246412,1.114139416,4511.246412,0.17,68.61215883,4442.634253,-4.882352941,0.056296005,0.706013199,0.123185221,0.114505575,3.499120826,0.020238517,5354.723122,197.6429382,683.9577511,1.86E-06,6.02E-05,9.41E-09,8.80E-08,GOOD,6918.471451,4085.496804
12,Corn,San Joaquin River,52613.31545,77.55530093,25.22861255,2.415829265,172.4592835,120.7914633,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293,399.0836594,1.196408306,399.0836594,0.17,68.61215883,330.4715006,-4.882352941,0.052941855,0.829948423,0.015856237,0.101253485,17.78155435,6.34E-05,321823.3256,52613.31,127104.7628,0.005446047,0.024352762,1.04E-07,1.92E-07,GOOD,77.55530093,228.0635708
12,Cucurbits,San Joaquin River,485.2556058,384.0603914,14.86947686,2.299627126,267.5771763,114.9813563,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591,289.5988182,1.00325705,289.5988182,0.17,68.61215883,220.9866593,-4.882352941,0.04529776,0.545068317,0.303451984,0.106181938,12.70707858,0.041215392,2.79E-05,485.2555973,1115.906844,8.46E-06,0.000110456,1.74E-08,9.90E-08,GOOD,384.0603914,140.1659285
12,Field and Grain,San Joaquin River,3977.340139,194.8087562,3.454627792,2.917058441,127.4152527,72.92646103,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,68.61215883,1.060499947,68.61215883,0.17,68.61215883,0,-4.882352941,0.013823801,0.957683556,0.005380103,0.02311254,1.850487538,0.000339763,149367.7445,3977.336995,11602.12231,0.003143863,0.011315359,7.90E-07,9.75E-07,GOOD,194.8087562,-71.19212885
12,Grapes,San Joaquin River,8646.868311,1686.199914,10.80135885,3.098484515,5693.452831,154.9242258,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,1764.328209,1.054534307,1764.328209,0.17,68.61215883,1695.71605,-4.882352941,0.131318485,0.682024451,0.106553789,0.080103276,8.556948336,0.000889606,3825.472124,8646.868279,26792.18523,3.22E-05,0.002330684,3.73E-09,8.70E-08,GOOD,1686.199914,1439.22212
12,Orchards,San Joaquin River,5421.522265,4762.917744,3.247388671,3.445837194,2203.997553,172.2918597,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127,2113.315653,1.103101512,2113.315653,0.17,68.61215883,2044.703494,-4.882352941,0.049250913,0.825520982,0.060997939,0.064230165,2.276276862,0.001418846,1388.517541,5421.522229,18681.68139,3.63E-05,0.001683733,6.69E-09,9.01E-08,GOOD,4762.917744,1691.917814
