crop_code,internal_id,direct_jobs,direct_value_add,total_jobs,total_revenue,total_value_add
PRTOM,DAP012,0.00000775600019,0.52407802705053,0.00001205472226,1.68270927811171,0.93409144495432
SAFLR,DAP012,0.00000170160925,0.95087502489204,0.00000890808960,2.26806701469266,1.76566728376433
ALFAL,DAP013,0.00002026557409,0.52462756763768,0.00002395887562,1.44082481096798,0.79259883524528
CORN,DAP013,0.00000159150997,0.74884257201795,0.00000465005181,1.41432138927410,1.00192501896776
GRAIN,DAP013,0.00000159150997,0.74884257201795,0.00000465005181,1.41432138927410,1.00192501896776
PASTR,DAP013,0.00002026557409,0.52462756763768,0.00002395887562,1.44082481096798,0.79259883524528
ALFAL,DAP014,0.00001953882185,0.52462756763768,0.00002389186073,1.52180280716666,0.84969350757468
CORN,DAP014,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
GRAIN,DAP014,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
PRTOM,DAP014,0.00000327505378,0.52407802705053,0.00000698614288,1.45177027979228,0.80183457391190
RICE,DAP014,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
SUBTRP,DAP014,0.00000429180172,0.63179196064639,0.00000839376579,1.42843813588654,0.91929701701101
OTHDEC,DAP015,0.00000429180172,0.63179196064639,0.00000839376579,1.42843813588654,0.91929701701101
ALFAL,DAP017,0.00001953882185,0.52462756763768,0.00002389186073,1.52180280716666,0.84969350757468
CORN,DAP017,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
GRAIN,DAP017,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
PASTR,DAP017,0.00001953882185,0.52462756763768,0.00002389186073,1.52180280716666,0.84969350757468
PRTOM,DAP017,0.00000327505378,0.52407802705053,0.00000698614288,1.45177027979228,0.80183457391190
SAFLR,DAP017,0.00000054601213,0.95037245159646,0.00000344331298,1.43294060450382,1.21839152769135
ALFAL,DAP018,0.00001953882185,0.52462756763768,0.00002389186073,1.52180280716666,0.84969350757468
CORN,DAP018,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
CUCUR,DAP018,0.00000327505378,0.52407802705053,0.00000698614288,1.45177027979228,0.80183457391190
GRAIN,DAP018,0.00000152081303,0.74934415256714,0.00000457212737,1.41562680016696,1.00254219290952
PASTR,DAP018,0.00001953882185,0.52462756763768,0.00002389186073,1.52180280716666,0.84969350757468
PRTOM,DAP018,0.00000327505378,0.52407802705053,0.00000698614288,1.45177027979228,0.80183457391190
