g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
BTE02-WAs,Sacramento River,0.5,Trees and Vine,Trees and vines,BTE,Almonds,5165.974452,0.8565781309999999,523.4565763999999,523.4565763999999,1879.9239598977115,1879.9239598977115,2316327.1457872316,2316327.1457872316,10,Infeasible,N/A
BTE02-WAs,Sacramento River,0.5,Trees and Vine,Trees and vines,BTE,Walnuts,1949.323208,2.037882063,14679.16025,14679.16025,51740.51446072856,51740.51446072856,58312829.053259194,58312829.053259194,10,Infeasible,N/A
CHW01-E-ChID&WA,San Joaquin River,0.5,Alfalfa and Pasture,Alfalfa and pasture,CHW,Alfalfa,205.8588937,7.063149253,6701.08917,2.3076291363671174e-10,34123.43518307754,7.109554372316307e-08,9743464.6777952,3.3553206664229557e-07,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Corn,Corn,CHW,Corn,44.88630607,26.76544219,8648.049176999999,2.2028482264612132e-10,21312.63674569642,7.070447949951313e-08,10389782.109246677,2.646505891009746e-07,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Other field and grain,Field and grain,CHW,Cotton,2462.1839,0.78,387.241809,5.166225430152219e-10,1399.2337363909194,7.373368432157517e-08,743699.2270708065,9.921753720755266e-07,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Other field and grain,Field and grain,CHW,Field and Grain,187.333843,2.812754651,2036.102434,9.435006010333691e-07,984.1161757546324,5.488879507732647e-07,1072871.5202978451,0.0004971532410793245,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Trees and Vine,Trees and vines,CHW,Grapes Table,390.5459,12.435,129.8715768,2.9690945545071375e-09,426.7002807217208,9.636089190172876e-08,630713.2953022138,1.4419224411365233e-05,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Trees and Vine,Trees and vines,CHW,Grapes Wine,510.5784914,8.495282366,4199.180984000001,3711.929781790487,13796.642412630754,12165.262017680318,18213983.01986275,16100526.810838394,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Trees and Vine,Trees and vines,CHW,Orchards,3117.281059,2.261810582,2498.737791,806.7007317064421,10016.636557369968,3225.7193686380037,17617848.759690434,5687804.273311888,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Alfalfa and Pasture,Alfalfa and pasture,CHW,Pasture,215.0,3.5,878.0790099999998,1.0011956073768309e-10,5120.176271546879,6.956550978348219e-08,660754.4550249999,7.533996945510652e-08,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Vegetables and non-tree fruits,Vegetables,CHW,Potatoes,960.1331262,14.27542043,56.906001,51.22309479013415,104.84499575767626,94.13873405569649,779970.9517067374,702079.3113335331,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Trees and Vine,Trees and vines,CHW,Subtropical,826.2221390999998,4.405931004,213.8288738,3.7864158235952216e-08,783.4045034563486,2.4986908562929346e-07,778396.4892179101,0.00013783605232670228,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Fresh,513.5119746,20.19858006,225.3847609,122.40180556029144,383.15409353,207.5628597876913,2337738.686318793,1269577.5658963998,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Processing,78.52090496,49.10025147,2028.462848,3.7538666301642313e-10,5267.241862649487,7.236050713814478e-08,7820527.913803949,1.44726430631164e-06,3,Good,474.25528689118005
CHW01-E-ChID&WA,San Joaquin River,0.5,Vegetables and non-tree fruits,Vegetables,CHW,Truck,548.8387,13.5325,140.93905,133.75675384175938,144.54082578486182,136.83204331593865,1046776.8334085628,993432.7727729504,3,Good,474.25528689118005
