g,i,year,xland,p,y,MarginRevenue,pc,pimarginal,xwater,omegaland,omegalabor,omegasupply,theta,sigma,pe,NonIrrigatedAcres,patch_water,omegaland_init,omegasupply,omegalabor,omegawater,omegawater,mprof_init,price_yield_corrections_factor,mprof,MarginalProfit,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status
BTE02-WAs,Orchards,2019,482.199202,2061.666385,2.066393172,4260.21334090592,2061.666385,2061.666385,3.166342251,607.0648734,1550.82325,1472.781853,0.13,0.17,No,0,No,607.0648734,1472.781853,1550.82325,25,79.15855627500000,550.3848082309230,1.093674816294660,550.3848082309230,550.3848082309230,65.1981390190497,485.186669211874,-4.88235294117647,0.044211549044385800,0.8402946481375270,0.05625641283501930,0.05923738998306790,1.4246421231720600,0.015952551684869200,31.243934775214900,482.1992350393810,1526.8070880799800,-3.30393810941132E-05,0.0006186111022543630,6.85181164901911E-08,4.05166347761647E-07,GOOD
BTE02-WAs,Pasture,2019,627.896518,215.0,3.5,752.5,215.0,215.0,4.010833333,101.0837153,214.8226999,102.7869284,0.07650000000000000,0.17,No,0,No,101.0837153,102.7869284,214.8226999,25,100.270833325,233.53582307500000,1.3809559475051000,233.53582307500000,233.53582307500000,65.1981390190497,168.33768405595,-4.88235294117647,0.0037581949477045700,0.992674652619368,0.0011544254614625700,0.002412726971464720,1.316631586833470,0.02081855058931320,0.02722259652047430,627.8966102534900,2518.387298702730,-9.2253490265648E-05,0.0009853663013927870,1.46924672491412E-07,3.91268617165222E-07,GOOD
BTE02-WAs,Rice,2019,6510.071453,370.9204663,4.450435008,1650.7574284052,370.9204663,370.9204663,4.5,205.9918082,946.9605361,117.9897276,0.2,0.17,No,0,No,205.9918082,117.9897276,946.9605361,25,112.5,267.3153565052050,1.1364045981739700,267.3153565052050,267.3153565052050,65.1981390190497,202.117217486155,-4.88235294117647,0.0026974436602309300,0.9912332559963690,0.0006724399426432230,0.005396860400756450,1.7113335915406800,0.000768040725220593,3580.3010109026900,6510.072996210080,29295.313747251300,-0.001543210081763390,0.007791248710418590,2.37049638073057E-07,2.65955391552173E-07,GOOD
BTE02-WAs,Subtropical,2019,277.9083108,942.1801854,4.535541375,4273.29721358687,942.1801854,942.1801854,2.476100882,863.7792973,684.4007169,1846.907779,0.13,0.17,No,0,No,863.7792973,1846.907779,684.4007169,25,61.902522050000000,816.3068983368710,1.177268808688700,816.3068983368710,816.3068983368710,65.1981390190497,751.108759317822,-4.88235294117647,0.17892030025523200,0.551508723385806,0.1966859171991110,0.07288505915985180,3.8601093757228500,0.02767930066633940,26.62321660076190,277.90832474411100,688.1287268616610,-1.39441112878558E-05,0.00028662534873547000,5.01752223519894E-08,4.16528504274265E-07,GOOD
BTE02-WAs,Sunflowers,2019,875.054484,3239.762235,0.609912532,1975.97158782683,3239.762235,3239.762235,2.406666667,409.0470283,767.1265354,350.2383501,0.74,0.17,No,0,No,409.0470283,350.2383501,767.1265354,25,60.166666675,389.39300735182900,1.1861232250651000,389.39300735182900,389.39300735182900,65.1981390190497,324.194868332779,-4.88235294117647,0.12680286304388800,0.6957447795847330,0.055622493308706800,0.12182986406267300,0.48103352819796800,0.0015443053844763200,122922.00950796500,875.0550386619220,2105.964781142580,-0.000554661921682964,-0.0003226908938813720,6.3385987024205E-07,1.53227131914E-07,GOOD
BTE02-WAs,Tomatoes Processing,2019,472.497166,77.35725946,46.64298896,3608.17379897,77.35725946,77.35725946,2.073333333,307.3158515,1960.523005,744.6913332,1.1100000000000000,0.17,No,0,No,307.3158515,744.6913332,1960.523005,25,51.833333325,543.8102759436350,1.1213930635832400,543.8102759436350,543.8102759436350,65.1981390190497,478.612136924585,-4.88235294117647,0.1582320286735970,0.33884421075998300,0.13844483982861300,0.3644789207378080,42.9801806494343,0.0019066800093799900,167435.9273707930,472.49760047061100,979.6445650103210,-0.000434470611139659,-0.0004409944865528810,9.19520036104638E-07,4.50157843794461E-07,GOOD
BTE02-WAs,Almonds,2019,523.4565764,5165.974452,0.856578131,4425.06074088791,5165.974452,5165.974452,3.591365635,962.6735903,1333.209787,414.244587,0.4,0.17,No,0,No,962.6735903,414.244587,1333.209787,25,89.78414087500000,1625.1486357129100,1.505169949785620,1625.1486357129100,1625.1486357129100,65.1981390190497,1559.95049669386,-4.88235294117647,0.051258800493966100,0.9141281514269240,0.008205231575529590,0.026407816503580500,0.5202624294766800,0.004775945346208850,43356.77644926920,523.4566217501240,1879.9232292615400,-4.53501237416276E-05,0.0007306361767405180,8.66358849735289E-08,3.88651983977199E-07,GOOD
BTE02-WAs,Walnuts,2019,14679.16025,1949.323208,2.037882063,3972.49080057282,1949.323208,1949.323208,3.524759835,1016.733954,1085.072261,356.2595846,0.13,0.17,No,0,No,1016.733954,356.2595846,1085.072261,25,88.118995875,1426.3060050978200,1.4858798067986700,1426.3060050978200,1426.3060050978200,65.1981390190497,1361.10786607877,-4.88235294117647,0.05402286869843570,0.9141050038090300,0.007877957415200200,0.023994170077334600,1.2383131555065500,0.0005240291379956620,2070.6216040834400,14679.160692165700,51740.491212172100,-0.0004421656976774100,0.023248556506587200,3.01220022226687E-08,4.49329828837188E-07,GOOD
CHW01-E-ChID&WA,Alfalfa,2019,6701.08917,205.8588937,7.063149253,1454.01209126056,205.8588937,205.8588937,5.092222222,409.846448,271.0060707,219.4180648,0.2790000000000000,0.17,No,0,No,409.846448,219.4180648,271.0060707,35,178.22777777000000,375.5137299905610,1.2839828691232300,375.5137299905610,375.5137299905610,93.9021005329539,281.611629457607,-4.88235294117647,0.001554619658625550,0.9974745862732780,0.000434337831933916,0.0005364562361629560,2.1309725428535300,0.0005348726602127880,35884.2941813449,6701.215339232180,34124.0775895028,-0.12616923218138300,-0.6424064252569220,1.88281679262272E-05,1.88259599835219E-05,GOOD
CHW01-E-ChID&WA,Corn,2019,8648.049177,44.88630607,26.76544219,1201.40183024,44.88630607,44.88630607,2.464444444,105.8936729,671.1863659,105.1073939,0.45000000000000000,0.17,No,0,No,105.8936729,105.1073939,671.1863659,35,86.25555554,232.9588419992310,1.181476073625000,232.9588419992310,232.9588419992310,93.9021005329539,139.056741466277,-4.88235294117647,0.04149091720023300,0.8634555161455610,0.012869912382778300,0.08218365427142770,18.0754503386157,0.00025696225550293500,103302.30072235100,8648.790498447890,21314.463650361900,-0.7413214478874580,-1.826904665438630,8.57212340858383E-05,8.57193170060261E-05,GOOD
CHW01-E-ChID&WA,Cotton,2019,387.241809,2462.1839,0.78,1920.503442,2462.1839,2462.1839,3.613333333,285.2698798,855.0856041,150.2373098,1.02,0.17,No,0,No,285.2698798,150.2373098,855.0856041,35,126.466666655,503.44398164500000,1.2907368733028600,503.44398164500000,503.44398164500000,93.9021005329539,409.541881112046,-4.88235294117647,0.01146986825331660,0.9739102271930250,0.0021848254916956100,0.012435079061962900,0.3748146140260000,0.002531731166617770,102960.5062345930,387.2683361964520,1399.3295943005200,-0.0265271964516387,-0.09585790959840780,6.85029246199981E-05,6.85074316787534E-05,GOOD
