region,crop,hr,xland,p,y,xwater_unit,omegaland,omegawater,omegasupplies,omegalabor,theta,sigma,omegaland_init,omegasupplies_init,omegalabor_init,omegawater_unit,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupplies,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply
Butte Valley,Grain,North Coast,4195.162496,281.0,4.4,1.227063393,0.351483763,61.35316965,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,1174.0960322270003,18.89966003150927,1174.0960322270003,855.110416135,318.985616092,-4.88235294117647,0.8753670213087402,0.12418628352693944,0.6326122580367598,2.72390796633399,4.326978924518959,0.00032212133681110963,256652.47048661634,4195.170231170686,5147.7318851044765,-0.007735170685919002,-0.001558576368552167,1.8438310061396491e-06,3.0276962266656856e-07,GOOD,3.1117324505343373,0.7226823065494933
Butte Valley,Onions & Garlic,North Coast,240.0443817,204.0,28.0,1.699157349,0.178481578,84.95786745000001,0.8220938475297447,0.4158621200492846,0.41,0.17,887.6914461,1905.136225,1355.002253,50,5626.208158949999,63.409293161450336,5626.208158949999,855.110416135,4771.097742815,-4.88235294117647,0.832603722482508,0.16729927652334717,0.3879487418369527,0.5454568060366722,27.052387788543573,0.010160722667077954,40968.977823845926,240.0443938905695,407.8726398308687,-1.2190569492531722e-05,0.0005354208474273037,5.0784648264615986e-08,1.312714049157247e-06,GOOD,0.6551217479671209,0.46594644170006466
Butte Valley,Pasture,North Coast,3815.731408,197.0,4.5,3.069359746,0.350906068,30.69359746,0.10289172336777223,0.06852420918280822,0.51,0.17,328.209843,177.7241242,145.0367898,10,855.110416135,26.897002455235135,855.110416135,855.110416135,0.0,-4.88235294117647,0.10453064655885982,0.8954271873375361,0.19304068726730328,0.23654679042095242,2.85433518597948,0.0005138685363478524,96.1127588440639,3815.71161463033,11711.702438034432,0.019793369669969252,0.1499472286704986,5.187306849866528e-06,1.280303266622243e-05,GOOD,2.262942000342034,1.8467377139832826
Butte Valley,Potatoes,North Coast,86.98386867,218.0,22.6,2.70089927,0.150675135,135.0449635,1.4974640784942694,0.06026152289335652,0.41,0.17,793.9256634,2502.863999,502.0871398,50,4791.034066890001,34.5608826066019,4791.034066890001,855.110416135,3935.923650755,-4.88235294117647,0.2171862721906731,0.782787876138447,0.06889297814859846,0.34342595481356025,16.62500357222312,0.02803996220836176,12247.037083133862,86.98387008921694,234.93437019790778,-1.4192169288662626e-06,0.00029719467110567166,1.6315863510859667e-08,1.2650098616951047e-06,GOOD,1.5812507454985842,0.31720687248646934
Butte Valley,Truck Crops,North Coast,1400.077263,5796.485366,4.228743052,1.856129243,0.139554281,92.80646215,1.1244727167916924,1.262909809962677,0.250364991,0.17,7441.94487,27484.23099,27982.75263,50,24418.085248677173,248.9774552801085,24418.085248677173,855.110416135,23562.9748325422,-4.88235294117647,0.9277370814693979,0.07223191753485173,0.3268300919300066,0.3083971308765546,4.1675391862387485,0.00285282017150367,152164.34018244696,1400.0772707770755,2598.7205709434097,-7.777075552439783e-06,0.0037793702922499506,5.5547474114218105e-09,1.4543174968879359e-06,GOOD,0.332418674467662,0.35228740820875265
Coachella,Alfalfa,Colorado River,47.55345072,266.0,7.5,6.349688555,0.306290873,317.48442775,0.13122437452970753,0.08146025298303902,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1676.8508425119999,5.9720415889256735,1676.8508425119999,1676.850842512,0.0,-4.88235294117647,0.000635703257396786,0.9993641608812999,0.0009712123782888531,0.0012326749979839832,1.7208507367560886,0.011305896847902829,15.824769029901331,47.55201586430461,301.9401027444088,0.0014348556953933667,0.00949904313171146,3.017353469976251e-05,3.14590351352582e-05,GOOD,1.939072961544676,1.5277763122781245
Coachella,Citrus & Subtropical,Colorado River,6183.173311,2724.815777,3.903706125,5.904544846,0.183365181,295.2272423,0.09485584338438294,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,10340.966538213534,34.23420000288456,10340.966538213534,1676.850842512,8664.11569570153,-4.88235294117647,0.005978657480839543,0.9940210517756842,0.008312469486696965,0.002954854717397904,1.375912408725792,0.00124407117598061,3178.0550981305796,6183.1733248763485,36508.77978543266,-1.3876348930352833e-05,0.044319957138213795,2.244211545173173e-09,1.2139519205076461e-06,GOOD,0.49423381869050864,1.3903572019867076
Coachella,Corn,Colorado River,1014.780906,532.0,16.2,3.708931611,0.234536008,185.44658055,1.320694044672553,0.03352518541352239,0.3,0.17,423.9938724,1022.014707,159.5840787,50,8432.073658493,44.05174240858283,8432.073658493,1676.850842512,6755.222815981,-4.88235294117647,0.07027576836200168,0.9297188542634985,0.029614830910955247,0.18587662267519087,9.446268688150058,0.0032847812898573925,73366.87571152282,1014.7809471766511,3763.7486132634285,-4.1176651166097145e-05,0.004367239191196859,4.0576887998814145e-08,1.1603416095106349e-06,GOOD,2.644960375498291,0.4214088525991567
Coachella,Cucurbits,Colorado River,376.5089441,419.0,15.7,2.811221224,0.087908733,140.5610612,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,6436.768678233999,44.266156359409244,6436.768678233999,1676.850842512,4759.917835722,-4.88235294117647,0.22751797691315612,0.7724508353632622,0.08742310352923319,0.030602409550219752,11.64494758560549,0.0531195880294627,0.00018469840311205078,376.50894894942456,1058.4487000916693,-4.849424556141457e-06,0.0012345880804787157,1.287997173010971e-08,1.1664114097680579e-06,GOOD,0.13450545739469513,0.38424701518246485
Coachella,Dry Beans,Colorado River,119.1069023,1399.0,13.2,2.712448276,0.272510229,135.6224138,0.8579188204514863,0.04137219977784526,1.68,0.17,521.9411016,903.6303871,214.6292221,50,18330.315375174,128.86014519108093,18330.315375174,1676.850842512,16653.464532662,-4.88235294117647,0.5086377699115833,0.49134586705084393,0.2866664796423461,1.3054062997235805,11.510635452861788,0.00499751134269987,1837592.8583045395,119.10691744714089,323.07099891421365,-1.5147140885574117e-05,0.00031288912180116313,1.2717265408701774e-07,9.684831502204981e-07,GOOD,2.5664753522934403,0.5635965250716192
Coachella,Grain,Colorado River,22.89881662,227.0,8.7,2.463802738,0.351483763,123.1901369,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,1850.759064977,15.150982570806882,1850.759064977,1676.850842512,173.908222465,-4.88235294117647,0.15542182836928578,0.8445278523595813,0.11232060541405492,0.48363114685808484,6.021204280226563,0.05901402564930237,764.4644628248096,22.89894768391537,56.41845184182589,-0.00013106391536865658,-0.00028475650998416313,5.723610854815281e-06,5.047248514003522e-06,GOOD,3.1117324505343373,0.7226823065494933
Coachella,Lettuce,Colorado River,4898.447006,1018.0,12.0,1.345998595,0.164570286,67.29992975,0.680529189238487,1.2720462492145637,0.25,0.17,2859.243032,5814.317411,7949.261967,50,12147.743305605001,170.44900602654963,12147.743305605001,1676.850842512,10470.892463093,-4.88235294117647,0.9768485442679719,0.023087753083450974,0.4803740811219584,0.35135933358186455,11.95624685714439,0.0008165853371692064,234861.06188430128,4898.447209036436,6593.295247125643,-0.00020303643577790353,0.007540632313975948,4.144914409183332e-08,1.1436805735627574e-06,GOOD,0.35968660202607483,0.49175901826412594
Coachella,Onions & Garlic,Colorado River,252.8758648,233.0,19.3,3.522556052,0.178481578,176.1278026,0.8220938475297447,0.4158621200492846,0.41,0.17,887.6914461,1905.136225,1355.002253,50,4319.9382238,24.20162137116877,4319.9382238,1676.850842512,2643.087381288,-4.88235294117647,0.04983231086015538,0.9501601280750784,0.02321918792698089,0.03264623059594594,10.528098760729835,0.009645145028660334,23909.87199197798,252.8759031858701,890.7684783307964,-3.8385870112733755e-05,0.0009296251773776021,1.5179728655834045e-07,1.0436204578587737e-06,GOOD,0.6551217479671209,0.46594644170006466
