g,i,hr,xland,p,y,xwater_unit,omegaland,omegasupplies,omegalabor,theta,sigma,omegaland_init,omegasupplies_init,omegalabor_init,omegawater_unit,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupplies,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,year
SACRAMENTO VALLEY - BEND - BND01-FULL,Truck Crops,Sacramento River,69.11366439,5808.7562,4.15,2.662234731,0.139554281,0.396137579,0.419814805,0.25,0.17,7441.94487,27484.23099,27982.75263,50,133.11173655,23972.270986785000,171.24553926336000,23972.270986785000,513.2477201224,23459.0232666626,-4.88235294117647,0.6017554980409160,0.3982240199206860,9.94384631180555E-06,1.05381920868977E-05,3.744248310843840,0.057875675314052000,7424.009353305970,69.11366099941720,183.99527419519800,3.39058276210835E-06,0.001523530537554050,4.90580667663012E-08,8.28020137516205E-06,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Alfalfa,Sacramento River,1649.792293,272.4492508,6.115,3.537610105,0.306290873,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.88050525,1488.4819336540000,8.936835402375350,1488.4819336540000,412.0731453006,1076.4087883534,-4.88235294117647,0.01732076916954190,0.982675060702874,2.33242953643043E-06,1.83769804771947E-06,2.726630646448050,0.0003258800582857070,1929973.5320567400,1649.792070785700,5836.319615221210,0.00022221430094759900,0.002271646715598760,1.34692289381181E-07,3.89225741765564E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Almonds & Pistachios,Sacramento River,9175.315501,4879.891135,1.1585,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,5471.989453306500,29.686894246495600,5471.989453306500,412.0731453006,5059.9163080059,-4.88235294117647,0.05407554426253320,0.945920568809813,2.95559024753592E-06,9.31337406238296E-07,0.6416319109093020,0.0002724701945919490,1524448.6428276500,9175.315440718910,33156.57879259920,6.02810941927601E-05,0.008071991869655900,6.56992058596679E-09,2.43450627250063E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Citrus & Subtropical,Sacramento River,1232.119926,991.4781858,3.804,2.972946835,0.183365181,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50,148.64734175,3622.2494193752000,24.053420272813300,3622.2494193752000,412.0731453006,3210.1762740746,-4.88235294117647,0.106568887156704,0.8934163181749560,3.87990038686046E-06,1.09147679536687E-05,2.424764655911440,0.006243148519868750,234.65144681258100,1232.11992401315,3663.026165809930,1.9868500658049E-06,0.0008685322068231470,1.61254600617903E-09,2.37107779626074E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Corn,Sacramento River,2269.927736,228.8241394,6.08325,2.826875063,0.234536008,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.34375315,1249.77093189805,9.321306708804180,1249.77093189805,412.0731453006,837.69778659745,-4.88235294117647,0.052454732022828900,0.947518192014175,2.33549334494833E-05,3.72102954684994E-06,3.400111729403590,0.0014684755291845700,20356.07097836590,2269.927711654670,6416.8004166012000,2.43453332586796E-05,0.001695109246611540,1.07251578420643E-08,2.64167293474427E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Cotton,Sacramento River,494.4033815,1698.847366,0.768,2.633766816,0.148539114,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50,131.6883408,1172.354428748,9.387898396857390,1172.354428748,412.0731453006,760.2812834474,-4.88235294117647,0.07298462390092060,0.9269827918351220,2.77148114573114E-05,4.8694525000601E-06,0.4592329490924400,0.0029744704229821600,58746.38269919200,494.40337402884800,1302.1428817440700,7.47115166177537E-06,0.00033816882114479100,1.51114493576241E-08,2.59701710206204E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Cucurbits,Sacramento River,136.7563374,202.6283347,12.01,1.97136542,0.087908733,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50,98.568271,2334.027768181,23.284271465251400,2334.027768181,412.0731453006,1921.9546228804,-4.88235294117647,0.4627022836259310,0.5371228037884900,4.53524533783448E-05,0.00012956013220113500,10.344317035693200,0.14624550774200500,2.70888657551432E-05,136.7563374992240,269.59666346081000,-9.92236834918003E-08,5.10554025936472E-05,7.25550898614519E-10,1.8937694654501E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Dry Beans,Sacramento River,818.5191722,1327.355412,1.366666667,2.293810917,0.272510229,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50,114.69054585,1698.4996399664500,14.951343404361400,1698.4996399664500,412.0731453006,1286.42649466585,-4.88235294117647,0.20455472478837300,0.795374267405063,5.82222365835856E-05,1.27855699806677E-05,1.0007911686815200,0.0007272133817442860,975677.9338285780,818.5191786781630,1877.5277810724900,-6.47816250420874E-06,0.00043189367102058900,7.91449085645344E-09,2.30033119096662E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Grain,Sacramento River,2300.647898,209.3570012,2.9429,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000000,575.71278870848,14.522790868914200,575.71278870848,412.0731453006,163.63964340788,-4.88235294117647,0.9779169831614470,0.021065630899338500,0.0008256365162176650,0.00019174942299721500,2.9700807734148500,0.0005873786043166830,72279.94159300590,2300.649016219030,1815.3557545680900,-0.0011182190278304900,-0.00045046176228424900,4.860452695967E-07,2.48139722987178E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Other Deciduous,Sacramento River,119757.6717,1881.245886,2.029916667,3.327741402,0.215021845,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50,166.3870701,3651.482154750580,21.74021881701430,3651.482154750580,412.0731453006,3239.40900944998,-4.88235294117647,0.058337384173639700,0.9416516226305590,5.45645068019886E-06,5.53674512161886E-06,1.144721377701070,6.42322749191165E-05,23015.187866818100,119757.67139341500,398522.465607797,0.0003065854398300870,0.09671541670104490,2.56004843345737E-09,2.42684921368657E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Pasture,Sacramento River,5482.037297,185.5864254,5.0,3.965593094,0.350906068,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50,198.2796547,728.956485895,4.441472724748190,728.956485895,412.0731453006,316.8833405944,-4.88235294117647,0.0043910541375347000,0.9956068681837550,1.14404691938081E-06,9.33631790946303E-07,1.7280165233529400,0.000357674384083179,124834.44055610800,5482.036354986320,21739.51917621010,0.0009420136775588620,0.010069823536468900,1.71836422578586E-07,4.63203385064382E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Rice,Sacramento River,124233.5304,555.2847356,4.622,4.534377778,0.381523094,0.545092624,0.07948555,0.2,0.17,851.2633133,1216.2235,177.3500304,50,226.71888890000000,2338.8010577752,10.733606882790600,2338.8010577752,412.0731453006,1926.7279124746,-4.88235294117647,0.006389117659493530,0.9936091764012290,1.48883671524434E-06,2.17102561951727E-07,1.6733715030884500,4.02467834883327E-05,322628.54600698600,124233.52852643200,563321.6091172920,0.0018735680496320100,0.15041095507331200,1.50810175288395E-08,2.67007181116656E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Safflower,Sacramento River,729.1708965,558.2096776,0.951,2.357007476,0.396694215,0.424242424,0.112947658,0.74,0.17,212.2655769,227.006242,60.43672676,50,117.85037380000000,412.07314530060000,4.256275095083950,412.07314530060000,412.0731453006,0.0,-4.88235294117647,0.050526183784136200,0.9494080122170990,5.196828623694E-05,1.38357125282124E-05,0.5433516160314300,0.001853271102615040,55.415655935825100,729.1733358774610,1718.66651293793,-0.002439377460632390,-0.005258605807739510,3.34541253955874E-06,3.05971045456717E-06,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Sunflowers,Sacramento River,1480.729793,3772.681635,0.592333333,2.873453662,0.386904762,0.388227513,0.177248677,0.74,0.17,734.0697039,736.5793439,336.2917618,50,143.6726831,2090.0600231554400,14.715786129995500,2090.0600231554400,412.0731453006,1677.98687785484,-4.88235294117647,0.07757059440431750,0.9224084223678410,1.4406028943065E-05,6.57719889878586E-06,0.3557048816744730,0.0009126252188209680,476114.9147047150,1480.7297713894200,4254.807353200970,2.16105752315343E-05,0.0010929273867077400,1.45945434026492E-08,2.56868764022091E-07,GOOD,1
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Tomato Processing,Sacramento River,1136.166971,95.2204493,47.03288889,2.666779844,0.124471553,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50,133.3389922,4344.307392575780,31.786100668437500,4344.307392575780,412.0731453006,3932.23424727518,-4.88235294117647,0.21328256216699400,0.7866819946366410,2.61740502482324E-05,9.26914611708718E-06,34.48753563324620,0.001189395032458970,855938.5229770210,1136.166966908250,3029.9064626010700,4.09175208915258E-06,0.0007150802616706640,3.60136511057984E-09,2.36007316309236E-07,GOOD,1
