Subregion,HR,cvp_2021_wrt_2019,swp_2021_wrt_2019,curtailed_2021_wrt_2019,fallow_net_2021,applied_shortage_2021,net_local_gw_2021,cvp_2022_wrt_2019,swp_2022_wrt_2019,curtailed_2022_wrt_2019,fallow_net_2022,applied_shortage_2022,net_local_gw_2022
CSM02-WAs,San Joaquin River,0.0,0.0,438.5,-3.557619999999991,676.0866730398795,237.58667303987954,0.0,0.0,1049.125,277.9475800000001,1547.856271753606,498.73127175360605
DLM01-CC-IDs,San Joaquin River,201783.8041,0.0,2620.75,15809.372230000003,47922.21646662898,-156482.33763337103,233571.781,0.0,9131.0,14005.643170000003,46865.26999899828,-195837.5110010017
DLM02-NE-WAs,San Joaquin River,0.0,0.0,11648.25,759.9532899999999,2584.4855744208744,-9063.764425579126,0.0,0.0,47305.0,1371.55364,4211.366815694484,-43093.633184305516
DLM03-NW,San Joaquin River,21941.62852,1362.0,0.0,-80.78032999999985,-2780.873659404415,-26084.502179404415,58012.2361,902.0,0.0,267.93557,-825.1222658198499,-59739.358365819855
DLM04-SW-IDs,San Joaquin River,61800.06019,0.0,0.0,5340.293649999999,17011.55301350793,-44788.507176492065,147107.7817,0.0,0.0,9220.312209999998,28747.26108711379,-118360.5206128862
DLM05-S-WAs,San Joaquin River,4592.30335,0.0,0.0,1176.69371,4002.5065810645738,-589.7967689354264,8214.228035,0.0,0.0,908.6440299999999,4169.525051389837,-4044.702983610163
DLM06-S-IDs,San Joaquin River,4420.77693,0.0,0.0,2822.7465700000002,9851.257637133283,5430.480707133283,27662.63961,0.0,0.0,2382.89795,8516.912714261494,-19145.726895738502
ESJ01-NW-IDs,San Joaquin River,0.0,0.0,3731.916665,1014.3038,2122.288167012551,-1609.628497987449,0.0,0.0,37066.45833,1958.72866,3117.633505020746,-33948.82482497925
ESJ02-SW-IDs,San Joaquin River,0.0,0.0,2915.64375,2277.83055,7416.192391401554,4500.548641401554,0.0,0.0,15726.45625,2075.6997499999998,7264.139039172127,-8462.317210827872
ESJ03-CE-WAs,San Joaquin River,0.0,0.0,18077.40833,3060.570870000001,7187.834349618105,-10889.573980381894,0.0,0.0,64795.49167,3384.761760000001,9121.571491161958,-55673.920178838045
KAW01-CC-TID,Tulare Lake,115066.2559,0.0,0.0,3488.2087799999995,11131.302626891948,-103934.95327310805,64657.63724,0.0,0.0,4865.46568,15864.004490911611,-48793.632749088385
KAW02-CC,Tulare Lake,97745.73906,0.0,0.0,8965.68058,28125.134771005043,-69620.60428899496,84875.41556,0.0,0.0,9666.1173,33504.22146161507,-51371.19409838493
KAW03-SE-LindsayStrat,Tulare Lake,15961.56498,0.0,0.0,56.16934000000003,208.24960053288774,-15753.31537946711,29493.44814,0.0,0.0,-32.679569999999984,-132.26900214247377,-29625.717142142475
KGS01-NE-FID,Tulare Lake,11530.57995,0.0,0.0,3528.05285,13992.681340030618,2462.101390030619,-11672.60095,0.0,0.0,2631.99129,9935.111250420467,21607.712200420465
KGS02-SE,Tulare Lake,24176.0,0.0,0.0,6788.857970000001,26575.049564898134,2399.049564898134,32199.6,0.0,0.0,5411.885390000001,21088.730944861556,-11110.869055138442
KGS03-CC-WA,Tulare Lake,1318.204781,0.0,0.0,5409.06896,22544.004142507634,21225.799361507634,1318.204781,0.0,0.0,6651.844639999999,29564.63471998393,28246.42993898393
KGS04-SW-ID,Tulare Lake,6699.75672,0.0,0.0,5619.80256,20701.042036827075,14001.285316827074,37285.29992,0.0,0.0,5868.2782099999995,21988.36391361964,-15296.936006380358
KGS05-SW-WA,Tulare Lake,0.0,0.0,0.0,3179.73696,9858.61209087032,9858.61209087032,0.0,0.0,0.0,2922.0194,9561.05426958183,9561.05426958183
KRN01-NW,Tulare Lake,0.0,162742.8693,0.0,10822.040980000002,36581.06498541934,-126161.80431458066,0.0,250514.7612,0.0,12948.42566,48835.0032339044,-201679.7579660956
KRN02-NC,Tulare Lake,71242.91876,86717.53711,0.0,10113.692339999998,39750.912029924606,-118209.5438700754,59731.81916,133486.2808,0.0,10136.00664,40996.32931768802,-152221.770682312
KRN03-NE,Tulare Lake,120732.0807,17311.89835,0.0,7818.4566,30456.682959599024,-107587.29614040097,117015.6028,26648.60899,0.0,6227.002850000001,25668.969430066878,-117995.24236993311
KRN04-CC,Tulare Lake,0.0,12102.09941,0.0,7023.560139999999,20562.144892886947,8460.045482886946,0.0,18630.01132,0.0,7798.499519999999,24014.66641794849,5384.655097948489
KRN05-SC,Tulare Lake,197507.2317,76519.29151,0.0,14924.561859999998,44962.71778647258,-229063.8054135274,119550.6056,117789.9338,0.0,10290.930689999997,34137.92708970702,-203202.61231029299
KRN06-OTHER,Tulare Lake,25592.72265,12990.23599,0.0,2512.5831900000003,7018.725658776291,-31564.232981223708,24609.31366,20478.81338,0.0,1768.92946,6318.782966955601,-38769.3440730444
LMS01-IDs,Sacramento River,0.0,0.0,51.25,243.94612,751.1691242201742,699.9191242201742,0.0,0.0,563.75,454.71639999999996,1455.40278246161,891.6527824616101
LMS02-WAs,Sacramento River,0.0,0.0,35.75,71.56236,247.66461669580497,211.91461669580497,0.0,0.0,304.0,152.44463,644.3326361841481,340.3326361841481
MAD01-SW-WA,San Joaquin River,0.0,0.0,0.0,683.4561199999999,1296.7008961498111,1296.7008961498111,0.0,0.0,713.0,878.69783,2253.211671311137,1540.2116713111368
MAD02-CC-MID&Gravelly,San Joaquin River,173198.0633,0.0,31.0,2509.269439999999,6896.604932044453,-166332.45836795555,199329.4109,0.0,388.0,2747.7545200000004,8641.506960094632,-191075.90393990534
MAD03-E-WA,San Joaquin River,5095.02113,0.0,0.0,2561.8979700000004,7358.212895166284,2263.1917651662843,5921.285485,0.0,26.75,3323.47043,11261.947539847168,5313.912054847167
MER01-CC-MID,San Joaquin River,0.0,0.0,30.75,4890.772740000001,14542.115594797991,14511.365594797991,0.0,0.0,247.0,7377.947480000002,23553.56238576005,23306.56238576005
MER02-NW-StevinsonMerquin,San Joaquin River,0.0,0.0,246.4999998,184.28493,570.8244141751466,324.32441437514655,0.0,0.0,484.6666666,49.00155999999997,-184.9538713231777,-669.6205379231777
MER03-SW-TurnerIs,San Joaquin River,0.0,0.0,5860.0,132.45633,998.3790618205206,-4861.62093817948,0.0,0.0,17077.75,110.73438000000002,517.871619067421,-16559.87838093258
MER04-RestWA,San Joaquin River,2485.991183,0.0,22164.0,6764.713390000001,27929.775781797784,3279.7846017977827,2485.991183,0.0,42608.75,6937.48895,26730.18698716871,-18364.55419283129
MOD01-CC-OAK&MID,San Joaquin River,0.0,0.0,454.375,2308.8835899999995,7066.228897318004,6611.853897318004,0.0,0.0,1468.5,2358.36219,7191.225171730399,5722.725171730399
