Subregion,CV_Ag_Code,applied_water_unit,fallow_2019,fallow_2021,fallow_net_2021,applied_shortage_2021,fallow_2022,fallow_net_2022,applied_shortage_2022
CSM02-WAs,Young Perennial,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLM01-CC-IDs,Alfalfa,4.296666667,664.50625,3879.06912,3214.56287,13811.905132504857,4519.8048,3855.29855,16564.932771118434
DLM01-CC-IDs,Almonds,4.038242182,3791.77802,1380.93774,-2410.8402800000003,-9735.556912760692,1682.22737,-2109.55065,-8518.87641989552
DLM01-CC-IDs,Beans Dry,1.761666667,256.71332,861.82165,605.10833,1065.9991748850362,352.95438,96.24106,169.54466739874704
DLM01-CC-IDs,Corn,1.89,1438.86613,3445.28732,2006.4211899999998,3792.1360490999996,2862.99939,1424.1332599999998,2691.6118613999997
DLM01-CC-IDs,Cotton,3.356666667,797.356,8517.75632,7720.400320000001,25914.810410040136,7736.80326,6939.44726,23293.41130504648
DLM01-CC-IDs,Cucurbits,2.32,62.1515,628.2435,566.0920000000001,1313.33344,681.09955,618.94805,1435.9594759999998
DLM01-CC-IDs,Field and Grain,0.753333333,460.69652,434.9078,-25.788720000000012,-19.42750239140377,508.50962,47.81309999999996,36.01920198406228
DLM01-CC-IDs,Grapes,2.62,34.5397,34.5397,0.0,0.0,0.0,-34.5397,-90.494014
DLM01-CC-IDs,Lettuce,2.57212037,149.56216,0.0,-149.56216,-384.6918783171992,0.0,-149.56216,-384.6918783171992
DLM01-CC-IDs,Fallow,2.5,795.45543,461.65473,-333.8007,-834.50175,126.55972,-668.89571,-1672.239275
DLM01-CC-IDs,Onions and Garlic,2.933333333,57.19802,137.13052,79.93249999999999,234.4686666400225,113.37254,56.17452,164.77859198127518
DLM01-CC-IDs,Orchards,3.433623126,176.84121,229.95353,53.11232000000001,182.36769022751236,531.16061,354.31940000000003,1216.5992858304446
DLM01-CC-IDs,Pasture,5.373333333,222.73986,905.54234,682.80248,3668.9253256390652,1116.14718,893.4073199999999,4800.575332502197
DLM01-CC-IDs,Pistachios,3.796879957,563.17708,293.30823,-269.86885000000007,-1024.6596275836396,95.46435,-467.7127300000001,-1775.8490901707528
DLM01-CC-IDs,Potatoes,1.7,0.0,242.31316,242.31316,411.932372,0.0,0.0,0.0
DLM01-CC-IDs,Rice,4.5,32.3863,534.33371,501.94741,2258.763345,1022.49246,990.10616,4455.47772
DLM01-CC-IDs,Safflower,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLM01-CC-IDs,Subtropical,3.786067839,0.7573,0.7573,0.0,0.0,0.7573,0.0,0.0
DLM01-CC-IDs,Tomatoes,2.125,202.71199,2770.72286,2568.01087,5457.02309875,2186.32019,1983.6082,4215.167425
DLM01-CC-IDs,Truck,1.003333333,0.0,58.02099,58.02099,58.21439328065967,103.42932,103.42932,103.77408436552356
DLM01-CC-IDs,Walnuts,3.700079648,314.6368,314.55663,-0.08017000000000962,-0.2966353853801956,295.57486,-19.061939999999993,-70.5306962453971
DLM01-CC-IDs,Young Perennial,2.5,1151.48567,1852.07434,700.5886699999999,1751.4716749999998,1243.52553,92.03985999999986,230.09964999999966
DLM02-NE-WAs,Alfalfa,4.296666667,0.0,221.02118,221.02118,949.6543368070071,343.72128,343.72128,1476.8557665145738
DLM02-NE-WAs,Almonds,4.110607908,0.0,57.43439,57.43439,236.09025772515614,57.43439,57.43439,236.09025772515614
DLM02-NE-WAs,Beans Dry,1.761666667,0.0,4.85037,4.85037,8.54473515161679,86.28438,86.28438,152.00431612876147
DLM02-NE-WAs,Corn,1.89,65.42763,115.96575,50.538120000000006,95.5170468,191.82083,126.39320000000001,238.883148
DLM02-NE-WAs,Cucurbits,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLM02-NE-WAs,Field and Grain,0.753333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLM02-NE-WAs,Fallow,2.5,0.0,13.33645,13.33645,33.341125,13.33645,13.33645,33.341125
DLM02-NE-WAs,Orchards,3.475375878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLM02-NE-WAs,Pasture,5.373333333,0.0,0.0,0.0,0.0,33.30336,33.30336,178.95005438889885
