g,HR,cvp_2021_wrt_2018,swp_2021_wrt_2018,curtailed_2021_wrt_2018,fallow_net_2021,applied_shortage_2021,net_local_gw_2021,cvp_2022_wrt_2018,swp_2022_wrt_2018,curtailed_2022_wrt_2018,fallow_net_2022,applied_shortage_2022,net_local_gw_2022
SAM02-WAs,Sacramento River,0.0,0.0,130.125,252.33878000000004,652.3423961949848,522.2173961949848,0.0,0.0,486.75,383.19705999999996,926.1741650015499,439.4241650015499
SLN01-SE-IDs,Sacramento River,0.0,0.0,998.5,413.4557599999999,1080.892828035291,82.3928280352909,0.0,0.0,9025.0,3922.7744700000003,11030.273829086453,2005.2738290864527
SLN02-NC-IDs,Sacramento River,0.0,0.0,189.4999999,1442.2836399999999,4280.753232907362,4091.253233007362,0.0,0.0,1953.75,2799.4580399999995,8684.750587557397,6731.000587557397
SLN03-WAs,Sacramento River,0.0,0.0,3559.5,3758.4040900000005,10918.935814879778,7359.435814879778,0.0,0.0,34244.75,3515.1245099999996,11558.755107402883,-22685.99489259712
STR01-IDs,Sacramento River,49001.5837,0.0,2871.583333,35272.45417999999,149537.60556311748,97664.43853311749,143361.807,0.0,24626.25,62096.83942,249216.8824810037,81228.8254810037
STR02-WAs,Sacramento River,-994.518081,0.0,3796.729166,3583.8940000000002,13327.07657982623,10524.86549482623,2078.300671,0.0,36472.9375,4826.104509999999,15724.709149663708,-22826.52902033629
SYB01-IDs,Sacramento River,0.0,0.0,3281.0,1735.42839,7331.660858661677,4050.6608586616767,0.0,0.0,13357.0,1579.875,5043.988913292646,-8313.011086707353
SYB02-WAs,Sacramento River,0.0,0.0,296.5,1263.10842,4850.803230325721,4554.303230325721,0.0,0.0,206.25,1285.5463699999998,4064.939535597013,3858.689535597013
TLE01-NC,Tulare Lake,251403.6341,0.17201778,0.0,21533.669189999997,76139.63884985333,-175264.16725014665,155985.9889,0.238953647,0.0,16316.781520000002,57980.279531020045,-98005.94836897995
TLE02-SW-WA,Tulare Lake,46607.86298,7.130712613,0.0,8956.524089999999,27138.37005851368,-19476.623631486324,37470.51789,10.22868397,0.0,5223.12361,17786.95684863191,-19693.78972136809
TLE03-E-ID,Tulare Lake,1109.16181,0.0,0.0,533.4607299999999,2209.1844466943458,1100.0226366943457,10811.08925,0.0,0.0,283.58232,1473.7029959851984,-9337.386254014802
TLE04-E-WAs,Tulare Lake,6990.495074,0.0,0.0,1964.5744199999997,6378.651678744271,-611.8433952557298,6961.660659,0.0,0.0,1389.5004299999998,5470.212622715082,-1491.448036284918
TLK01-CC-IDs,Tulare Lake,0.0,59006.15017,0.0,48201.399009999994,145702.67658654426,86696.52641654425,-129.0621832,78823.46183,0.0,30898.50727,98815.36745322024,20120.967803220236
TLK02-EC-CorcID,Tulare Lake,0.0,975.6566905,0.0,5369.45038,18771.185932323504,17795.529241823504,-118.9762382,1355.305972,0.0,5321.82298,18494.47425163622,17258.14451863622
TLK03-NC-WAs,Tulare Lake,0.0,0.703148303,0.0,1649.6449000000005,4284.011802916896,4283.308654613897,0.0,0.788671394,0.0,2925.7321600000005,8123.784255011984,8122.995583617984
TLK04-NC-Lemoore,Tulare Lake,0.0,0.0,0.0,1090.97729,4195.222006767825,4195.222006767825,0.0,0.0,0.0,1168.6427299999998,4579.789390456961,4579.789390456961
TRC01-CC-IDs,San Joaquin River,982.446727,0.0,11995.625,2368.30192,-891.1965236835404,-13869.26825368354,5754.086913,0.0,96916.0,6204.76205,7091.741685975201,-95578.3452140248
TRC02-CC-WAs,San Joaquin River,0.0,0.0,271.0,480.81674,1890.1914115063944,1619.1914115063944,0.0,0.0,2902.25,641.11511,1988.6172193799555,-913.6327806200445
TUR01-CW-TID,San Joaquin River,0.0,0.0,2841.25,4321.029939999999,13340.122912274057,10498.872912274057,0.0,0.0,1602.416667,6359.84961,19285.522795508587,17683.106128508585
TUR02-SE-MID,San Joaquin River,0.0,0.0,0.0,169.27358999999998,680.4924789517855,680.4924789517855,0.0,0.0,0.0,112.54516,419.2671782593839,419.2671782593839
TUR03-E-WA,San Joaquin River,0.0,0.0,2683.75,6887.82212,23053.535564979535,20369.785564979535,0.0,0.0,632.0,6442.7675899999995,21129.429116156163,20497.429116156163
VNA01-FULL,Sacramento River,0.0,0.0,921.5,1786.20871,6060.827147835947,5139.327147835947,0.0,0.0,6952.25,3853.6451899999993,12984.261566325558,6032.011566325558
WST01-ALL,Tulare Lake,547650.2591,7.199638974,0.0,84885.15914,239360.88894957257,-308296.5697504274,737165.7462,8.120305934,0.0,76344.38984999998,231824.21753212262,-505349.6489678774
WWS01,Tulare Lake,14110.86546,4227.99507,0.0,2318.7928300000003,8520.539822135479,-9818.320707864523,-3139.16793,23071.53732,0.0,1842.2272200000002,6604.944299950848,-13327.425090049152
WYC01-FULL,Sacramento River,0.0,0.0,11055.75,-7.462400000000001,-18.96227581599013,-11074.71227581599,0.0,0.0,0.0,29.65005,100.07355933862561,100.07355933862561
YLO01-SE-IDs,Sacramento River,0.0,0.0,812.4999998,-43.11828000000005,225.99543213222174,-586.5045676677782,0.0,0.0,8346.5,1067.6741,3240.2241964312434,-5106.275803568757
YLO02-NE-IDs,Sacramento River,34957.77407,0.0,792.5625,11158.51719,41576.99535097382,5826.658780973819,48902.52341,0.0,6837.4375,18351.33819,73122.42484280793,17382.46393280793
YLO03-CC-WAs,Sacramento River,13549.71642,0.0,1151.75,24968.49367,82828.50492515632,68127.03850515632,26673.24001,0.0,3052.75,32592.559609999997,102886.84809630475,73160.85808630474
