g,i,applied_water_unit,fallow_2018,fallow_2021,fallow_net_2021,applied_shortage_2021,fallow_2022,fallow_net_2022,applied_shortage_2022,year
CLS01-SC-ColusaCountyWD,Tomatoes,2.55,0,136.77433,136.77433,348.77454149999994,146.55632,146.55632,373.718616,2022
CLS01-SC-ColusaCountyWD,Truck,2.5,0,0,0,0,0,0,0,2022
CLS01-SC-ColusaCountyWD,Walnuts,3.535785935,0,42.47186,42.47186,150.1714052212891,67.54574,67.54574,238.82727746116686,2022
CLS01-SC-ColusaCountyWD,Young Perennial,2.5,0,0,0,0,0,0,0,2022
CLS02-North-WAs,Alfalfa,3.568333333,0,2159.51419,2159.51419,7705.866467263495,2057.07315,2057.07315,7340.322689564309,2022
CLS02-North-WAs,Almonds,3.530595872,1018.44084,1566.05337,547.6125300000001,1933.3985378734767,2563.92714,1545.4862999999998,5456.487551012553,2022
CLS02-North-WAs,Beans Dry,2.078333333,0,0,0,0,50.57356,50.57356,105.10871551647547,2022
CLS02-North-WAs,Berries,2.788699735,0,0,0,0,0,0,0,2022
CLS02-North-WAs,Corn,2.38,1.58144,1720.92282,1719.34138,4092.032484,2384.13166,2382.55022,5670.469524,2022
CLS02-North-WAs,Cotton,2.781666667,0,101.45921,101.45921,282.2257025171531,207.003,207.003,575.8133451,2022
CLS02-North-WAs,Cucurbits,2.026666667,0,31.21899,31.21899,63.27048641040634,105.85293,105.85293,214.52860483528434,2022
CLS02-North-WAs,Fallow,2.5,302.26772,747.52297,445.25525,1113.138125,125.24257,-177.02515,-442.562875,2022
CLS02-North-WAs,Field and Grain,1.126666667,441.21017,1422.392,981.18183,1105.4648621270608,574.30619,133.09602,149.95484924436536,2022
CLS02-North-WAs,Grapes,2.5,0,0,0,0,0,0,0,2022
CLS02-North-WAs,Orchards,2.919974751,34.78621,147.93674,113.15052999999999,330.3966907,271.08762,236.30141000000003,689.9941508,2022
CLS02-North-WAs,Pasture,4.071666667,984.02526,1431.13737,447.1121099999999,1820.4914746990369,1514.83226,530.8069999999999,2161.2691685102686,2022
CLS02-North-WAs,Pistachios,4.016515046,57.0122,0,-57.0122,-228.9903591,0,-57.0122,-228.9903591,2022
CLS02-North-WAs,Rice,4.5,204.109,1611.54219,1407.43319,6333.449355,2001.59507,1797.4860700000002,8088.687315000001,2022
CLS02-North-WAs,Subtropical,2.423636369,18.0482,243.9006,225.8524,547.3840906659356,33.72595,15.677749999999996,37.997165084089744,2022
CLS02-North-WAs,Sunflowers,2.48,0,268.79363,268.79363,666.6082024,201.02121,201.02121,498.5326008,2022
CLS02-North-WAs,Tomatoes,2.606666667,0,173.52064,173.52064,452.3104683245068,59.99616,59.99616,156.38999041999872,2022
CLS02-North-WAs,Truck,2.601666667,0,0,0,0,0,0,0,2022
CLS02-North-WAs,Walnuts,3.491567272,669.71388,281.81195,-387.90193,-1354.385684,247.25442,-422.45946,-1475.045624,2022
CLS02-North-WAs,Young Perennial,2.5,2.57671,33.78404,31.20733,78.018325,71.81509,69.23837999999999,173.09595,2022
CLS03-IDs,Alfalfa,3.356666667,59.76796,1283.01755,1223.2495900000001,4106.041124174417,1306.57685,1246.80889,4185.121841182269,2022
CLS03-IDs,Almonds,3.565420392,1791.44865,616.22389,-1175.22476,-4190.170324,895.07253,-896.37612,-3195.957697,2022
CLS03-IDs,Beans Dry,2.146666667,38.90571,128.53842,89.63271,192.41155082987757,297.23337,258.32766,554.5433768861092,2022
CLS03-IDs,Corn,2.535,33.38852,1097.49667,1064.10815,2697.5141602500003,1738.25415,1704.86563,4321.834372050001,2022
CLS03-IDs,Cotton,2.793333333,26.36122,1113.44798,1087.08676,3036.595682570971,1032.66097,1006.2997499999999,2810.9306346645667,2022
CLS03-IDs,Cucurbits,2.028333333,0,320.10024,320.10024,649.2699866932999,989.24476,989.24476,2006.5181212035852,2022
CLS03-IDs,Fallow,2.5,232.82023,1053.49432,820.67409,2051.685225,1384.93802,1152.11779,2880.294475,2022
CLS03-IDs,Field and Grain,0.961666667,79.77281,979.80077,900.02796,865.5268885000094,381.11874,301.34593,289.79433611711534,2022
CLS03-IDs,Grapes,2.436666667,0,0,0,0,0,0,0,2022
CLS03-IDs,Onions and Garlic,2.586666667,0,0,0,0,28.03916,28.03916,72.52796054267971,2022
CLS03-IDs,Orchards,3.254876539,0,78.01267,78.01267,253.92160932774914,99.24833,99.24833,323.04106085192984,2022
CLS03-IDs,Pasture,4.001666667,720.71105,941.23994,220.52889000000005,882.4831082235099,547.88242,-172.82863,-691.6025678,2022
CLS03-IDs,Pistachios,4.064139636,0,0,0,0,0,0,0,2022
CLS03-IDs,Rice,4.5,793.98375,50822.31943,50028.335680000004,225127.51056000002,164851.1024,164057.1187,738257.0339,2022
CLS03-IDs,Safflower,1.948333333,0,123.75237,123.75237,241.11086750874918,0,0,0,2022
CLS03-IDs,Subtropical,2.454171515,0,0,0,0,0,0,0,2022
CLS03-IDs,Sunflowers,2.190833333,128.22478,1413.72739,1285.50261,2816.321967646499,2387.9031,2259.67832,4950.578585,2022
CLS03-IDs,Tomatoes,2.333333333,231.38697,2297.3926,2066.00563,4820.679802644665,2655.16982,2423.78285,5655.493315858739,2022
CLS03-IDs,Truck,2.253333333,0,107.80308,107.80308,242.91627356406562,93.3727,93.3727,210.3998173022091,2022
CLS03-IDs,Walnuts,3.510588492,1302.27995,454.07429,-848.20566,-2977.701029,479.29061,-822.98934,-2889.176906,2022
CLS03-IDs,Young Perennial,2.5,39.25292,73.76364,34.51071999999999,86.27679999999998,73.76364,34.51071999999999,86.27679999999998,2022
CRN01-IDs,Alfalfa,2.5,0,17.7367,17.7367,44.34175,17.7367,17.7367,44.34175,2022
CRN01-IDs,Almonds,3.482130996,0,0,0,0,0,0,0,2022
CRN01-IDs,Corn,2.5,0,9.13209,9.13209,22.830225,9.13209,9.13209,22.830225,2022
CRN01-IDs,Fallow,2.5,0,0,0,0,0,0,0,2022
CRN01-IDs,Field and Grain,1.29,0,5.27155,5.27155,6.8002995,5.27155,5.27155,6.8002995,2022
CRN01-IDs,Grapes,2.5,0,0,0,0,0,0,0,2022
CRN01-IDs,Orchards,2.73348194,0,17.79678,17.79678,48.64717672015319,36.27633,36.27633,99.1606929,2022
