g,i,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland
11,HAY,2010,1.623515924,102.5890561,337.5895678,38.17267224,153.216,5.45,3191.243847
11,HAY,2011,2.041612526,65.75727093,216.3872981,24.46782187,243.288,2.2,3269.172749
11,HAY,2012,1.933072606,72.33043523,238.0175945,26.91365045,250.526,2.35,3668.835158
11,HAY,2013,1.716660458,140.3864002,461.9691997,52.23680033,215.6,5.3,3717.227804
11,HAY,2014,2.011423343,130.4948153,429.4189844,48.55621059,225.993,4.7,3604.207117
11,HAY,2015,2.366216552,115.6900013,380.7008174,43.04744255,181.089,5.2,3604.20678
11,HAY,2016,2.258311487,55.51570292,182.6853942,20.65700584,141.21,3.2,3694.570241
11,HAY,2017,2.117307507,102.7077853,337.9802695,38.21685052,160.768,5.2,4145.678291
11,HAY,2018,2.282255096,45.21142862,148.7771428,16.82285725,184,2,4145.678295
12,HAY,2010,1.824445136,94.11840011,309.7151998,35.02080022,153.216,5,18.359402
12,HAY,2011,2.117650137,155.4262768,511.4608865,57.8330335,243.288,5.2,18.359402
12,HAY,2012,2.131913623,150.8166522,496.2920056,56.11782435,250.526,4.9,18.359402
12,HAY,2013,1.85363387,140.3864002,461.9691997,52.23680033,215.6,5.3,18.359402
12,HAY,2014,2.088035,130.4948153,429.4189844,48.55621059,225.993,4.7,18.359402
12,HAY,2015,2.418536959,115.6900013,380.7008174,43.04744255,181.089,5.2,18.3594
12,HAY,2016,2.495204201,90.21301725,296.8637655,33.5676345,141.21,5.2,18.3594
12,HAY,2017,2.218984719,102.7077853,337.9802695,38.21685052,160.768,5.2,18.3594
12,HAY,2018,2.329417924,101.7257144,334.7485712,37.85142881,184,4.5,18.3594
13,HAY,2008,2.469466243,140.5583019,462.5348762,52.30076376,260.018,4.4,616.024417
13,HAY,2009,2.118541697,85.9294801,282.7679398,31.9737602,142.74,4.9,1018.677445
13,HAY,2010,1.777169281,102.5890561,337.5895678,38.17267224,153.216,5.45,1034.603196
13,HAY,2011,2.212446021,65.75727093,216.3872981,24.46782187,243.288,2.2,1287.466105
13,HAY,2012,2.196386494,72.33043523,238.0175945,26.91365045,250.526,2.35,1319.725761
13,HAY,2013,1.904614172,140.3864002,461.9691997,52.23680033,215.6,5.3,1340.536097
13,HAY,2014,2.140611825,130.4948153,429.4189844,48.55621059,225.993,4.7,1340.536079
13,HAY,2015,2.470117183,115.6900013,380.7008174,43.04744255,181.089,5.2,1340.535924
13,HAY,2016,2.483489637,55.51570292,182.6853942,20.65700584,141.21,3.2,1405.037198
13,HAY,2017,2.237366265,102.7077853,337.9802695,38.21685052,160.768,5.2,1405.01535
13,HAY,2018,2.377957035,45.21142862,148.7771428,16.82285725,184,2,1405.015349
14,HAY,2008,2.34810488,140.5583019,462.5348762,52.30076376,260.018,4.4,345.236845
14,HAY,2009,2.075275957,85.9294801,282.7679398,31.9737602,142.74,4.9,390.109032
14,HAY,2010,1.738496234,94.11840011,309.7151998,35.02080022,153.216,5,360.968257
14,HAY,2011,2.088000766,155.4262768,511.4608865,57.8330335,243.288,5.2,378.277991
14,HAY,2012,2.204265394,150.8166522,496.2920056,56.11782435,250.526,4.9,378.277985
14,HAY,2013,1.849730264,140.3864002,461.9691997,52.23680033,215.6,5.3,373.777076
14,HAY,2014,2.044474508,130.4948153,429.4189844,48.55621059,225.993,4.7,373.777077
14,HAY,2015,2.295173603,115.6900013,380.7008174,43.04744255,181.089,5.2,373.777033
14,HAY,2016,2.492974521,90.21301725,296.8637655,33.5676345,141.21,5.2,373.777033
14,HAY,2017,2.186039226,102.7077853,337.9802695,38.21685052,160.768,5.2,373.777033
14,HAY,2018,2.339449547,101.7257144,334.7485712,37.85142881,184,4.5,373.777033
15,HAY,2008,2.329473319,63.89013722,210.2431256,23.77307443,260.018,2,38.545261
15,HAY,2009,2.075223917,85.9294801,282.7679398,31.9737602,142.74,4.9,38.545261
15,HAY,2010,1.829536239,42.35328005,139.3718399,15.7593601,153.216,2.25,38.545261
15,HAY,2011,2.111503819,59.77933721,196.7157256,22.24347442,243.288,2,258.825365
15,HAY,2012,2.221395133,121.576689,400.072127,45.237838,250.526,3.95,315.06733
15,HAY,2013,1.929038212,78.13960009,257.1337998,29.07520018,215.6,2.95,113.725095
15,HAY,2014,2.093741957,74.96510666,246.6875017,27.89399332,225.993,2.7,112.38835
15,HAY,2015,2.337659275,47.83336591,157.4051457,17.79846183,181.089,2.15,293.67502
15,HAY,2016,2.495862831,52.04597149,171.267557,19.36594298,141.21,3,293.67501
15,HAY,2017,2.218074349,102.7077853,337.9802695,38.21685052,160.768,5.2,293.675013
15,HAY,2018,2.337700954,47.47200006,156.2159999,17.66400011,184,2.1,567.847416
16,HAY,2008,2.43279412,140.5583019,462.5348762,52.30076376,260.018,4.4,188.702582
