region,crop,hr,xland,p,y,xwater_unit,omegaland,omegawater,omegasupplies,omegalabor,theta,omegawater_unit,CS_land,CS_labor,CS_supplies
12,Cucurbits,San Joaquin River,485.2556058,384.0603914,14.86947686,0.435073804,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591
12,Field and Grain,San Joaquin River,3977.340139,194.8087562,3.454627792,0.406239765,127.4152527,50,76.29216244,327.7457083,0.74,50,0.189326621,0.486998112,0.113362702
12,Grapes,San Joaquin River,8646.868311,1686.199914,10.80135885,0.348470177,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166
12,Orchards,San Joaquin River,5421.522265,4762.917744,3.247388671,0.308872199,2203.997553,50,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127
12,Pasture,San Joaquin River,9735.744411,226.9343417,5,0.235487002,214.8235605,50,128.6294508,552.5829798,0.51,50,0.189326621,0.486998112,0.113362702
12,Pistachios,San Joaquin River,318.6874672,4897.401316,1.414819371,0.285123316,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
12,Potatoes,San Joaquin River,3763.01473,919.9316484,16.13648405,0.332734217,1515.990126,50,1581.902745,9194.809715,0.41,50,0.10212496,0.619410086,0.106565176
12,Safflower,San Joaquin River,293.0658075,575.1459791,1.245291589,0.46509079,140.0879783,50,80.89587427,303.852797,0.74,50,0.195592287,0.424242424,0.112947658
12,Subtropical,San Joaquin River,218.0015077,950.3385633,4.405405823,0.348142245,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361
12,Truck,San Joaquin River,239.2525348,690.3355797,21.20927139,0.370607374,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021
12,Walnuts,San Joaquin River,8533.633905,1802.497789,1.658526763,0.688035933,765.1413128,50,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664
13,Alfalfa,San Joaquin River,36781.65294,290.4258221,6.981811447,0.248041574,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255
13,Almonds,San Joaquin River,248123.3746,4775.762292,1.018616781,0.309072179,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311
13,Beans Dry,San Joaquin River,454.4272786,1593.773361,1.285477627,0.466247784,174.4872303,50,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516
13,Berries,San Joaquin River,232.5986876,6918.471451,4.49116409,0.480750513,1405.645459,50,12947.16439,12034.90563,0.25,50,0.045238346,0.387323291,0.416682812
13,Corn,San Joaquin River,68264.57163,77.55530093,25.22861255,0.418264113,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293
13,Cotton,San Joaquin River,9980.560238,3399.208415,0.729719844,0.280759835,368.4467916,50,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087
13,Cucurbits,San Joaquin River,381.5091794,384.0603914,14.86947686,0.435073804,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591
13,Field and Grain,San Joaquin River,29574.5574,194.8087562,3.454627792,0.406239765,127.4152527,50,76.29216244,327.7457083,0.74,50,0.189326621,0.486998112,0.113362702
13,Grapes,San Joaquin River,73495.54151,1686.199914,10.80135885,0.348470177,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166
13,Onions and Garlic,San Joaquin River,685.1750378,1579.216395,6.547714821,1.004774789,1660.207972,50,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415
13,Orchards,San Joaquin River,15991.90682,4762.917744,3.247388671,0.308872199,2203.997553,50,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127
13,Pasture,San Joaquin River,17136.07339,226.9343417,5,0.235487002,214.8235605,50,128.6294508,552.5829798,0.51,50,0.189326621,0.486998112,0.113362702
13,Pistachios,San Joaquin River,69324.90596,4897.401316,1.414819371,0.285123316,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284
13,Potatoes,San Joaquin River,12938.74405,919.9316484,16.13648405,0.332734217,1515.990126,50,1581.902745,9194.809715,0.41,50,0.10212496,0.619410086,0.106565176
13,Rice,San Joaquin River,1085.172573,573.2274458,4.688550562,0.213730412,335.3762222,50,192.0996257,1541.750863,0.2,50,0.124786237,0.573652143,0.071476115
13,Safflower,San Joaquin River,55.10942187,575.1459791,1.245291589,0.46509079,140.0879783,50,80.89587427,303.852797,0.74,50,0.195592287,0.424242424,0.112947658
13,Subtropical,San Joaquin River,7801.571193,950.3385633,4.405405823,0.348142245,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361
13,Truck,San Joaquin River,1579.155421,690.3355797,21.20927139,0.370607374,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021
13,Walnuts,San Joaquin River,8524.386869,1802.497789,1.658526763,0.688035933,765.1413128,50,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664
14A,Alfalfa,Tulare Lake,3707.835084,279.620574,8.447932227,0.238722103,665.8443229,50,356.4707563,440.2816103,1.86,50,0.281872792,0.186385019,0.150905255
14A,Almonds,Tulare Lake,100719.4685,4875.001978,1.131453803,0.30102452,1199.972919,50,516.3560009,1661.846397,0.4,50,0.217550368,0.301286212,0.093613311
14A,Beans Dry,Tulare Lake,8765.374646,1326.519215,1.43231235,0.571284481,161.8168882,50,134.9933596,957.6035242,1.68,50,0.085167238,0.504004546,0.071049516
14A,Berries,Tulare Lake,164.466173,7027.33636,10.36058171,0.736063275,3293.681493,50,30337.54741,28199.96017,0.25,50,0.045238346,0.387323291,0.416682812
14A,Corn,Tulare Lake,5551.099301,161.4386617,22.01452234,0.426250886,313.2553801,50,310.929404,1985.508048,0.3,50,0.088141761,0.558669338,0.087487293
14A,Cotton,Tulare Lake,42260.61211,3710.758752,0.813814056,0.277240482,448.5684623,50,236.2384677,1344.566888,0.68,50,0.148539114,0.445240339,0.078228087
14A,Cucurbits,Tulare Lake,14628.32249,654.3961754,16.06524008,0.42118336,492.5857332,50,6871.292169,2404.357717,0.05,50,0.046854775,0.228702604,0.653597591
14A,Field and Grain,Tulare Lake,56440.40665,289.315121,2.652255461,0.309707988,145.2774368,50,86.9874648,373.6919673,0.74,50,0.189326621,0.486998112,0.113362702
14A,Grapes,Tulare Lake,19079.11517,1422.002244,11.72196241,0.258892316,2204.421502,50,7245.758441,5033.018762,0.13,50,0.132249498,0.30194507,0.434693599
14A,Lettuce,Tulare Lake,8100.851812,1008,18.9,0.70745928,1600,65,12500,929,0.25,65,0.083984211,0.048763332,0.656126648
14A,Onions and Garlic,Tulare Lake,25021.873,2408.610949,10.63434095,0.889413482,4112.522919,50,7170.237318,10684.66197,0.41,50,0.160557684,0.417141646,0.279934415
14A,Orchards,Tulare Lake,6296.418218,2277.681025,7.763328774,0.301913406,2519.675644,50,6112.909401,6436.827012,0.13,50,0.142496355,0.364024786,0.345706127
14A,Pasture,Tulare Lake,1010.616404,242.4206904,4.903405501,0.217725727,225.050083,50,134.7527641,578.8882988,0.51,50,0.189326621,0.486998112,0.113362702
14A,Pistachios,Tulare Lake,75513.00454,5088.640658,1.460333567,0.27769924,1937.377826,50,386.8138231,1917.69532,0.4,50,0.260711671,0.258063009,0.052053284
14A,Potatoes,Tulare Lake,251.7669447,697.8686048,20.75531565,0.871185944,1479.227265,50,1543.541499,8971.834969,0.41,50,0.10212496,0.619410086,0.106565176
14A,Subtropical,Tulare Lake,4500.665421,1157.720607,15.10914155,0.300098104,3535.76379,50,7560.067345,2801.501829,0.13,50,0.202134149,0.160157528,0.432197361
14A,Truck,Tulare Lake,3809.439917,1282.087936,19.71342086,0.567426284,1338.105955,50,7420.976145,6020.132457,0.41,50,0.052943262,0.238191489,0.293617021
14A,Walnuts,Tulare Lake,513.1114614,1793.152974,1.862011475,1.053432015,854.5630698,50,299.4355442,912.0012941,0.13,50,0.25594369,0.273146576,0.089681664
14B,Alfalfa,Tulare Lake,50.15064175,279.620574,8.447932227,0.238722103,665.8443229,50,356.4707563,440.2816103,1.86,50,0.281872792,0.186385019,0.150905255
14B,Almonds,Tulare Lake,638.3876459,4875.001978,1.131453803,0.30102452,1199.972919,50,516.3560009,1661.846397,0.4,50,0.217550368,0.301286212,0.093613311
14B,Corn,Tulare Lake,99.46941136,161.4386617,22.01452234,0.426250886,313.2553801,50,310.929404,1985.508048,0.3,50,0.088141761,0.558669338,0.087487293
14B,Cotton,Tulare Lake,450.2242871,3710.758752,0.813814056,0.277240482,448.5684623,50,236.2384677,1344.566888,0.68,50,0.148539114,0.445240339,0.078228087
14B,Field and Grain,Tulare Lake,11855.93684,289.315121,2.652255461,0.309707988,145.2774368,50,86.9874648,373.6919673,0.74,50,0.189326621,0.486998112,0.113362702
14B,Lettuce,Tulare Lake,181.4095698,1008,18.9,0.70745928,1600,65,12500,929,0.25,65,0.083984211,0.048763332,0.656126648
14B,Onions and Garlic,Tulare Lake,432.2515385,2408.610949,10.63434095,0.889413482,4112.522919,50,7170.237318,10684.66197,0.41,50,0.160557684,0.417141646,0.279934415
14B,Orchards,Tulare Lake,107.5092345,2277.681025,7.763328774,0.301913406,2519.675644,50,6112.909401,6436.827012,0.13,50,0.142496355,0.364024786,0.345706127
14B,Pasture,Tulare Lake,10.7815374,242.4206904,4.903405501,0.217725727,225.050083,50,134.7527641,578.8882988,0.51,50,0.189326621,0.486998112,0.113362702
14B,Pistachios,Tulare Lake,15507.66289,5088.640658,1.460333567,0.27769924,1937.377826,50,386.8138231,1917.69532,0.4,50,0.260711671,0.258063009,0.052053284
14B,Subtropical,Tulare Lake,58.54376086,1157.720607,15.10914155,0.300098104,3535.76379,50,7560.067345,2801.501829,0.13,50,0.202134149,0.160157528,0.432197361
14B,Truck,Tulare Lake,1299.455537,1282.087936,19.71342086,0.567426284,1338.105955,50,7420.976145,6020.132457,0.41,50,0.052943262,0.238191489,0.293617021
15A,Alfalfa,Tulare Lake,37960.37557,279.620574,8.447932227,0.238722103,665.8443229,50,356.4707563,440.2816103,1.86,50,0.281872792,0.186385019,0.150905255
15A,Almonds,Tulare Lake,93686.10797,4875.001978,1.131453803,0.30102452,1199.972919,50,516.3560009,1661.846397,0.4,50,0.217550368,0.301286212,0.093613311
15A,Beans Dry,Tulare Lake,805.3403083,1326.519215,1.43231235,0.571284481,161.8168882,50,134.9933596,957.6035242,1.68,50,0.085167238,0.504004546,0.071049516
15A,Berries,Tulare Lake,33.18934584,7027.33636,10.36058171,0.736063275,3293.681493,50,30337.54741,28199.96017,0.25,50,0.045238346,0.387323291,0.416682812
15A,Corn,Tulare Lake,70770.62237,161.4386617,22.01452234,0.426250886,313.2553801,50,310.929404,1985.508048,0.3,50,0.088141761,0.558669338,0.087487293
15A,Cotton,Tulare Lake,95320.14862,3710.758752,0.813814056,0.277240482,448.5684623,50,236.2384677,1344.566888,0.68,50,0.148539114,0.445240339,0.078228087
15A,Cucurbits,Tulare Lake,746.6842079,654.3961754,16.06524008,0.42118336,492.5857332,50,6871.292169,2404.357717,0.05,50,0.046854775,0.228702604,0.653597591
15A,Field and Grain,Tulare Lake,31299.24721,289.315121,2.652255461,0.309707988,145.2774368,50,86.9874648,373.6919673,0.74,50,0.189326621,0.486998112,0.113362702
15A,Grapes,Tulare Lake,52985.24694,1422.002244,11.72196241,0.258892316,2204.421502,50,7245.758441,5033.018762,0.13,50,0.132249498,0.30194507,0.434693599
15A,Lettuce,Tulare Lake,19.64172298,1008,18.9,0.70745928,1600,65,12500,929,0.25,65,0.083984211,0.048763332,0.656126648
15A,Onions and Garlic,Tulare Lake,5000.73711,2408.610949,10.63434095,0.889413482,4112.522919,50,7170.237318,10684.66197,0.41,50,0.160557684,0.417141646,0.279934415
15A,Orchards,Tulare Lake,17441.80348,2277.681025,7.763328774,0.301913406,2519.675644,50,6112.909401,6436.827012,0.13,50,0.142496355,0.364024786,0.345706127
15A,Pasture,Tulare Lake,6265.261445,242.4206904,4.903405501,0.217725727,225.050083,50,134.7527641,578.8882988,0.51,50,0.189326621,0.486998112,0.113362702
