g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
10,Lettuce,San Joaquin River,778.8146205,479.2433265,17.02508876,3.326092372,664.3923981,156.45289728960964,4093.644279594328,2856.139159562179,0.25,0.17,50,-100.7792122,0.9407609879188866,388.5314367285805,64.81689691,323.7145398,-4.882352941,0.015768261,0.8801539394920446,0.061305146,0.042772654,11.07142029843673,0.00513601,3523.709729,776.8649889490293,2583.383679056069,1.9496315509707074,7.025689391055948,0.002503332,0.002712193,GOOD,479.2433265,388.5314367
10,Onions and Garlic,San Joaquin River,2073.989844,248.2454,30.0225,1.480822037,1196.627996,74.04110185,2086.336507,3108.934795,0.41,0.17,50,987.0071216499999,1.0977591532913127,987.0071216499999,64.81689691,922.1902247,-4.882352941,0.2770293660867202,0.0638666,0.26468546659013387,0.3944185676912364,29.680032972714216,0.001176006,157191.6045882646,2073.9925868746564,3071.213925430802,-0.002742875,-0.004059921,1.3225111319195897e-06,1.3219290075228615e-06,GOOD,248.2454,987.0071217
10,Orchards,San Joaquin River,10479.36517,3117.281059,2.261810582,3.445837194,1004.69895,172.2918597,2437.46994,2566.6293,0.13,0.17,50,869.6092366,1.0863701462459177,869.6092366,64.81689691,804.7923397,-4.882352941,0.023652602917364873,0.9131987787667725,0.030759353784807986,0.032389264531054715,1.3779913754390842,0.000734043,1124.8847772504564,10479.370314849533,36110.20394515819,-0.00514485,-0.017672864,4.90950496592929e-07,4.894149236685842e-07,GOOD,3117.281059,869.6092366
10,Pasture,San Joaquin River,15475.32521,187.333843,2.812754652,4.600187047,99.76076638,46.00187047,59.73354402,256.6110606,0.74,0.17,10,64.81689690528773,1.0859654809606532,64.81689690528773,64.81689691,0,-4.882352941,0.002065675,0.9939637657980912,0.000749738,0.003220821,1.006272959,8.732296950232242e-05,295765.04522110673,15476.109568027136,71192.99817,-0.784358027,-3.607592904,5.068442934096234e-05,5.0675990832058475e-05,GOOD,187.333843,64.81689691
10,Pistachios,San Joaquin River,20146.66039,4636.170568,1.382293453,3.805829794,1670.783317,190.2914897,333.5859804,1653.809241,0.4,0.17,50,2560.0781950376904,1.5859235528837905,2560.0781950376904,64.81689691,2495.261298,-4.882352941,0.031098039200129116,0.9542940389084548,0.002451952,0.01215597,0.7392956464716355,0.00012409,2755819.499731206,20146.673608427413,76674.81054698699,-0.013218427,-0.050185125,6.561101024063978e-07,6.545194935635182e-07,GOOD,4636.170568,2560.078195
10,Potatoes,San Joaquin River,714.5510225,960.1331262,14.27542043,3.305132031,1399.755757,165.2566016,1460.614703,8489.822961,0.41,0.17,50,2190.8540227252483,1.1335747083005903,2190.8540227252483,64.81689691,2126.037126,-4.882352941,0.051171741391058116,0.8070191358952464,0.020816018013411753,0.12099310470028365,10.217095692131519,0.003413366,90119.56040229216,714.5515903267768,2361.687348336764,-0.000567827,-0.001876088,7.946623248635437e-07,7.943852956721983e-07,GOOD,960.1331262,2190.854023
10,Rice,San Joaquin River,1892.744493,356.2897,4.3575,4.833919598,193.7346724,241.69597989999997,110.9689819,890.6135194,0.2,0.17,50,115.51921414999995,1.0289413505337868,115.51921414999995,64.81689691,50.70231724,-4.882352941,0.000582079,0.9975327399775926,0.000208866,0.001676315,1.318758753350584,0.002641667,623.4713537,1892.755074801621,9149.425836799912,-0.010581802,-0.051138081,5.590718483273253e-06,5.589243234895263e-06,GOOD,356.2897,115.5192142
10,Safflower,San Joaquin River,90.20422473,447.9696,1.4025,2.40565496,122.8862062,24.0565496,70.96245709,266.541912,0.74,0.17,10,143.8302391,1.2351387046038915,143.8302391,64.81689691,79.0133422,-4.882352941,0.11338772654760258,0.7431308579494319,0.030167887361856733,0.11331352814110864,1.0702207222186673,0.014981020627317921,3489.0686174417083,90.20648416384365,217.00569035017347,-0.002259434,-0.005449715,2.504798251313217e-05,2.511386843784213e-05,GOOD,447.9696,143.8302391
10,Subtropical,San Joaquin River,1704.281493,826.2221391,4.405931004,3.247465856,735.8244443,162.3732928,1573.318433,583.0178829,0.13,0.17,50,585.7436858518913,1.1350114681006451,585.7436858518913,64.81689691,520.9267889,-4.882352941,0.024233407206327537,0.9362261598604182,0.028849716773760366,0.010690716159493685,2.5308378724351774,0.004513519,127.05952179361178,1704.2826977356915,5534.599863932043,-0.001204736,-0.003906402,7.06887739198466e-07,7.058151798298889e-07,GOOD,826.2221391,585.7436859
10,Tomatoes,San Joaquin River,37388.86291,395.6381338,28.03035237,2.379660861,291.4439575,118.9830431,4554.566446,2199.660588,0.973286429,0.17,50,3925.2222668732065,1.474151704018707,3925.2222668732065,64.81689691,3860.40537,-4.882352941,0.21996216034236618,0.4277039600505769,0.2375887067120025,0.1147451728950543,25.05786886157046,2.748002191919487e-05,54076683.15958912,37388.922809638905,88972.95610573812,-0.059899639,-0.142401517,1.6020716930034464e-06,1.6005059367099374e-06,GOOD,395.6381338,3925.222267
10,Truck,San Joaquin River,2211.434604,548.8387,13.5325,2.667732673,393.2180654,133.38663365000002,2180.74051,1769.086233,0.41,0.17,50,2950.728265700001,1.580161681804525,2950.728265700001,64.81689691,2885.911369,-4.882352941,0.14319927075975739,0.6876555776077019,0.093386801,0.075758351,10.702403486344545,0.001102915,259395.04948759347,2211.4364936165716,5899.5213819218625,-0.001889617,-0.005034628,8.544754469206559e-07,8.533967784315442e-07,GOOD,548.8387,2950.728266
