g,i,hr,xland,p,y,xwater,omegaland,omegawater_x,omegasupply,omegalabor,theta,omegawater,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
10,Orchards,San Joaquin River,10476.06976,4762.917744,3.247388671,3.445837194,2203.997553,172.2918597,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127,2113.315653,1.103101512,2113.315653,0.17,68.61215883,2044.703494,-4.882352941,0.049250913,0.825520982,0.060997939,0.064230165,2.276276862,0.000734274,2640.408511,10476.06976,36098.82829,1.32E-06,0.00253103,1.26E-10,7.01E-08,GOOD,4762.917744,1691.917814
10,Pasture,San Joaquin River,15491.15011,226.9343417,5,4.600187047,214.8235605,46.00187047,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702,192.6338469,1.14712982,192.6338469,0.17,68.61215883,124.0216881,-4.882352941,0.005075434,0.986439143,0.001602254,0.006883169,2.089814959,0.000126574,376788.3193,15491.14947,71262.1594,0.000644209,0.028681017,4.16E-08,4.02E-07,GOOD,226.9343417,27.01850873
10,Pistachios,San Joaquin River,20148.25981,4897.401316,1.414819371,3.805829794,1806.455069,190.2914897,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284,2783.41504,1.591834969,2783.41504,0.17,68.61215883,2714.802882,-4.882352941,0.033608303,0.950657759,0.002640955,0.013092984,0.768288117,0.00012408,2991028.935,20148.25979,76680.84194,2.04E-05,0.005538034,1.01E-09,7.22E-08,GOOD,4897.401316,2249.489509
10,Potatoes,San Joaquin River,714.5510225,919.9316484,16.13648405,3.305132031,1515.990126,165.2566016,1581.902745,9194.809715,0.41,50,0.10212496,0.619410086,0.106565176,2386.503184,1.134823369,2386.503184,0.17,68.61215883,2317.891025,-4.882352941,0.054728834,0.794137811,0.022184713,0.128948643,11.70070364,0.003413366,97994.32226,714.5510224,2361.68531,9.42E-08,0.000162677,1.32E-10,6.89E-08,GOOD,919.9316484,2005.564898
10,Rice,San Joaquin River,1892.744493,573.2274458,4.688550562,4.833919598,335.3762222,241.6959799,192.0996257,1541.750863,0.2,50,0.124786237,0.573652143,0.071476115,376.6831724,1.107620191,376.6831724,0.17,68.61215883,308.0710135,-4.882352941,0.001337383,0.995406116,0.0003608,0.002895701,1.587048734,0.002641667,1641.203811,1892.744474,9149.373913,1.91E-05,0.00078537,1.01E-08,8.58E-08,GOOD,573.2274458,-549.9597817
10,Safflower,San Joaquin River,90.20422473,575.1459791,1.245291589,2.40565496,140.0879783,24.0565496,80.89587427,303.852797,0.74,10,0.195592287,0.424242424,0.112947658,167.3312511,1.242716297,167.3312511,0.17,68.61215883,98.71909222,-4.882352941,0.125981236,0.716347712,0.033151349,0.124519702,0.968791195,0.014981021,4126.87528,90.20422951,217.0001904,-4.78E-06,5.03E-05,5.30E-08,2.32E-07,GOOD,575.1459791,133.5160428
10,Subtropical,San Joaquin River,1704.416794,950.3385633,4.405405823,3.247465856,846.2602941,162.3732928,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361,698.0244571,1.142940118,698.0244571,0.17,68.61215883,629.4122983,-4.882352941,0.028036452,0.926939772,0.032850505,0.012173271,2.598749769,0.004513161,149.204659,1704.416794,5535.034947,8.89E-09,0.000395833,5.22E-12,7.15E-08,GOOD,950.3385633,333.0960256
10,Truck,San Joaquin River,2201.610217,690.3355797,21.20927139,2.667732673,775.1695468,133.3866337,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021,5946.476384,1.603707682,5946.476384,0.17,68.61215883,5877.864225,-4.882352941,0.21990558,0.525351626,0.140646152,0.114096642,18.24124919,0.001107837,523949.2014,2201.610219,5873.307106,-1.60E-06,0.000403352,7.24E-10,6.87E-08,GOOD,690.3355797,5724.023137
10,Walnuts,San Joaquin River,11445.10078,1802.497789,1.658526763,4.952669773,765.1413128,247.6334887,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,892.0443277,1.357428723,892.0443277,0.17,68.61215883,823.4321688,-4.882352941,0.002698778,0.9955348,0.000436613,0.001329808,0.557257651,0.000672105,1078.557984,11445.10075,56683.80024,3.26E-05,0.004440738,2.85E-09,7.83E-08,GOOD,1802.497789,-86.76907771
10,Tomatoes,San Joaquin River,37267.21112,99.69467136,46.73447582,2.379660861,122.4440466,118.9830431,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875,1580.104731,1.441119419,1580.104731,0.17,68.61215883,1511.492573,-4.882352941,0.133645775,0.643606157,0.150205326,0.072542741,38.03339952,3.63E-05,11665661.88,37267.21142,88683.31811,-0.000297497,0.00559519,7.98E-09,6.31E-08,GOOD,99.69467136,1415.948484
