g,i,hr,xland,p,y,xwater,omegaland,omegawater_x,omegasupply,omegalabor,theta,omegawater,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,xland_lp,lambdacrop,lambdaland,lambdawater,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,omega_suppl_unit,omega_labor_unit,xsupply_base,xlabor_base,xlandcalib,xwatercalib,xsuppcalib,xlaborcalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
03,Walnuts,Sacramento River,444.04352574376105,1941.7018487746973,1.7189362872815137,4.942462794,854.2534686026536,247.1231397,299.3270611283979,911.6708834858882,0.13,50,0.25594369,0.273146576,0.089681664,1025.2872140234897,1.3746585683164616,1025.2872140234897,0.17,444.4875737142858,916.5180618915482,4.9270299148802146e-08,22.007075546876287,-4.882352941,0.002028995,0.996583413,0.000342977,0.001044616,0.5496947902910642,0.017323319103511942,46.644951063052446,299.3270611283979,911.6708834858882,444.04352574376105,444.04352574376105,444.48757371407504,2196.8632954771483,444.48757371363206,444.4875737136312,-0.44404797,-2.194690572,0.00100001,0.00100001,GOOD,1941.7018487746973,1025.287214
04,Alfalfa,Sacramento River,882.7550569,280.6469987369378,5.962401488126662,3.537610105,471.66622240670006,35.37610105,252.5143028603122,311.8836592959672,1.86,10,0.281872792,0.186385019,0.150905255,601.8897972944199,1.4873882561689458,601.8897972944199,0.17,883.6378208031709,524.0373443859862,2.4945999546201747e-09,22.007075566806034,-4.882352941,0.017898835308839376,0.9719555083832347,0.004539214,0.005606442,2.908994325985619,0.000609041,954974.0364,252.5143028603122,311.8836592959672,882.7550569,882.7550569,881.8722930346681,3119.7203351589633,881.8722930345768,881.8722930345765,0.8827638753318752,3.122874405702987,0.00100001,0.00100001,GOOD,280.6469987369378,601.8897973
04,Almonds,Sacramento River,16766.218386953595,4683.240485829528,0.7387210677403597,3.971676207,752.6390797453652,198.5838104,323.8653982273295,1042.3323135081037,0.4,50,0.217550367,0.301286212,0.093613311,1142.1878103460713,1.4217812475867206,1142.1878103460713,0.17,16782.98470534049,1054.782831929869,2.4945999546201747e-09,22.007075566806034,-4.882352941,0.007423534,0.9869651506334404,0.001330196,0.004281119,0.30909562959285813,0.000149109,994989.3867794623,323.8653982273295,1042.3323135081037,16766.218386953595,16766.218386953595,16768.806625223584,66600.27029318447,16768.806625222733,16768.806625222733,-2.58823827,-10.27964435,0.000154372,0.000154372,GOOD,4683.240485829528,1142.18781
04,Corn,Sacramento River,972.6080049,229.08722102241552,6.113531917599918,2.826875063,123.44536013404992,141.3437532,122.52875673244314,782.4343077137593,0.3,50,0.088141761,0.558669339,0.087487293,230.77985990455204,1.1402757449281344,230.77985990455204,0.17,973.5806226003019,168.56860677338295,2.4945999546201747e-09,22.007075566806034,-4.882352941,0.008661328,0.9644968675708996,0.003634284,0.023207520375191023,3.186610681177881,0.003427211,3039.586069096049,122.52875673244314,782.4343077137593,972.6080049,972.6080049,971.6353871388926,2746.6918462312865,971.6353871386693,971.6353871386661,0.972617721,2.7494687816306396,0.00100001,0.00100001,GOOD,229.08722102241552,230.7798599
04,Field and Grain,Sacramento River,12348.45231,209.66138474146223,3.033618669654281,2.845649619,120.41792024340968,71.14124048,72.10238441858326,309.7467197151693,0.74,25,0.189326621,0.486998112,0.113362702,62.62442620510684,1.0563946444174763,62.62442620510684,0.17,12263.592410833975,6.236499886550437e-10,2.4945999546201747e-09,22.007075566806034,-4.882352941,0.005334577,0.9777493086550838,0.003194173,0.013721941359750377,1.4603879028486348,0.000109435,284872.7680912292,72.10238441858326,309.7467197151693,12348.45231,12348.45231,12336.103754573227,35104.22894914577,12336.103754573256,12336.103754573252,12.348552306773854,35.13965316697431,0.001000008,0.001000008,GOOD,209.66138474146223,62.62442621
04,Grapes,Sacramento River,50.40147872275895,1768.0889120560998,10.326529587090809,2.661751325,5707.511085000792,133.0875663,6066.297444181566,4560.422483661467,0.13,50,0.312599493,0.249773629,0.332250166,1790.9038838606887,1.0559571805532408,1790.9038838606887,0.17,50.451880705965074,1732.3265213107127,2.4945999546201747e-09,22.007075566806034,-4.882352941,0.18195247138767107,0.5581550341881641,0.14836047109479925,0.11153202332936564,8.754624791359618,0.1526206747746511,22.244533522173786,6066.297444181566,4560.422483661467,50.40147872275895,50.40147872275895,50.37665800495063,134.0901361937492,50.37665800494874,50.376658004948766,0.024820717808324844,0.066066579,0.00049246,0.00049246,GOOD,1768.0889120560998,1790.903884
04,Orchards,Sacramento River,3579.400457104967,2309.3340940204384,2.070881679913447,3.327741402,681.4685360114679,166.3870701,1653.2903473698298,1740.896726707907,0.13,50,0.142496355,0.364024786,0.345706127,540.3149879172385,1.0736870639817369,540.3149879172385,0.17,3582.979893391738,467.0811314,2.4945999546201747e-09,22.007075566806034,-4.882352941,0.012842982340282768,0.9492035134376625,0.018486948659491038,0.019466555562563728,1.1367306222298386,0.002149049,243.88025365516668,1653.2903473698298,1740.896726707907,3579.400457104967,3579.400457104967,3575.8210208901874,11899.407657358184,3575.821020889911,3575.821020889911,3.5794362147794345,11.911438087738134,0.00100001,0.00100001,GOOD,2309.3340940204384,540.3149879
04,Pasture,Sacramento River,10054.71518,231.3889921571432,4.999999999999999,3.965593094,219.0404801085371,39.65593094,131.15440681995278,563.4300115905577,0.51,10,0.189326621,0.486998112,0.113362702,203.6641313266683,1.1558528290458805,203.6641313266683,0.17,10064.76999689118,116.39302443794067,2.4945999546201747e-09,22.007075566806034,-4.882352941,0.003138306,0.9903631839193647,0.001227077,0.005271434,1.9786889931596925,0.000195011,242096.53909609048,131.15440681995278,563.4300115905577,10054.71518,10054.71518,10063.327016694024,39907.06012006544,10063.327016691703,10063.327016691701,-8.611834984,-34.15103334,0.000856497,0.000856497,GOOD,231.3889921571432,203.6641313
04,Pistachios,Sacramento River,226.6972048268194,4908.224613268352,1.2498253980439933,3.663925668,1599.315875,183.1962834,319.3169032470521,1583.0678593976154,0.4,50,0.260711671,0.258063009,0.052053284,2449.526860364615,1.585474027824466,2449.526860364615,0.17,226.92390430085928,2368.8945713161775,2.4945999546201747e-09,22.007075566806034,-4.882352941,0.025536488,0.9622211611541847,0.002054889,0.010187461989435048,0.6446927249271734,0.011027926003365692,29536.881992998846,319.3169032470521,1583.0678593976154,226.6972048268194,226.6972048268194,226.55827628016138,830.0926837607188,226.55827628015481,226.5582762801537,0.1389285466580077,0.509023868,0.000612837,0.000612837,GOOD,4908.224613268352,2449.52686
04,Rice,Sacramento River,153.94758625999998,774.5349774121528,3.9116254159600112,4.534377778,378.0637021256366,226.71888889999997,216.55052111602456,1737.9885645152126,0.2,50,0.124786237,0.573652143,0.071476115,470.3690265385166,1.1274158085114319,470.3690265385166,0.17,154.10153538710966,370.5806321281513,2.4945999546201747e-09,22.007075566806034,-4.882352941,0.001421662,0.994866703,0.000411226,0.003300409,1.3600207282897383,0.032478587,155.31235764065664,216.55052111602456,1737.9885645152126,153.94758625999998,153.94758625999998,154.10153538700644,698.7545776145224,154.10153538698407,154.1015353869825,-0.153949127,-0.6980635,0.00100001,0.00100001,GOOD,774.5349774121528,470.3690265
