region,crop,xland,p,y,xwater_unit,omegaland,omegalabor,omegasupplies,theta,sigma,patch_economics,patch_water,omegaland_init,omegasupplies_init,omegalabor_init,omegawater_unit,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupplies,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status
BTE01-IDs,Alfalfa,427.562673,187.2098036,5.87624882,3.542222222,310.085831,205.0405538,166.0095709,0.2790000000000001,0.17,No,No,310.085831,166.0095709,205.0405538,25,88.55555555,330.39987624693174,1.3612025961269962,330.39987624693174,65.9109371686155,264.488939078316,-4.88235294117647,0.01470054413267827,0.976783046099125,0.0038102817843545635,0.004706127983842116,2.765990833915696,0.00838293334993956,1902.5649533606877,427.56267625547633,1514.5216856578045,-3.2554763151892985e-06,0.0003159405150654493,7.614033031338305e-09,2.0860741193064743e-07,GOOD
BTE01-IDs,Beans Dry,236.478384,1054.225767,1.083582552,2.147777778,97.28999715,575.7448786,81.16275023,1.68,0.17,No,No,97.28999715,81.16275023,575.7448786,25,53.69444445,334.44857656001705,1.3466445743733673,334.44857656001705,65.9109371686155,268.537639391402,-4.88235294117647,0.1295893242135369,0.673235299587685,0.024361561820237562,0.1728138143785406,0.870263029158872,0.0025170930432191017,80143.55847356434,236.47844621827755,507.90305011955843,-6.221827754870901e-05,-3.19870076737061e-05,2.631034452126035e-07,6.297857372715641e-08,GOOD
BTE01-IDs,Corn,935.383313,166.7194068,5.454093572,2.167777778,80.14758921,507.9998424,79.5524794,0.44999999999999996,0.17,No,No,80.14758921,79.5524794,507.9998424,25,54.19444445,187.40888949553306,1.199625795497477,187.40888949553306,65.9109371686155,121.497952326918,-4.88235294117647,0.08299567894605092,0.7347463391129156,0.024677077795269165,0.15758090414576412,4.2086558407824235,0.002375734302010391,9197.968270009398,935.3834313357017,2027.7029854395787,-0.00011833570169983432,0.00017439383987039037,1.2651038355634458e-07,8.600560640479413e-08,GOOD
BTE01-IDs,Field and Grain,912.973112,173.2298426,2.485487486,0.96,81.51658446,209.6822022,48.80951363,0.11100000000000002,0.17,No,No,81.51658446,48.80951363,209.6822022,25,24.0,66.55230569404966,1.126506510038706,66.55230569404966,65.9109371686155,0.641368525434132,-4.88235294117647,0.34739708253681745,0.046133402861893644,0.11451617296153059,0.49195334163975835,2.4906465282426296,0.009867770354455968,1.018281083679887,912.973226377656,876.4541155439133,-0.0001143776560184051,7.197608670139743e-05,1.252804212030344e-07,8.212190406102087e-08,GOOD
BTE01-IDs,Orchards,5141.725886,2061.666385,2.066393172,3.054553477,607.0648734,1550.82325,1472.781853,0.13,0.17,No,No,607.0648734,1472.781853,1550.82325,25,76.363836925,553.1795275809234,1.0944993337729532,553.1795275809234,65.9109371686155,487.268590412308,-4.88235294117647,0.05276200158509526,0.8097398496608034,0.06697461189796611,0.07052353685613513,1.4764488923697257,0.0014960555780020228,333.7914193068216,5141.725904463296,15705.67350068619,-1.846329541876912e-05,0.0031821760148886824,3.5908750929413353e-09,2.0261311111548756e-07,GOOD
BTE01-IDs,Pasture,2085.238983,215.0,3.5,4.038333333,101.0837153,214.8226999,102.7869284,0.07650000000000001,0.17,No,No,101.0837153,102.7869284,214.8226999,25,100.958333325,232.84832307500005,1.3791289405770577,232.84832307500005,65.9109371686155,166.937385906385,-4.88235294117647,0.003603781974469762,0.9929685868855069,0.0011092726579384285,0.002318358482084794,1.3059160086856754,0.006268775680584232,0.08993613227802422,2085.2389835200706,8420.888128198434,-5.20070443599252e-07,0.001964121485798387,2.4940567860046185e-10,2.3324392840487478e-07,GOOD
BTE01-IDs,Rice,101766.3145,370.9204663,4.450435008,4.5,205.9918082,946.9605361,117.9897276,0.2,0.17,No,No,205.9918082,117.9897276,946.9605361,25,112.5,267.3153565052045,1.1364045981739674,267.3153565052045,65.9109371686155,201.404419336589,-4.88235294117647,0.0026974436602309293,0.9912332559963692,0.0006724399426432231,0.005396860400756445,1.711333591540679,4.91321713335703e-05,55869.9954482437,101766.3138553994,457948.31264180585,0.0006446005863836035,0.10260819410905242,6.334125290383819e-09,2.240605943641868e-07,GOOD
BTE01-IDs,Safflower,712.990372,429.9064999,1.059039203,2.23,89.05078906,193.1524157,51.42369509,0.74,0.17,No,No,89.05078906,51.42369509,193.1524157,25,55.75,65.91093716861553,1.11359318951456,65.91093716861553,65.9109371686155,0.0,-4.88235294117647,0.048468254076907524,0.8750342947949146,0.01608407946823251,0.060413371659945425,0.7104547234461075,0.0018953290316679778,12163.784631540211,712.9906968801033,1589.9688934712228,-0.0003248801033350901,-0.00036391122284840094,4.5565847183009383e-07,2.2887951307382665e-07,GOOD
BTE01-IDs,Subtropical,567.2561944,942.1801854,4.535541375,2.372179594,863.7792973,684.4007169,1846.907779,0.13,0.17,No,No,863.7792973,1846.907779,684.4007169,25,59.304489849999996,818.9049305368713,1.1781542270264,818.9049305368713,65.9109371686155,752.993993368256,-4.88235294117647,0.20425155992655544,0.48848716051205976,0.22418573173778564,0.08307554782359905,3.964975000040744,0.01356055300629026,54.405767523694735,567.2561967075575,1345.633303800965,-2.307557451786124e-06,0.00026512481213103456,4.067928168200756e-09,1.970260093486553e-07,GOOD
BTE01-IDs,Sunflowers,230.893158,3239.762235,0.609912532,2.414444444,409.0470283,767.1265354,350.2383501,0.74,0.17,No,No,409.0470283,350.2383501,767.1265354,25,60.361111099999995,389.198562926829,1.1859778765843436,389.198562926829,65.9109371686155,323.287625758213,-4.88235294117647,0.12510801219754383,0.6997688161111536,0.05489240937618564,0.12023076231511684,0.47973351750247833,0.005852712843709952,32394.25032972031,230.89316951039712,557.4786199873428,-1.1510397115443993e-05,8.250337134541041e-05,4.9851616284983175e-08,1.4799376366630736e-07,GOOD
BTE01-IDs,Tomatoes Processing,774.191738,77.35725946,46.64298896,2.085555556,307.3158515,1960.523005,744.6913332,1.1099999999999999,0.17,No,No,307.3158515,744.6913332,1960.523005,25,52.138888900000005,543.5047203686349,1.121281257742693,543.5047203686349,65.9109371686155,477.593783200019,-4.88235294117647,0.15632072394240173,0.3466519617814203,0.13682166624601777,0.36020564803016003,42.876484826091996,0.0011636663848005326,273990.1064778458,774.191802752575,1614.6196895063638,-6.475257498550491e-05,0.0001910888324800908,8.363893827229775e-08,1.1834911410210671e-07,GOOD
BTE01-IDs,Truck,55.63443,742.4217034,17.44810947,2.56,723.4419324,3254.761862,4012.122706,0.41,0.17,Yes,No,723.4419324,4012.122706,3254.761862,25,64.0,4899.528653427069,1.531723963238148,4899.528653427069,65.9109371686155,4833.61771625845,-4.88235294117647,0.2930154344287776,0.3283040609989037,0.20907345321053913,0.1696070513617796,16.09869177577751,0.04384019734261504,11059.047518357831,55.63443018478119,142.4241184502562,-1.8478118590792292e-07,2.2349743801441946e-05,3.321345898716369e-09,1.5692384504412573e-07,GOOD
BTE01-IDs,Almonds,2552.898447,5165.974452,0.856578131,3.473105762,962.6735903,1333.209787,414.244587,0.4,0.17,No,No,962.6735903,414.244587,1333.209787,25,86.82764405,1628.1051325379094,1.506760976173142,1628.1051325379094,65.9109371686155,1562.19419536929,-4.88235294117647,0.061337927190169984,0.8972902535125232,0.009807439011424123,0.03156438028588228,0.5396208771507252,0.0009792790633477164,211639.1297120989,2552.898454174452,8866.484502273388,-7.174452093750006e-06,0.0018038031630567275,2.8103162905602276e-09,2.0344058523166166e-07,GOOD
BTE01-IDs,Walnuts,16765.31941,1949.323208,2.037882063,3.460166062,1016.733954,1085.072261,356.2595846,0.13,0.17,No,No,1016.733954,356.2595846,1085.072261,25,86.50415155,1427.9208494228183,1.486822781297196,1427.9208494228183,65.9109371686155,1362.0099122542,-4.88235294117647,0.05968036164981845,0.9051329912692233,0.008697220082104481,0.026489426998853906,1.263661988917385,0.00045882261495832076,2365.7894012720453,16765.3194266065,58010.777272347535,-1.6606500139459968e-05,0.011968724327743985,9.905269165080564e-10,2.0631893625867242e-07,GOOD
BTE02-WAs,Alfalfa,844.261016,187.2098036,5.87624882,3.496666667,310.085831,205.0405538,166.0095709,0.2790000000000001,0.17,No,No,310.085831,166.0095709,205.0405538,25,87.416666675,331.53876512193176,1.3632197104379975,331.53876512193176,65.1981390190497,266.340626102882,-4.88235294117647,0.015862214124595393,0.9749647015445931,0.004104081072115855,0.005069003258695447,2.8083935582692288,0.004245404350970296,3768.892924254266,844.2612419364694,2952.098645795235,-0.0002259364694054966,0.0007070995188769302,2.6761447600169257e-07,2.395242958823748e-07,GOOD
BTE02-WAs,Beans Dry,340.32974,1054.225767,1.083582552,2.111666667,97.28999715,575.7448786,81.16275023,1.68,0.17,No,No,97.28999715,81.16275023,575.7448786,25,52.791666675,335.35135433501705,1.3481510637452014,335.35135433501705,65.1981390190497,270.153215315967,-4.88235294117647,0.13868612180745785,0.6507376789562542,0.026017270485102675,0.18455892875118513,0.8820627402346471,0.0017490040548266371,115848.60080596383,340.3307489595697,718.664751484361,-0.0010089595696740616,-0.0017837375843328118,2.9646529559070023e-06,2.4820224004659135e-06,GOOD
BTE02-WAs,Corn,2042.59385,166.7194068,5.454093572,2.165,80.14758921,507.9998424,79.5524794,0.44999999999999996,0.17,No,No,80.14758921,79.5524794,507.9998424,25,54.125,187.47833394553305,1.199741207631782,187.47833394553305,65.1981390190497,122.280194926483,-4.88235294117647,0.08347628975760372,0.7332578767834089,0.024813537280059687,0.15845229617892773,4.213412165573914,0.0010879413066979626,20163.4947372666,2042.5967775580466,4422.21982500508,-0.0029275580466219253,-0.004139755079449969,1.4332550970041966e-06,9.361269042705993e-07,GOOD
BTE02-WAs,Cotton,891.312038,1657.32655,0.8275,3.577544803,203.7121439,610.6193958,107.2849489,1.02,0.17,No,Yes,203.7121439,107.2849489,610.6193958,25,89.438620075,360.3826114499999,1.291849624038308,360.3826114499999,65.1981390190497,295.18447243095,-4.88235294117647,0.012157949741937265,0.9723690382160249,0.0023123154477534508,0.013160696594284519,0.4022857796839554,0.001099942685686856,170161.6148778539,891.3130353907796,3188.71072460646,-0.0009973907796165804,-0.0019752082216655253,1.1190141466669839e-06,6.194382669907621e-07,GOOD
BTE02-WAs,Cucurbits,195.081332,161.7514,13.41,2.205,101.39910033123597,494.93863569560403,1414.4600660853232,0.05,0.17,No,No,101.6320487,1417.709564,496.0756788,25,54.998649316407835,98.54398249999997,0.9977079241071716,103.28982257142891,65.1981390190497,38.0916835523793,-4.88235294117647,0.04325436988620331,0.5532560981162968,0.2989002923075208,0.10458923968997913,11.429934542991786,0.102521342226636,2.8044105573932917e-06,195.0725377008706,430.1303747039881,0.008794299129391447,0.023962356011963948,4.5080167534387386e-05,5.5706414994536157e-05,GOOD
BTE02-WAs,Field and Grain,583.517739,173.2298426,2.485487486,1.014166667,81.51658446,209.6822022,48.80951363,0.11100000000000002,0.17,No,No,81.51658446,48.80951363,209.6822022,25,25.354166675000002,65.19813901904966,1.1223312656909852,65.19813901904966,65.1981390190497,0.0,-4.88235294117647,0.3393321598446766,0.06280996908026688,0.1128900855230195,0.48496778555203696,2.4833615896981454,0.01543913476297763,0.6457436087031715,583.5183143449016,591.784535694949,-0.0005753449015628576,-0.0002951979430463325,9.859938492167375e-07,4.988269758559514e-07,GOOD
BTE02-WAs,Orchards,482.199202,2061.666385,2.066393172,3.166342251,607.0648734,1550.82325,1472.781853,0.13,0.17,No,No,607.0648734,1472.781853,1550.82325,25,79.15855627500001,550.3848082309233,1.093674816294661,550.3848082309233,65.1981390190497,485.186669211874,-4.88235294117647,0.044211549044385824,0.8402946481375269,0.05625641283501932,0.05923738998306791,1.4246421231720579,0.015952551684869216,31.243934775214935,482.1992350393811,1526.8070880799814,-3.3039381094113196e-05,0.0006186111022543628,6.851811649019111e-08,4.0516634776164727e-07,GOOD
BTE02-WAs,Pasture,627.896518,215.0,3.5,4.010833333,101.0837153,214.8226999,102.7869284,0.07650000000000001,0.17,No,No,101.0837153,102.7869284,214.8226999,25,100.270833325,233.53582307500005,1.3809559475050979,233.53582307500005,65.1981390190497,168.33768405595,-4.88235294117647,0.0037581949477045657,0.992674652619368,0.0011544254614625693,0.002412726971464715,1.316631586833472,0.02081855058931319,0.02722259652047433,627.8966102534903,2518.387298702733,-9.2253490265648e-05,0.0009853663013927871,1.4692467249141202e-07,3.912686171652219e-07,GOOD
BTE02-WAs,Rice,6510.071453,370.9204663,4.450435008,4.5,205.9918082,946.9605361,117.9897276,0.2,0.17,No,No,205.9918082,117.9897276,946.9605361,25,112.5,267.3153565052045,1.1364045981739674,267.3153565052045,65.1981390190497,202.117217486155,-4.88235294117647,0.0026974436602309314,0.9912332559963694,0.0006724399426432234,0.005396860400756449,1.7113335915406793,0.000768040725220593,3580.3010109026905,6510.072996210081,29295.313747251286,-0.001543210081763391,0.007791248710418586,2.370496380730571e-07,2.659553915521734e-07,GOOD
BTE02-WAs,Subtropical,277.9083108,942.1801854,4.535541375,2.476100882,863.7792973,684.4007169,1846.907779,0.13,0.17,No,No,863.7792973,1846.907779,684.4007169,25,61.902522049999995,816.3068983368713,1.177268808688698,816.3068983368713,65.1981390190497,751.108759317822,-4.88235294117647,0.17892030025523153,0.551508723385806,0.1966859171991108,0.07288505915985179,3.8601093757228466,0.02767930066633938,26.62321660076191,277.90832474411127,688.1287268616613,-1.3944111287855776e-05,0.00028662534873546974,5.01752223519894e-08,4.165285042742649e-07,GOOD
BTE02-WAs,Sunflowers,875.054484,3239.762235,0.609912532,2.406666667,409.0470283,767.1265354,350.2383501,0.74,0.17,No,No,409.0470283,350.2383501,767.1265354,25,60.166666675,389.39300735182906,1.1861232250651017,389.39300735182906,65.1981390190497,324.194868332779,-4.88235294117647,0.12680286304388758,0.6957447795847325,0.055622493308706784,0.12182986406267313,0.48103352819796774,0.0015443053844763242,122922.00950796505,875.0550386619217,2105.964781142579,-0.000554661921682964,-0.0003226908938813722,6.3385987024205e-07,1.5322713191400014e-07,GOOD
BTE02-WAs,Tomatoes Processing,472.497166,77.35725946,46.64298896,2.073333333,307.3158515,1960.523005,744.6913332,1.1099999999999999,0.17,No,No,307.3158515,744.6913332,1960.523005,25,51.833333325,543.8102759436349,1.1213930635832439,543.8102759436349,65.1981390190497,478.612136924585,-4.88235294117647,0.1582320286735966,0.33884421075998317,0.13844483982861255,0.3644789207378077,42.9801806494343,0.0019066800093799946,167435.9273707934,472.49760047061113,979.6445650103208,-0.000434470611139659,-0.0004409944865528814,9.195200361046378e-07,4.5015784379446096e-07,GOOD
BTE02-WAs,Almonds,523.4565764,5165.974452,0.856578131,3.591365635,962.6735903,1333.209787,414.244587,0.4,0.17,No,No,962.6735903,414.244587,1333.209787,25,89.78414087499999,1625.1486357129095,1.505169949785615,1625.1486357129095,65.1981390190497,1559.95049669386,-4.88235294117647,0.051258800493966146,0.9141281514269236,0.008205231575529591,0.026407816503580483,0.5202624294766796,0.004775945346208854,43356.77644926924,523.4566217501238,1879.9232292615352,-4.535012374162761e-05,0.0007306361767405178,8.663588497352885e-08,3.886519839771989e-07,GOOD
BTE02-WAs,Walnuts,14679.16025,1949.323208,2.037882063,3.524759835,1016.733954,1085.072261,356.2595846,0.13,0.17,No,No,1016.733954,356.2595846,1085.072261,25,88.118995875,1426.3060050978183,1.4858798067986734,1426.3060050978183,65.1981390190497,1361.10786607877,-4.88235294117647,0.05402286869843573,0.9141050038090295,0.007877957415200195,0.023994170077334648,1.2383131555065452,0.0005240291379956624,2070.6216040834433,14679.160692165698,51740.491212172055,-0.0004421656976774102,0.023248556506587192,3.0122002222668713e-08,4.4932982883718754e-07,GOOD
CHW01-E-ChID&WA,Alfalfa,6701.08917,205.8588937,7.063149253,5.092222222,409.846448,271.0060707,219.4180648,0.2790000000000001,0.17,No,No,409.846448,219.4180648,271.0060707,35,178.22777777000002,375.5137299905614,1.2839828691232276,375.5137299905614,93.9021005329539,281.611629457607,-4.88235294117647,0.001554619658625549,0.9974745862732778,0.000434337831933916,0.0005364562361629559,2.1309725428535287,0.0005348726602127878,35884.2941813449,6701.215339232182,34124.0775895028,-0.12616923218138254,-0.6424064252569224,1.8828167926227214e-05,1.882595998352194e-05,GOOD
CHW01-E-ChID&WA,Corn,8648.049177,44.88630607,26.76544219,2.464444444,105.8936729,671.1863659,105.1073939,0.44999999999999996,0.17,No,No,105.8936729,105.1073939,671.1863659,35,86.25555554,232.9588419992312,1.181476073625001,232.9588419992312,93.9021005329539,139.056741466277,-4.88235294117647,0.04149091720023303,0.8634555161455608,0.012869912382778292,0.08218365427142774,18.0754503386157,0.00025696225550293517,103302.30072235069,8648.790498447888,21314.463650361864,-0.7413214478874579,-1.826904665438633,8.572123408583825e-05,8.571931700602612e-05,GOOD
CHW01-E-ChID&WA,Cotton,387.241809,2462.1839,0.78,3.613333333,285.2698798,855.0856041,150.2373098,1.02,0.17,No,No,285.2698798,150.2373098,855.0856041,35,126.466666655,503.44398164500006,1.2907368733028646,503.44398164500006,93.9021005329539,409.541881112046,-4.88235294117647,0.01146986825331661,0.9739102271930249,0.0021848254916956066,0.012435079061962924,0.3748146140260001,0.002531731166617769,102960.5062345926,387.2683361964516,1399.3295943005178,-0.0265271964516387,-0.09585790959840779,6.85029246199981e-05,6.850743167875343e-05,GOOD
CHW01-E-ChID&WA,Field and Grain,2036.102434,187.333843,2.812754651,0.483333333,99.76076638,256.6110606,59.73354402,0.11100000000000002,0.17,No,No,99.76076638,59.73354402,256.6110606,35,16.916666655,93.90210053295388,1.1589075587875257,93.90210053295388,93.9021005329539,0.0,-4.88235294117647,0.3793639926193182,0.0009521507631722165,0.11701136162005892,0.5026724949974508,2.8310642345316626,0.0044246344675844575,2.757525127985016,2036.2081315878468,984.1672699521868,-0.105697587846862,-0.05109419755433464,5.1911724126381556e-05,5.191886772428568e-05,GOOD
CHW01-E-ChID&WA,Grapes Table,129.8715768,390.5459,12.435,3.285555556,548.8575719,1488.730159,2157.124338,0.13,0.17,No,No,548.8575719,2157.124338,1488.730159,35,114.99444446,546.7317531400003,1.0732005270174692,546.7317531400003,93.9021005329539,452.829652607046,-4.88235294117647,0.02546760883868414,0.8897823903259541,0.05014360545598027,0.03460639537938158,7.954482623549651,0.059230109326798376,7.717254393829597,129.87236331581332,426.7028730887845,-0.0007865158133029126,-0.0025923670637553187,6.056104289194343e-06,6.07538166923769e-06,GOOD
CHW01-E-ChID&WA,Grapes Wine,4199.180984,510.5784914,8.495282366,3.285555556,2372.2823242484405,788.259145470035,862.1313757635947,0.13,0.17,No,No,2519.211063,915.5280033,837.0804518,35,108.2875873267896,-49.30550811069729,0.941676685645946,206.54802164044287,93.9021005329539,112.645921107489,-4.88235294117647,0.06066878434932441,0.9005046263853083,0.02028224252920343,0.018544346736163654,5.3246966972655505,0.0018318590509952863,619.0062215587534,4197.715901981208,13788.108177697331,1.4650820187916906,8.534234933413245,0.00034889708835462063,0.0006185733222744255,GOOD
CHW01-E-ChID&WA,Orchards,2498.737791,3117.281059,2.261810582,4.008678539,1004.69895,2566.6293,2437.46994,0.13,0.17,No,No,1004.69895,2437.46994,2566.6293,35,140.303748865,901.597347449366,1.0920215289992772,901.597347449366,93.9021005329539,807.695246916412,-4.88235294117647,0.01463466511024432,0.9469487903820554,0.018712493087205823,0.019704051420494615,1.244621127890827,0.0030784773496498863,268.65190007695907,2498.746154628392,10016.670071134256,-0.008363628392089595,-0.03351376428872754,3.3471412735717475e-06,3.3458101526174504e-06,GOOD
CHW01-E-ChID&WA,Pasture,878.07901,215.0,3.5,5.831111111,101.0837153,214.8226999,102.7869284,0.07650000000000001,0.17,No,No,101.0837153,102.7869284,214.8226999,35,204.08888888500002,129.71776751500005,1.1507500202872725,129.71776751500005,93.9021005329539,35.8156669820462,-4.88235294117647,0.0002063184563378724,0.9995097634014142,9.18834668674891e-05,0.00019203467538043688,0.7840460302282949,0.014886923928219851,0.01934391915038895,878.1019029006077,5120.309759444328,-0.02289290060764415,-0.13348789744759415,2.6071572542935688e-05,2.607095739836033e-05,GOOD
