g,HR_Region,shortage_pct%,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
BTE02-WAs,Sacramento River,0.8,Trees and Vine,Trees and vines,BTE,Walnuts,1949.323208,2.037882063,14679.16025,14825.952000748566,51740.51446072856,52127.27480627475,58312829.053259194,58895957.93270785,9,Good,513.5133820469099
CHW01-E-ChID&WA,San Joaquin River,0.8,Alfalfa and Pasture,Alfalfa and pasture,CHW,Alfalfa,205.8588937,7.063149253,6701.08917,2.9108460965432416e-22,34123.43518307754,2.910846096544493e-09,9743464.6777952,4.232405420172481e-19,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Corn,Corn,CHW,Corn,44.88630607,26.76544219,8648.049177,1219.5882314437367,21312.636745696425,2998.093392380276,10389782.109246679,1465215.5333947325,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Other field and grain,Field and grain,CHW,Cotton,2462.1839,0.78,387.241809,1.9902763852701084e-20,1399.2337363909194,2.9118692784931953e-09,743699.2270708065,3.822332648442561e-17,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Other field and grain,Field and grain,CHW,Field and Grain,187.333843,2.812754651,2036.102434,2056.4634788756207,984.1161757546324,991.47243351809,1072871.5202978451,1083600.246321538,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Grapes Table,390.5459,12.435,129.8715768,2.911737378276435e-14,426.70028072172073,2.9117850528097646e-09,630713.2953022138,1.4140672825860065e-10,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Grapes Wine,510.5784914,8.495282366,4199.180984,4068.4349726095907,13796.642412630745,13333.651322338024,18213983.01986274,17646871.090071317,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Orchards,3117.281059,2.261810582,2498.737791,2523.725194168214,10016.636557369968,10091.510915697041,17617848.759690434,17794027.42537541,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Alfalfa and Pasture,Alfalfa and pasture,CHW,Pasture,215.0,3.5,878.07901,2.910846096541849e-22,5120.17627154688,2.9108460965433716e-09,660754.455025,2.1904116876477413e-19,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Vegetables and non-tree fruits,Vegetables,CHW,Potatoes,960.1331262,14.27542043,56.906001,57.475061584173595,104.84499575767626,105.62871211350037,779970.9517067374,787770.6690936026,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Subtropical,826.2221391,4.405931004,213.8288738,2.911544230255954e-14,783.4045034563486,2.9116172025695752e-09,778396.4892179103,1.0598829647083415e-10,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Fresh,513.5119746,20.19858006,225.3847609,227.63861078272575,383.15409353,386.0181703882229,2337738.686318793,2361116.096765548,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Processing,78.52090496,49.10025147,2028.462848,2048.7474969750797,5267.241862649487,5306.614495559479,7820527.913803949,7898733.271958641,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Vegetables and non-tree fruits,Vegetables,CHW,Truck,548.8387,13.5325,140.93905,2.9124022906322396e-14,144.54082578486182,2.912360802400759e-09,1046776.8334085628,2.163087694574258e-10,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Almonds,5157.824281,1.067695081,44976.36602,45426.130134942214,183408.48486827692,184779.46329428809,247684110.66629136,250160954.2772122,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Pistachios,4636.170568,1.382293453,3802.000233,3840.0202737177688,14605.973486453633,14715.15313815039,24365301.837561235,24608955.10194671,2,Good,669.1291823319258
CHW01-E-ChID&WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Walnuts,2092.008952,1.920558157,1146.234353,1133.2978038218853,4264.1912150127355,4205.5247968242475,4605368.875752371,4553392.086897109,2,Good,669.1291823319258
CHW02-W-WA,San Joaquin River,0.8,Alfalfa and Pasture,Alfalfa and pasture,CHW,Alfalfa,205.8588937,7.063149253,3752.039125,1.4456721940468927e-08,19723.219001667345,2.4619130542741275e-07,5455510.2546326965,2.1020248501433666e-05,2,Good,611.4829122796785
CHW02-W-WA,San Joaquin River,0.8,Corn,Corn,CHW,Corn,44.88630607,26.76544219,7203.396852,4609.285369869224,18536.741230078867,11831.574496106166,8654174.161932316,5537603.879455798,2,Good,611.4829122796785
CHW02-W-WA,San Joaquin River,0.8,Other field and grain,Field and grain,CHW,Cotton,2462.1839,0.78,389.120801,55.27147726033636,1403.42902240304,198.84742833890175,747307.8376742969,106149.0623229007,2,Good,611.4829122796785
CHW02-W-WA,San Joaquin River,0.8,Other field and grain,Field and grain,CHW,Field and Grain,187.333843,2.812754651,1787.57203,1805.447768081764,804.4074135000001,810.4203489880247,941914.8513566413,951334.0092398484,2,Good,611.4829122796785
CHW02-W-WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Grapes Table,390.5459,12.435,114.4634197,115.60805495419989,393.754163768,396.69747594767574,555884.53154553,561443.3819952112,2,Good,611.4829122796785
