g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland,omegasupply,omegalabor,omegawater,omegawater,mprof,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,pc,pimarginal
SACRAMENTO VALLEY - BEND,Other Deciduous,Sacramento River,30.95347589,1631,1.9,3.327741402,0.215021845,0.54254216,0.5586272122329681,0.13,0.17,2284.866179,4950.948854,6009.195442,50,166.3870701,2931.6097760339994,17.641995230594954,2931.6097760339994,521.1960699,2410.413706,-4.882352941,0.047382029,0.9526068502710705,0.029828965837282867,0.029396383137983786,1.0290196161223122,0.2485119189729775,4.426457727,30.95347107275023,103.00474340243571,4.8172497706389095e-06,0.000419853,1.5562871800756944e-07,4.076033791179865e-06,GOOD,0.6204120841421951,0.6295417628777134,1631,2931.196739
SACRAMENTO VALLEY - BEND,Pasture,Sacramento River,161.2648525,272,5,3.965593094,0.350906068,0.10289172336777223,0.068524209,0.51,0.17,328.209843,177.7241242,145.0367898,10,39.65593094,1319.648083,32.09855145578573,1319.648083,521.1960699,798.4520128,-4.882352941,0.03838067,0.9616092966462004,0.07087903,0.086853229,2.5800285122172038,0.012158782793203437,9246.805768508388,161.26448065998161,639.4966593833553,0.00037184,0.014125995573294858,2.3057722287893717e-06,2.2088752678228557e-05,GOOD,2.262942000342034,1.8467377139832826,272,1319.821747
SACRAMENTO VALLEY - BEND,Truck Crops,Sacramento River,69.11366439,5809,4.2,2.662234731,0.139554281,1.1244727167916924,1.262909809962677,0.25,0.17,7441.94487,27484.23099,27982.75263,50,133.1117366,24263.73276,173.31601249335054,24263.73276,521.1960699,23742.53669,-4.882352941,0.6046480015649459,0.3953316651604625,0.2130098773499166,0.20099628719974014,3.793031479911323,0.057875675314052036,7513.731493,69.11366284049396,183.99609448974067,1.5495060381454095e-06,0.000703236,2.2419677090216713e-08,3.82200127360026e-06,GOOD,0.332418674,0.35228740820875265,5809,24262.16133
SACRAMENTO VALLEY - BUTTE,Alfalfa,Sacramento River,1649.792293,264.7665874,6.386422689,3.537610105,0.306290873,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.8805053,1513.3661060724614,9.070318071334098,1513.3661060724614,490.4301596,1022.935946,-4.882352941,0.017605178,0.9823906527919449,0.026896774360920344,0.034137725200267525,2.8561469140628764,0.00032588,1834125.3625071482,1649.7920495284795,5836.319513808735,0.000243472,0.002373059,1.4757707468237544e-07,4.0660183444795473e-07,GOOD,1.939072961544676,1.5277763122781245,264.7665874,1513.51186
SACRAMENTO VALLEY - BUTTE,Almonds & Pistachios,Sacramento River,9175.315501,4597.114389,0.850111155,3.61367267,0.287448101,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,3726.693796,20.521996966246995,3726.693796,490.4301596,3236.263637,-4.882352941,0.037475329,0.9625207155690605,0.036015836903300624,0.11429590994115318,0.4380980798725422,0.00027247,975050.8371843441,9175.315402982837,33156.578373168755,9.801716259971727e-05,0.008491422,1.0682702146758286e-08,2.561006152943935e-07,GOOD,3.0498974152879694,0.9610545813701002,4597.114389,3726.745022
SACRAMENTO VALLEY - BUTTE,Citrus & Subtropical,Sacramento River,1232.119926,991.5,3.85,2.972946835,0.183365181,0.094855843,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,148.6473418,3667.941401,24.344822695040733,3667.941401,490.4301596,3177.511241,-4.882352941,0.10776824218944425,0.8922169830027952,0.14983635167354156,0.05326271,2.4594697350300416,0.006243149,232.2638958435352,1232.1199238711033,3663.02615,2.128896767317201e-06,0.000884435,1.727832431237867e-09,2.4144925940095e-07,GOOD,0.49423381869050864,1.3903572019867076,991.5,3667.598762
SACRAMENTO VALLEY - BUTTE,Corn,Sacramento River,2269.927736,231.2932314,5.979401995,2.826875063,0.234536008,1.320694044672553,0.033525185,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.3437532,1240.7716951561565,9.261044510160309,1240.7716951561565,490.4301596,750.3415356,-4.882352941,0.052096765476189036,0.947876148,0.021954038,0.13779388037614734,3.3378893309430278,0.001468476,18233.906695921647,2269.9277068200618,6416.8003698839175,2.9179938337620115e-05,0.001741827,1.2855007617572947e-08,2.7144775548781323e-07,GOOD,2.644960375498291,0.4214088525991567,231.2932314,1240.062701
SACRAMENTO VALLEY - BUTTE,Cotton,Sacramento River,494.4033815,1699,0.8,2.633766816,0.148539114,1.334590964860844,0.041198802,0.68,0.17,378.6944542,1135.122209,199.4393382,50,131.6883408,1226.839652,9.779939435872524,1226.839652,490.4301596,736.4094921,-4.882352941,0.076118001,0.9238495249009571,0.025394151053908954,0.14453249283546496,0.4820585822956204,0.00297447,56902.187022458165,494.40337290631027,1302.1428759282614,8.593689756253298e-06,0.000343985,1.7381939682896964e-08,2.6416804356977435e-07,GOOD,1.8987951731454202,0.3336155801462545,1699,1225.98733
SACRAMENTO VALLEY - BUTTE,Cucurbits,Sacramento River,136.7563374,203,12,1.97136542,0.087908733,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,98.568271,2336.461468,23.307557018376357,2336.461468,490.4301596,1846.031309,-4.882352941,0.46296137435757295,0.5368637974015756,0.17789152624166912,0.062270831414042035,10.336798954200365,0.14624550774200537,2.6018818434417284e-05,136.7563374996767,269.5966646321819,-9.97E-08,4.988403082961668e-05,7.28863459006409e-10,1.8503204283899686e-07,GOOD,0.13450545739469513,0.38424701518246485,203,2331.889358
SACRAMENTO VALLEY - BUTTE,Dry Beans,Sacramento River,818.5191722,1333.986797,1.375133076,2.293810917,0.272510229,0.8579188204514863,0.0413722,1.68,0.17,521.9411016,903.6303871,214.6292221,50,114.6905459,1718.8566106259975,15.11912469862458,1718.8566106259975,490.4301596,1228.426451,-4.882352941,0.20649979184552947,0.7934293739801468,0.11638256511215309,0.5299766260252773,1.0087892760776187,0.000727213,931697.6692110635,818.5191773649959,1877.5277712983682,-5.16E-06,0.000441668,6.310171030955785e-09,2.3523896553213115e-07,GOOD,2.5664753522934403,0.5635965250716192,1333.986797,1718.54702
