g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland,omegasupply,omegalabor,omegawater,omegawater,mprof,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
SACRAMENTO VALLEY - BUTTE,Grain,Sacramento River,2300.647898,209.2083635,2.798122375,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,10,7.8906264,576.5491784234833,63.05713049958383,576.5491784234833,490.430159577321,86.1190188461626,-4.88235294117647,0.9946875018843024,0.004279165095533467,0.0008385780085768574,0.00019475501158717527,2.8034473653589336,0.0005873786043166833,38112.3234283005,2300.648926228498,1815.3550849696642,-0.0010282284979439282,0.00021913666682848998,4.4692997083029874e-07,1.2071282482982981e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Other Deciduous,Sacramento River,119757.6717,1713.112524,1.975664386,3.327741402,0.215021845,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,10,33.27741402,3350.35483499137,94.30408122855258,3350.35483499137,490.430159577321,2859.92467541405,-4.88235294117647,0.22130556675146176,0.77864898204071,2.2559615815365453e-05,2.289159201321108e-05,1.4536242603518454,6.423227491911645e-05,20319.225879877227,119757.67152826654,398522.33597806277,0.00017173346714116633,0.2263451509643346,1.434008065649178e-09,5.679606937304642e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Pasture,Sacramento River,5482.037297,183.9096376,5.0,3.965593094,0.350906068,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,10,39.65593094,879.196270655,21.703062373965096,879.196270655,490.430159577321,388.766111077679,-4.88235294117647,0.025905733358724887,0.9740841028212615,5.596576081698993e-06,4.567243931876363e-06,2.387586169772571,0.000357674384083179,153120.93715384972,5482.036919094619,21739.515004609704,0.0003779053804464638,0.014241423923522234,6.893520783838327e-08,6.550934825840619e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Rice,Sacramento River,124233.5304,564.60337,4.522228848,4.534377778,0.381523094,0.545092624,0.07948555,0.2,0.17,851.2633133,1216.2235,177.3500304,10,45.343777779999996,2506.9157684440183,52.46360117837124,2506.9157684440183,490.430159577321,2016.4856088667,-4.88235294117647,0.033313401313909474,0.9666783001793946,7.242415727025724e-06,1.056090968846589e-06,2.26137445469149,4.0246783488332704e-05,337655.40153757256,124233.52952081019,563321.4338286024,0.000879189814440906,0.3256996449781582,7.076912421390111e-09,5.78176929027053e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Safflower,Sacramento River,729.1708965,557.4262507,0.923770845,2.357007476,0.396694215,0.424242424,0.112947658,0.74,0.17,212.2655769,227.006242,60.43672676,10,23.57007476,490.43015957732075,20.013641272319436,490.43015957732075,490.430159577321,0.0,-4.88235294117647,0.24042932479345225,0.7593075350631284,0.00020781324160029746,5.532690181909241e-05,0.6966964053625044,0.001853271102615039,55.415655935825065,729.1715690404012,1718.661831010646,-0.0006725404011831415,-0.0005766785236573924,9.223357712318424e-07,3.3553937531540596e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Sunflowers,Sacramento River,1480.729793,3737.650652,0.6,2.873453662,0.386904762,0.388227513,0.177248677,0.74,0.17,734.0697039,736.5793439,336.2917618,10,28.73453662,2212.9034736279996,71.94416083756249,2212.9034736279996,490.430159577321,1722.47331405068,-4.88235294117647,0.3080240956586848,0.6918972068989273,5.4029706074371084e-05,2.4667736313631997e-05,0.4726866908525616,0.0009126252188209679,488734.6636511473,1480.7297824720838,4254.805999899633,1.0527916174396523e-05,0.0024462287192363874,7.109950933766701e-09,5.749327496663979e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Tomato Processing,Sacramento River,1136.166971,95.49029342,47.6427092,2.666779844,0.124471553,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,10,26.667798440000002,4521.9020551847325,157.47408144078946,4521.9020551847325,490.430159577321,4031.47189560741,-4.88235294117647,0.585179244662507,0.41472732964399245,6.89928969991931e-05,2.4432796501177872e-05,42.743480861373435,0.001189395032458967,877539.1276549469,1136.1669689705134,3029.9054643583363,2.0294867226766655e-06,0.001713322996693023,1.7862574555308609e-09,5.654704570864645e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Truck Crops,Sacramento River,59.07580698,327.8976781,22.35122389,2.662234731,0.139554281,0.396137579,0.419814805,0.40613956,0.17,7441.94487,27484.23099,27982.75263,10,26.62234731,7301.33656224925,253.09868193404787,7301.33656224925,490.430159577321,6810.90640267193,-4.88235294117647,0.6970290596050147,0.30289304621114843,3.781692903705511e-05,4.007725479987883e-05,20.77445862787042,0.04167878433297562,13930.78208178052,59.07580694675082,157.27357823598533,3.324918651514963e-08,8.686802289048501e-05,5.62822383897457e-10,5.523367363063451e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Alfalfa,Sacramento River,11261.861,268.0556717,6.656597948,3.537610105,0.306290873,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,10,35.37610105,1748.2980033999818,47.15125265203607,1748.2980033999818,475.896040943,1272.40196245698,-4.88235294117647,0.09379958196847879,0.9061811904591033,1.0754337107490613e-05,8.47323531033582e-06,4.116600829544713,4.77393930365639e-05,15572570.671837127,11261.860374888138,39840.04941898744,0.0006251118629734265,0.023855717969127,5.550697730805117e-08,5.987870003309726e-07,GOOD,0,0
SACRAMENTO VALLEY - COLUSA,Almonds & Pistachios,Sacramento River,223442.6209,4602.806717,0.843295181,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,10,36.136726700000004,3844.707203729531,100.40573710183345,3844.707203729531,475.896040943,3368.81116278653,-4.88235294117647,0.1672447090777922,0.832738181699861,1.3009722643412326e-05,4.0994997032138595e-06,0.5857986011073926,1.1188554761532514e-05,24717442.130175762,223442.61982917262,807448.0545082234,0.0010708273912314326,0.4379512774758041,4.792404362776755e-09,5.423891202543428e-07,GOOD,0,0
