g,i,hr,xland,p,y,xwater,omegaland,omegawater_unit,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
DEL PUERTO WATER DISTRICT,Truck Crops,San Joaquin River,48.43551713,837.0086212,18.74292924,2.667732673,0.139554281,133.38663365000002,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,50,15553.651220106562,111.21563213531823,15553.651220106562,778.409806561245,14775.2414135453,-4.88235294117647,0.4920134279588477,0.5079607610002732,1.2531029317178375e-05,1.3280011561944046e-05,16.23725527716792,0.05035611333925904,25599.50992278799,48.43551609046763,129.21286506768257,1.0395323712941718e-06,0.0001465136696197078,2.1462192062574386e-08,1.1338925378073333e-06,GOOD,837.0086212,15615.86988
DEL PUERTO WATER DISTRICT,Vineyard,San Joaquin River,772.4922471,1659.744887,10.99858551,3.098484515,0.302297005,154.92422575,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50,18099.114982298786,111.63839254014519,18099.114982298786,778.409806561245,17320.7051757375,-4.88235294117647,0.3184658392437739,0.6815252828497936,3.5274514578150775e-06,5.350454974650031e-06,8.715958261403525,0.009957779798030664,793.7501985651672,772.4922417354284,2393.552373300353,5.364571620702918e-06,0.0028922965507263143,6.944498978264138e-09,1.2083684017235487e-06,GOOD,1659.744887,18158.03315
EAGLE FIELD W.D.,Cotton,San Joaquin River,714.320309,3810.565698,0.8,3.634047537,0.148539114,181.70237684999998,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50,2866.0781740100006,15.919385612008881,2866.0781740100006,2866.07817401,0.0,-4.88235294117647,0.0281527566699833,0.9718421016993306,4.373255913823308e-06,7.683747723043448e-07,0.3899462705043309,0.002058723820064477,16.579612803371344,714.3203161400312,2595.851092647043,-7.14003124357987e-06,0.022866903485464718,9.99555963007048e-09,8.808942129618683e-06,GOOD,3810.565698,2915.717536
FIREBAUGH CANAL W.D.,Alfalfa,San Joaquin River,758.348669,264.0,7.7,4.134965358,0.306290873,206.74826789999997,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1825.387002362,9.334034135020412,1825.387002362,619.294661245,1206.092341117,-4.88235294117647,0.008558917512472342,0.9914394021129049,9.398646260051731e-07,7.405099967022355e-07,2.968715045966813,0.00070895411382617,993987.7958884002,758.3488086889122,3135.742781517602,-0.00013968891221338708,0.0026940828061015054,1.8420143388342533e-07,8.59152258072114e-07,GOOD,264,1861.155885
FIREBAUGH CANAL W.D.,Almonds & Pistachios,San Joaquin River,8134.667215,4653.159559,1.382801469,3.899491854,0.287448101,194.9745927,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,6238.740487885591,31.320354639836683,6238.740487885591,619.294661245,5619.44582664059,-4.88235294117647,0.0399857914556689,0.9600116876050273,1.9169030875074486e-06,6.04036216122233e-07,0.719690667857127,0.0003073266470434218,1500995.1221661095,8134.667321874287,31721.03820726178,-0.00010687428675737465,0.030332631587953074,1.313812648172045e-08,9.562298177252714e-07,GOOD,4653.159559,6281.654713
FIREBAUGH CANAL W.D.,Corn,San Joaquin River,96.84837588,71.0,20.6,2.415829265,0.234536008,120.79146325,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50,1340.928775793,11.448494827195479,1340.928775793,619.294661245,721.634114548,-4.88235294117647,0.13018904683821547,0.8697483200578461,5.402548283939276e-05,8.607621099115646e-06,13.811002251265574,0.0344180612534329,748.2099949762938,96.84839982879524,233.96896922349262,-2.3948795231376607e-05,0.0001714951315250346,2.472813303658325e-07,7.329818411021904e-07,GOOD,71,1403.357929
FIREBAUGH CANAL W.D.,Cotton,San Joaquin River,4267.500545,3438.0,0.8,3.634047537,0.148539114,181.70237684999998,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50,2568.0256156100004,14.362919333161575,2568.0256156100004,619.294661245,1948.730954365,-4.88235294117647,0.025299278667835677,0.9746955646049391,4.386096398409238e-06,7.70630826972631e-07,0.3820441065307654,0.0003446017685966382,1299568.35664226,4267.500929155424,15508.285637092104,-0.0003841554243990686,0.014207611302481382,9.001883429145962e-08,9.161295206278687e-07,GOOD,3438,2617.664977
FIREBAUGH CANAL W.D.,Cucurbits,San Joaquin River,1230.088879,485.0,17.3,2.299627126,0.087908733,114.98135629999999,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50,8274.548383133999,68.91626522282273,8274.548383133999,619.294661245,7655.253721889,-4.88235294117647,0.5523781152145842,0.4475629828802108,1.5272462532363588e-05,4.3629442672548295e-05,15.363425220099376,0.01625898773774704,0.0009704684810315048,1230.0888840377968,2828.7430780316527,-5.037796881879331e-06,0.002675507678759459,4.095473886386815e-09,9.458282616639757e-07,GOOD,485,8336.64689
FIREBAUGH CANAL W.D.,Grain,San Joaquin River,1721.821751,303.0,2.9,0.466656841,0.351483763,23.33284205,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,854.416359827,34.461766724233144,854.416359827,619.294661245,235.121698582,-4.88235294117647,0.998639941276978,0.00065986947074138,0.000568222729117127,0.00013196652316355107,2.9156354424600037,0.0007848381230905658,77674.22481023376,1721.8278868942484,803.5019961575325,-0.0061358942484730505,-0.0020970707839751412,3.5636059568358018e-06,2.6099204074059683e-06,GOOD,303,875.5715158
FIREBAUGH CANAL W.D.,Onions & Garlic,San Joaquin River,248.9715926,2366.0,7.7,1.480822037,0.178481578,74.04110185,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50,18143.324924549997,231.72820277494176,18143.324924549997,619.294661245,17524.030263305,-4.88235294117647,0.9729684600067496,0.02699638839937586,2.054163505406534e-05,1.4609958820392302e-05,7.663348646144287,0.009796396306796578,156069.2121222111,248.9715975717938,368.6822898152985,-4.97179379976842e-06,0.0003310937676701542,1.9969321591464245e-08,8.98045497381383e-07,GOOD,2366,18195.43769
FIREBAUGH CANAL W.D.,Other Deciduous,San Joaquin River,463.8898093,1850.0,7.8,3.445837194,0.215021845,172.2918597,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50,14256.804986433997,79.34903470890117,14256.804986433997,619.294661245,13637.510325189,-4.88235294117647,0.16458793268607544,0.8354041232816735,3.9430044694831385e-06,4.001027781696449e-06,5.403442834564045,0.0165821872739891,375.29548560660237,463.88981067110666,1598.4872520178728,-1.3711066344512801e-06,0.0015067856343193853,2.9556731080604062e-09,9.426313610408102e-07,GOOD,1850,14310.35891
FIREBAUGH CANAL W.D.,Pasture,San Joaquin River,532.7035162,170.0,5.0,4.600187047,0.350906068,230.00935235000003,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50,619.294661245,3.5089080031368143,619.294661245,619.294661245,0.0,-4.88235294117647,0.001562480117890117,0.9984366497376368,4.791338039142091e-07,3.910106691196246e-07,1.4201224842247786,0.0036808172916007686,13.418031594302269,532.6964079580817,2450.4999699559266,0.007108241918217573,0.035845158668053045,1.3343711280382897e-05,1.4627477977250789e-05,GOOD,170,637.6868049
FIREBAUGH CANAL W.D.,Tomato Processing,San Joaquin River,3626.49182,93.0,51.2,2.379660861,0.124471553,118.98304305,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50,4641.770529743,37.84425595082051,4641.770529743,619.294661245,4022.475868498,-4.88235294117647,0.3614708505496949,0.638472929754634,4.1517055185187504e-05,1.4702640486015852e-05,41.78492806768107,0.00037263322748963253,2794736.538193863,3626.492223551268,8629.813294386839,-0.0004035512679365638,0.007352403819822939,1.1127869245726406e-07,8.519764338969458e-07,GOOD,93,4704.125715
FIREBAUGH CANAL W.D.,Truck Crops,San Joaquin River,222.6026133,941.0,19.4,2.667732673,0.139554281,133.38663365000002,0.396137579,0.419814805,0.41,0.17,7441.94487,27484.23099,27982.75263,50,18121.057859685,129.41654195272628,18121.057859685,619.294661245,17501.76319844,-4.88235294117647,0.5301705490074566,0.46980557873324924,1.158976821140153e-05,1.2282491082888988e-05,17.06133724797534,0.010956854252905136,139362.05693793678,222.60261603919506,593.8437190643107,-2.739195053891308e-06,0.0005455312837057136,1.2305314000063934e-08,9.186436852719597e-07,GOOD,941,18183.27652
FRESNO SLOUGH W.D.,Almonds & Pistachios,Tulare Lake,180.5327118,4738.0,1.1,4.141037405,0.287448101,207.05187024999998,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,5004.067336659,23.89426375124794,5004.067336659,841.972973977,4162.094362682,-4.88235294117647,0.02292200873664999,0.9770761895810784,1.3699855067794896e-06,4.316967649801269e-07,0.5118630304033684,0.01384790587297875,24672.98004075538,180.53260546543126,747.5875485135144,0.00010633456872710667,0.005163876370374965,5.890044395107052e-07,6.90733909626703e-06,GOOD,4738,5039.637299
FRESNO SLOUGH W.D.,Cotton,Tulare Lake,171.3936328,3438.0,0.8,3.749301711,0.148539114,187.46508555,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50,2562.2629069100003,13.922977805208799,2562.2629069100003,841.972973977,1720.289932933,-4.88235294117647,0.021097815104296484,0.9788978748774658,3.665921163352587e-06,6.440970742812398e-07,0.36826385619982926,0.008580180087612434,46075.959363658876,171.3932650854909,642.6008799215996,0.00036771450911032844,0.005560789946230216,2.1454385621163427e-06,8.65349239275109e-06,GOOD,3438,2609.155359
FRESNO SLOUGH W.D.,Grain,Tulare Lake,199.5809002,303.0,2.9,0.715524558,0.351483763,35.7762279,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,841.9729739769999,22.785867342840877,841.9729739769999,841.972973977,0.0,-4.88235294117647,0.9910828089107777,0.008212035072593065,0.0005722533942321044,0.00013290262239718548,2.9198596066001494,0.006770945265790276,13.439141580110872,199.58144718934966,142.8045345653106,-0.0005469893496581335,0.0005008355365134776,2.740689861154026e-06,3.507127988222932e-06,GOOD,303,872.6294479
FRESNO SLOUGH W.D.,Onions & Garlic,Tulare Lake,160.0698856,2366.0,7.7,1.253629891,0.178481578,62.681494550000004,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50,18154.684531849998,273.1723023073816,18154.684531849998,841.972973977,17312.711557873,-4.88235294117647,0.9896620518382303,0.01030221583049421,2.0881002190471958e-05,1.4851329084971795e-05,7.68911127334455,0.015237247038076865,99130.71258338736,160.06988195445174,200.66717651869658,3.6455482472774747e-06,0.001216718413900253,2.2774728885527954e-08,6.063328630247087e-06,GOOD,2366,18201.65015
FRESNO SLOUGH W.D.,Tomato Processing,Tulare Lake,116.6653386,93.0,51.2,2.220206136,0.124471553,111.0103068,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50,4649.743265993,40.54165520846828,4649.743265993,841.972973977,3807.770292016,-4.88235294117647,0.4602524641506044,0.5396760753504061,5.277206581597402e-05,1.8688433173686534e-05,43.889156087037684,0.011583143438897553,85108.72179593249,116.6652775786102,259.01936478780254,6.102138979713345e-05,0.0017358304351091647,5.230464380371965e-07,6.701502043524809e-06,GOOD,93,4711.46042
GRASSLANDS W.D.,Alfalfa,San Joaquin River,689.7245575,282.0,6.8,4.134965358,0.306290873,206.74826789999997,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1710.187002362,8.805068800332123,1710.187002362,769.294661245,940.892341117,-4.88235294117647,0.008023188680615976,0.9919751300367645,9.403724853092576e-07,7.409101339998709e-07,2.590868215370924,0.0007794914691030855,705307.1131052274,689.7248116060471,2851.983557529447,-0.0002541060471230594,0.0035942949316449813,3.684167025226725e-07,1.2602773926754048e-06,GOOD,282,1745.955885
