g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
CENTRAL CALIFORNIA I.D.,Alfalfa,San Joaquin River,18061.91572,290.4258221,6.981811447,4.134965358,571.5529894,206.7482679,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255,565.4741469,1.320687545,565.4741469,0.17,68.61215883,496.8619881,-4.882352941,0.005330553,0.991463115,0.001434528,0.001771804,2.690447431,2.98E-05,20966457.89,18061.91414,74685.36877,0.001578266,0.027033318,8.74E-08,3.62E-07,GOOD,290.4258221,565.4741469
CENTRAL CALIFORNIA I.D.,Almonds,San Joaquin River,31257.93981,4775.762292,1.018616781,4.125499535,1058.3111,206.2749768,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,1679.029036,1.454344131,1679.029036,0.17,68.61215883,1610.416877,-4.882352941,0.012832728,0.978161305,0.002134919,0.006871048,0.469576695,8.00E-05,2738977.38,31257.93958,128954.582,0.000231941,0.034167921,7.42E-09,2.65E-07,GOOD,4775.762292,1679.029036
CENTRAL CALIFORNIA I.D.,Beans Dry,San Joaquin River,604.3461002,1593.773361,1.285477627,2.212101358,174.4872303,110.6050679,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516,585.5199417,1.333479076,585.5199417,0.17,68.61215883,516.9077828,-4.882352941,0.10447712,0.733564561,0.020010397,0.141947922,0.991633901,0.000984929,387090.6028,604.3462314,1336.874777,-0.000131159,5.18E-05,2.17E-07,3.88E-08,GOOD,1593.773361,585.5199417
CENTRAL CALIFORNIA I.D.,Corn,San Joaquin River,24481.00027,77.55530093,25.22861255,2.415829265,172.4592835,120.7914633,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293,399.0836594,1.196408306,399.0836594,0.17,68.61215883,330.4715006,-4.882352941,0.052941855,0.829948423,0.015856237,0.101253485,17.78155435,0.00013616,131768.123,24481.00136,59141.90398,-0.001088358,0.012912369,4.45E-08,2.18E-07,GOOD,77.55530093,399.0836594
CENTRAL CALIFORNIA I.D.,Cotton,San Joaquin River,17363.82935,3399.208415,0.729719844,3.634047537,368.4467916,181.7023768,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087,631.8730258,1.277916424,631.8730258,0.17,68.61215883,563.2608669,-4.882352941,0.0098805,0.97729429,0.001916623,0.010908587,0.341372032,8.47E-05,2527934.001,17363.82917,63100.96386,0.000175539,0.017426505,1.01E-08,2.76E-07,GOOD,3399.208415,631.8730258
CENTRAL CALIFORNIA I.D.,Cucurbits,San Joaquin River,3469.42306,384.0603914,14.86947686,2.299627126,267.5771763,114.9813563,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591,289.5988182,1.00325705,289.5988182,0.17,68.61215883,220.9866593,-4.882352941,0.04529776,0.545068317,0.303451984,0.106181938,12.70707858,0.005764647,0.000174686,3469.423089,7978.377446,-2.95E-05,0.001934308,8.49E-09,2.42E-07,GOOD,384.0603914,289.5988182
CENTRAL CALIFORNIA I.D.,Field and Grain,San Joaquin River,4649.326061,194.8087562,3.454627792,2.917058441,127.4152527,72.92646103,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,68.61215883,1.060499947,68.61215883,0.17,68.61215883,0,-4.882352941,0.013823801,0.957683556,0.005380103,0.02311254,1.850487538,0.000290655,113490.2909,4649.327092,13562.35135,-0.001030578,0.004483616,2.22E-07,3.31E-07,GOOD,194.8087562,68.61215883
CENTRAL CALIFORNIA I.D.,Grapes,San Joaquin River,317.6252245,1686.199914,10.80135885,3.098484515,5693.452831,154.9242258,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,1764.328209,1.054534307,1764.328209,0.17,68.61215883,1695.71605,-4.882352941,0.131318485,0.682024451,0.106553789,0.080103276,8.556948336,0.024218189,139.22818,317.6252246,984.1566016,-1.40E-07,0.000238076,4.40E-10,2.42E-07,GOOD,1686.199914,1764.328209
CENTRAL CALIFORNIA I.D.,Lettuce,San Joaquin River,163.5166498,1008,18.9,3.326092372,1600,216.1960042,12500,929,0.25,65,0.083984211,0.048763332,0.656126648,3806.003996,1.190145407,3806.003996,0.17,68.61215883,3737.391837,-4.882352941,0.056762599,0.802234003,0.131248975,0.009754424,13.59299947,0.024462341,3996.254595,163.5166499,543.8713823,-6.52E-08,9.93E-05,3.99E-10,1.83E-07,GOOD,1008,3806.003996
CENTRAL CALIFORNIA I.D.,Onions and Garlic,San Joaquin River,163.1776124,1579.216395,6.547714821,1.480822037,1660.207972,74.04110185,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415,1398.06279,1.10128044,1398.06279,0.17,68.61215883,1329.450631,-4.882352941,0.283971634,0.04674413,0.26877367,0.400510566,6.493378023,0.014947053,17450.6334,163.1776156,241.6369554,-3.19E-06,4.90E-05,1.95E-08,2.03E-07,GOOD,1579.216395,1398.06279
CENTRAL CALIFORNIA I.D.,Orchards,San Joaquin River,960.3408841,4762.917744,3.247388671,3.445837194,2203.997553,172.2918597,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127,2113.315653,1.103101512,2113.315653,0.17,68.61215883,2044.703494,-4.882352941,0.049250913,0.825520982,0.060997939,0.064230165,2.276276862,0.008009976,242.0461396,960.3408841,3309.177518,5.68E-09,0.000819135,5.92E-12,2.48E-07,GOOD,4762.917744,2113.315653
CENTRAL CALIFORNIA I.D.,Pasture,San Joaquin River,2800.474888,226.9343417,5,4.600187047,214.8235605,46.00187047,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702,192.6338469,1.14712982,192.6338469,0.17,68.61215883,124.0216881,-4.882352941,0.005075434,0.986439143,0.001602254,0.006883169,2.089814959,0.000700161,68115.42196,2800.474534,12882.69015,0.000353824,0.018155086,1.26E-07,1.41E-06,GOOD,226.9343417,192.6338469
CENTRAL CALIFORNIA I.D.,Pistachios,San Joaquin River,3141.203196,4897.401316,1.414819371,3.805829794,1806.455069,190.2914897,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284,2783.41504,1.591834969,2783.41504,0.17,68.61215883,2714.802882,-4.882352941,0.033608303,0.950657759,0.002640955,0.013092984,0.768288117,0.000795873,466314.6961,3141.203189,11954.88166,7.31E-06,0.003053544,2.33E-09,2.55E-07,GOOD,4897.401316,2783.41504
CENTRAL CALIFORNIA I.D.,Rice,San Joaquin River,2296.076347,573.2274458,4.688550562,4.833919598,335.3762222,241.6959799,192.0996257,1541.750863,0.2,50,0.124786237,0.573652143,0.071476115,376.6831724,1.107620191,376.6831724,0.17,68.61215883,308.0710135,-4.882352941,0.001337383,0.995406116,0.0003608,0.002895701,1.587048734,0.002177628,1990.933941,2296.076275,11099.0451,7.20E-05,0.003349521,3.14E-08,3.02E-07,GOOD,573.2274458,376.6831724
CENTRAL CALIFORNIA I.D.,Safflower,San Joaquin River,20.02050493,575.1459791,1.245291589,2.40565496,140.0879783,120.282748,80.89587427,303.852797,0.74,50,0.195592287,0.424242424,0.112947658,71.10505265,1.05735237,71.10505265,0.17,68.61215883,2.492893822,-4.882352941,0.022621131,0.93616799,0.008664851,0.032546027,0.73599316,0.067498365,546.8693431,20.02051277,48.16243912,-7.84E-06,-1.21E-05,3.92E-07,2.52E-07,GOOD,575.1459791,71.10505265
CENTRAL CALIFORNIA I.D.,Subtropical,San Joaquin River,162.9618373,950.3385633,4.405405823,3.247465856,846.2602941,162.3732928,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361,698.0244571,1.142940118,698.0244571,0.17,68.61215883,629.4122983,-4.882352941,0.028036452,0.926939772,0.032850505,0.012173271,2.598749769,0.047203123,14.26568046,162.9618375,529.2128739,-2.04E-07,0.000128611,1.25E-09,2.43E-07,GOOD,950.3385633,698.0244571
CENTRAL CALIFORNIA I.D.,Truck,San Joaquin River,184.4205052,690.3355797,21.20927139,2.667732673,775.1695468,133.3866337,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021,5946.476384,1.603707682,5946.476384,0.17,68.61215883,5877.864225,-4.882352941,0.21990558,0.525351626,0.140646152,0.114096642,18.24124919,0.013225343,43889.22966,184.4205058,491.9844929,-6.40E-07,0.000114429,3.47E-09,2.33E-07,GOOD,690.3355797,5946.476384
