g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,CS_land,CS_labor,CS_supply,sigma,xland_lp,lambdacrop,lambdaland,lambdawater,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,omega_suppl_unit,omega_labor_unit,xsupplies_base,xlabor_base,xlandcalib,xwatercalib,xsuppcalib,xlaborcalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
CENTRAL CALIFORNIA I.D.,Almonds,San Joaquin River,28641.94076,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,0.4,28670.5827,1581.993123,0,23.52100934,-1.5,0.371720169,0.357820298,0.064114062,0.206345471,0.79144599,8.73E-05,2483019.894,455.3980167,1465.658483,28641.94076,28641.94076,28664.18619,118254.0868,28647.09282,28650.43633,-22.24542867,-91.77350564,0.000776673,0.000776673,GOOD,4775.762292,1746.394692
CENTRAL CALIFORNIA I.D.,Beans Dry,San Joaquin River,933.0703639,1593.773361,1.285477627,2.212101358,174.4872303,50,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516,0.4,934.0034343,533.489085,0,23.52100934,-1.5,0.292405921,0.220999581,0.060120093,0.426474406,1.15001508,0.000637935,611975.1482,145.5634062,1032.584352,933.0703639,933.0703639,932.1372935,2061.982173,932.0428221,931.8747019,0.933070364,2.064046219,0.001,0.001,GOOD,1593.773361,191.1383725
CENTRAL CALIFORNIA I.D.,Corn,San Joaquin River,23561.0521,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293,0.4,23584.61315,342.2609167,0,23.52100934,-1.5,0.210440022,0.272668006,0.069985321,0.446906651,21.74042456,0.000141476,129789.2951,171.1787432,1093.099489,23561.0521,23561.0521,23537.49105,56862.5597,23547.57269,23537.18843,23.5610521,56.91947918,0.001,0.001,GOOD,77.55530093,-1409.182215
CENTRAL CALIFORNIA I.D.,Cotton,San Joaquin River,23112.34707,3399.208415,0.729719844,3.634047537,368.4467916,50,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087,0.4,23135.45942,546.3965597,0,23.52100934,-1.5,0.22509733,0.455419453,0.047744161,0.271739056,0.525042583,6.36E-05,3303933.851,194.0424101,1104.40523,23112.34707,23112.34707,23102.13408,83954.25345,23119.25599,23111.20064,10.2129911,37.11449514,0.000441885,0.000441885,GOOD,3399.208415,1682.313983
CENTRAL CALIFORNIA I.D.,Cucurbits,San Joaquin River,2512.831711,384.0603914,14.86947686,2.299627126,267.5771763,50,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591,0.4,2515.344543,235.5092671,0,23.52100934,-1.5,0.082052127,0.096161726,0.608769497,0.21301665,14.18155923,0.007959148,0.000130283,3732.550158,1306.069594,2512.831711,2512.831711,2510.318879,5772.79739,2511.003701,2511.042025,2.512831711,5.778575966,0.001,0.001,GOOD,384.0603914,-4972.136537
CENTRAL CALIFORNIA I.D.,Field and Grain,San Joaquin River,4831.875016,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,0.4,4686.619425,0,0,23.52100934,-1.5,0.103034989,0.570237743,0.061694043,0.265033225,2.302766795,0.000279674,117946.3204,76.29216244,327.7457083,4831.875016,4831.875016,4827.043141,14080.76694,4828.122676,4827.645365,4.831875016,14.0948618,0.001,0.001,GOOD,194.8087562,-361.6443672
CENTRAL CALIFORNIA I.D.,Grapes,San Joaquin River,109.2901182,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,0.4,109.3994083,1691.448726,0,23.52100934,-1.5,0.384071916,0.064617868,0.31471722,0.236592996,10.41794182,0.070384293,47.87868066,6051.355458,4549.18964,109.2901182,109.2901182,109.2647806,338.5552307,109.2695774,109.2666914,0.025337592,0.078508137,0.000231838,0.000231838,GOOD,1686.199914,-14657.79802
CENTRAL CALIFORNIA I.D.,Lettuce,San Joaquin River,384.117709,1008,18.9,3.326092372,1600,65,12500,929,0.25,65,0.083984211,0.048763332,0.656126648,0.4,384.5018267,3727.770946,0,23.52100934,-1.5,0.259350126,0.086940682,0.608486477,0.045222715,17.97369249,0.010413475,9370.698314,12500,929,384.117709,384.117709,383.9780997,1277.146628,383.98186,383.9975068,0.139609309,0.464353459,0.000363454,0.000363454,GOOD,1008,-14086
CENTRAL CALIFORNIA I.D.,Onions and Garlic,San Joaquin River,242.0243169,1579.216395,6.547714821,1.480822037,1660.207972,50,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415,0.4,242.2663412,1363.232361,0,23.52100934,-1.5,0.289946686,0.018814184,0.277590399,0.413648732,6.511112318,0.010077601,26175.16501,2894.594241,4313.35249,242.0243169,242.0243169,241.7822926,358.036547,241.8130644,241.810712,0.242024317,0.358394942,0.001,0.001,GOOD,1579.216395,-7338.938308
CENTRAL CALIFORNIA I.D.,Orchards,San Joaquin River,952.0058482,4762.917744,3.247388671,3.445837194,2203.997553,50,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127,0.4,952.957854,2032.266084,0,23.52100934,-1.5,0.251646253,0.096262212,0.317630295,0.334461241,3.069098535,0.008080106,239.2429587,5347.052266,5630.387791,952.0058482,952.0058482,951.8438029,3279.898779,951.8021128,951.812846,0.16204535,0.558381893,0.000170215,0.000170215,GOOD,4762.917744,-8468.519866
CENTRAL CALIFORNIA I.D.,Pasture,San Joaquin River,2751.172496,226.9343417,5,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702,0.4,2753.923668,84.43280444,0,23.52100934,-1.5,0.119611056,0.608112236,0.051412455,0.220864254,2.951450069,0.000712709,59098.10915,128.6294508,552.5829798,2751.172496,2751.172496,2753.923668,12668.56399,2752.356681,2753.691666,-2.751172471,-12.65590796,0.001,0.001,GOOD,226.9343417,-679.1016494
CENTRAL CALIFORNIA I.D.,Pistachios,San Joaquin River,2317.500868,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284,0.4,2319.818369,2693.898082,0,23.52100934,-1.5,0.5157052,0.238061837,0.041330413,0.204902551,1.213152511,0.001078748,342444.5723,360.6739904,1788.10266,2317.500868,2317.500868,2318.155993,8822.507146,2318.19814,2318.372677,-0.655125142,-2.493294786,0.000282686,0.000282686,GOOD,4897.401316,892.1695966
CENTRAL CALIFORNIA I.D.,Rice,San Joaquin River,2000.559108,573.2274458,4.688550562,4.833919598,335.3762222,50,192.0996257,1541.750863,0.2,50,0.124786237,0.573652143,0.071476115,0.4,2002.559667,262.9845044,0,23.52100934,-1.5,0.097942206,0.618253836,0.031443677,0.252360281,2.71198235,0.002499301,1613.139978,192.0996257,1541.750863,2000.559108,2000.559108,2002.559667,9680.212421,2002.749903,2002.581757,-2.000559108,-9.670541879,0.001,0.001,GOOD,573.2274458,-1545.999265
CENTRAL CALIFORNIA I.D.,Subtropical,San Joaquin River,103.0848701,950.3385633,4.405405823,3.247465856,846.2602941,50,1809.449159,670.5198376,0.13,50,0.202134149,0.160157528,0.432197361,0.4,103.187955,621.6407824,0,23.52100934,-1.5,0.274624722,0.261406141,0.338523815,0.125445322,3.74332325,0.074621113,8.97652584,1809.449159,670.5198376,103.0848701,103.0848701,102.9885452,334.451784,102.9924407,103.0086208,0.096324918,0.312811883,0.000934423,0.000934423,GOOD,950.3385633,-2425.890727
CENTRAL CALIFORNIA I.D.,Tomatoes,San Joaquin River,7760.773398,99.69467136,46.73447582,2.379660861,122.4440466,50,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875,0.4,7768.534171,1524.132706,0,23.52100934,-1.5,0.321191407,0.125279805,0.373260128,0.18026866,43.84952393,0.000174126,2448128.823,1913.505271,924.141116,7760.773398,7760.773398,7753.012625,18449.5407,7752.154321,7751.846912,7.760773398,18.46800871,0.001,0.001,GOOD,99.69467136,-2910.395762
CENTRAL CALIFORNIA I.D.,Truck,San Joaquin River,451.6400536,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021,0.4,452.0916937,5883.728618,0,23.52100934,-1.5,0.435222421,0.055856808,0.280980462,0.227940309,20.59629064,0.005400372,107578.0942,4298.997918,3487.484178,451.6400536,451.6400536,451.1884135,1203.650073,451.1921539,451.1914814,0.451640051,1.204854922,0.001,0.001,GOOD,690.3355797,-7921.316063
CENTRAL CALIFORNIA I.D.,Walnuts,San Joaquin River,5066.976166,1802.497789,1.658526763,4.952669773,765.1413128,50,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,0.4,5072.043142,775.5525357,0,23.52100934,-1.5,0.232076178,0.604538695,0.040384536,0.123000591,0.974383924,0.001518126,463.1074617,268.1025116,816.5691826,5066.976166,5066.976166,5072.043142,25120.15476,5071.902955,5071.325902,-5.066976166,-25.0950597,0.001,0.001,GOOD,1802.497789,-97.315218
CITY OF TRACY,Alfalfa,San Joaquin River,55.10480116,290.4258221,6.981811447,4.134965358,571.5529894,50,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255,0.4,54.99933196,141.3685367,565.4741469,0,-1.5,0.345445261,0.469746594,0.082684033,0.102124112,4.88981814,0.00975658,42682.75612,305.9903334,377.9325916,55.10480116,55.10480116,55.04969636,227.6285874,52.90445289,52.90445731,0.055104801,0.227856444,0.001,0.001,GOOD,290.4258221,-1015.050092
CITY OF TRACY,Beans Dry,San Joaquin River,105.4692014,1593.773361,1.285477627,2.212101358,174.4872303,50,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516,0.4,105.5746706,161.4143315,565.4741469,0,-1.5,0.368898623,0.148930533,0.059573538,0.422597305,1.195028825,0.005643715,32819.98228,145.5634062,1032.584352,105.4692014,105.4692014,105.5243062,233.4304611,99.46135229,99.46138242,-0.055104801,-0.121897406,0.000522473,0.000522473,GOOD,1593.773361,191.1383725
COLUMBIA CANAL CO.,Almonds,San Joaquin River,11538.26395,4775.762292,1.018616781,4.125499535,1058.3111,50,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,0.4,11549.80221,1506.272834,0,41.8752205,-1.5,0.334727438,0.414537808,0.059438184,0.19129657,0.75248199,0.00021667,971585.8327,455.3980167,1465.658483,11538.26395,11538.26395,11540.02281,47608.35872,11539.26715,11539.40769,-1.758857121,-7.256164235,0.000152437,0.000152437,GOOD,4775.762292,1746.394692
COLUMBIA CANAL CO.,Corn,San Joaquin River,29.13194869,77.55530093,25.22861255,2.415829265,172.4592835,50,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293,0.4,29.16108064,297.9202763,0,41.8752205,-1.5,0.183164052,0.324530703,0.066656366,0.425648878,21.04543004,0.114421914,146.6530026,171.1787432,1093.099489,29.13194869,29.13194869,29.10281674,70.30743638,29.1073154,29.1027795,0.029131949,0.070377814,0.001,0.001,GOOD,77.55530093,-1409.182215
COLUMBIA CANAL CO.,Cotton,San Joaquin River,135.3993331,3399.208415,0.729719844,3.634047537,368.4467916,50,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087,0.4,135.5347324,479.6964839,0,41.8752205,-1.5,0.190184263,0.51865702,0.043511296,0.247647421,0.493532428,0.010861119,17944.29108,194.0424101,1104.40523,135.3993331,135.3993331,135.2639338,491.5555654,135.2685873,135.2660629,0.135399333,0.492047613,0.001,0.001,GOOD,3399.208415,1682.313983
COLUMBIA CANAL CO.,Field and Grain,San Joaquin River,8.72700116,194.8087562,3.454627792,2.917058441,127.4152527,25,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,0.4,0,0,0,41.8752205,-1.5,0.084753225,0.646491568,0.05074751,0.218007697,2.127457973,0.154847161,213.0265521,76.29216244,327.7457083,8.72700116,8.72700116,8.718274159,25.43171523,8.125589458,8.119425194,0.008727001,0.025457172,0.001,0.001,GOOD,194.8087562,-361.6443672
COLUMBIA CANAL CO.,Grapes,San Joaquin River,31.5693198,1686.199914,10.80135885,3.098484515,5693.452831,50,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,0.4,31.60088912,1634.578487,0,41.8752205,-1.5,0.376158751,0.079699496,0.31062508,0.233516673,10.32743813,0.24366403,13.72363345,6051.355458,4549.18964,31.5693198,31.5693198,31.5477183,97.75011663,31.5479182,31.54772918,0.021601503,0.066931924,0.000684256,0.000684256,GOOD,1686.199914,-14657.79802
COLUMBIA CANAL CO.,Pasture,San Joaquin River,27.51344268,226.9343417,5,4.600187047,214.8235605,10,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702,0.4,20.99213622,0,0,41.8752205,-1.5,0.066088659,0.724342074,0.039571767,0.1699975,2.478830561,0.071266411,424.2669624,128.6294508,552.5829798,27.51344268,27.51344268,27.54095612,126.6935496,27.54455341,27.53932097,-0.027513443,-0.126566983,0.001,0.001,GOOD,226.9343417,-679.1016494
COLUMBIA CANAL CO.,Pistachios,San Joaquin River,1889.392969,4897.401316,1.414819371,3.805829794,1806.455069,50,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284,0.4,1891.282362,2624.045079,0,41.8752205,-1.5,0.482868349,0.282942237,0.039308893,0.194880522,1.173264996,0.001323176,274851.959,360.6739904,1788.10266,1889.392969,1889.392969,1887.803088,7184.657239,1888.030901,1887.929426,1.58988063,6.050815071,0.000841477,0.000841477,GOOD,4897.401316,892.1695966
COLUMBIA CANAL CO.,Truck,San Joaquin River,1.6301472,690.3355797,21.20927139,2.667732673,775.1695468,50,4298.997918,3487.484178,0.41,50,0.052943262,0.238191489,0.293617021,0.4,1.631777347,5834.76449,0,41.8752205,-1.5,0.427429781,0.069059243,0.277993657,0.225517318,20.45007266,1.496198865,385.4366168,4298.997918,3487.484178,1.6301472,1.6301472,1.628517053,4.34444815,1.628487399,1.628500571,0.001630147,0.004348797,0.001,0.001,GOOD,690.3355797,-7921.316063
