g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,sigma,CS_land,CS_labor,CS_supply
THE WEST SIDE I.D.,Beans Dry,San Joaquin River,46.49114046,1593.773361,1.285477627,2.21,174.4872294,50,145.5634067,1032.584353,1.68,50,0.17,0.085167238,0.504004546,0.071049516
WEST STANISLAUS I.D.,Beans Dry,San Joaquin River,946.4918189,1593.773361,1.285477627,2.21,174.4872294,50,145.5634067,1032.584353,1.68,50,0.17,0.085167238,0.504004546,0.071049516
WESTLANDS W.D.,Beans Dry,Tulare Lake,2634.203367,1326.519215,1.43231235,1.92,161.8168873,50,134.99336,957.6035241,1.68,50,0.17,0.085167238,0.504004546,0.071049516
SAN BENITO CO. W.D.,Berries,Central Coast,58.94612018,3173.779594,32.91702622,1.42,4726.112738,50,43531.43091,40464.20104,0.25,50,0.17,0.045238346,0.387323291,0.416682812
SANTA CLARA VALLEY W.D.,Berries,San Francisco Bay,17.51726105,4365.17382,23.99255765,1.75,4737.888206,50,43639.89276,40565.02069,0.25,50,0.17,0.045238346,0.387323291,0.416682812
WESTLANDS W.D.,Berries,Tulare Lake,2.915794563,7027.33636,10.36058171,2.39,3293.681512,50,30337.54739,28199.96014,0.25,50,0.17,0.045238346,0.387323291,0.416682812
BANTA-CARBONA I.D.,Corn,San Joaquin River,276.1600003,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
CENTRAL CALIFORNIA I.D.,Corn,San Joaquin River,26341.9987,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
COLUMBIA CANAL CO.,Corn,San Joaquin River,46.81321903,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
DEL PUERTO WATER DISTRICT,Corn,San Joaquin River,720.3183693,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
FIREBAUGH CANAL W.D.,Corn,San Joaquin River,317.7256519,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
GRASSLANDS W.D.,Corn,San Joaquin River,6.831384013,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
HENRY MILLER RECLAMATION DIST. 2131,Corn,San Joaquin River,5017.80244,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
JAMES I.D.,Corn,Tulare Lake,3148.344507,161.4386617,22.01452234,2.28,313.2553796,50,310.9294039,1985.508049,0.3,50,0.17,0.088141761,0.558669338,0.087487293
PACHECO W.D.,Corn,San Joaquin River,84.18721923,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
