g,i,hr,xland,p,y,xwater,omegaland,omegawater_x,omegasupply,omegalabor,theta,omegawater,sigma,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,xland_lp,lambdacrop,lambdaland,lambdawater,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,omega_suppl_unit,omega_labor_unit,xsupply_base,xlabor_base,xlandcalib,xwatercalib,xsuppcalib,xlaborcalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
CENTRAL CALIFORNIA I.D.,Onions and Garlic,San Joaquin River,939.8552181,1579.216395,6.547714821,1.48,1660.207976,74,2894.594244,4313.352488,0.41,50,0.4,0.160557684,0.417141646,0.279934415,1398.103887,1.101285501,1398.103887,940.7950827,1363.365134,6.19E-09,23.47213018,-1.5,0.289966917,0.018776079,0.277597577,0.413659428,6.511224559,0.002595107,101650.7188,2894.594244,4313.352488,939.8552181,939.8552181,938.9153535,1389.594723,938.9153535,938.9153535,0.939864607,1.390999619,0.00100001,0.00100001,GOOD,1579.216395,1398.103887
CENTRAL CALIFORNIA I.D.,Orchards,San Joaquin River,983.6340599,4762.917744,3.247388671,3.45,2203.997556,172.5,5347.052259,5630.387794,0.13,50,0.4,0.142496355,0.364024786,0.345706127,2113.107514,1.103084318,2113.107514,984.6177038,2032.128665,6.19E-09,23.47213018,-1.5,0.251583085,0.09646792,0.317560864,0.334388131,3.068651271,0.007820294,247.1832391,5347.052259,5630.387794,983.6340599,983.6340599,983.3487854,3392.553309,983.3487854,983.3487854,0.285274543,0.984197174,0.000290021,0.000290021,GOOD,4762.917744,2113.107514
CENTRAL CALIFORNIA I.D.,Pasture,San Joaquin River,2889.95792,226.9343417,5,4.6,214.82356,46,128.6294506,552.5829799,0.51,10,0.4,0.189326621,0.486998112,0.113362702,192.635718,1.147132098,192.635718,2892.847907,84.66391918,6.19E-09,23.47213018,-1.5,0.119805994,0.607684008,0.051456506,0.221053492,2.953135717,0.000678482,62127.31116,128.6294506,552.5829799,2889.95792,2889.95792,2892.847907,13307.10037,2892.847907,2892.847907,-2.889986848,-13.2939395,0.00100001,0.00100001,GOOD,226.9343417,192.635718
CENTRAL CALIFORNIA I.D.,Pistachios,San Joaquin River,4643.001498,4897.401316,1.414819371,3.81,1806.45507,190.5,360.6739901,1788.102657,0.4,50,0.4,0.260711671,0.25806301,0.052053284,2783.206532,1.591754908,2783.206532,4647.644546,2693.777716,6.19E-09,23.47213018,-1.5,0.515443905,0.23844131,0.041310576,0.204804209,1.212764318,0.000538445,686052.8767,360.6739901,1788.102657,4643.001498,4643.001498,4642.592888,17688.2789,4642.592888,4642.592888,0.408609555,1.556802406,8.80E-05,8.80E-05,GOOD,4897.401316,2783.206532
CENTRAL CALIFORNIA I.D.,Rice,San Joaquin River,2083.117257,573.2274458,4.688550562,4.83,335.3762229,241.5,192.0996255,1541.750862,0.2,50,0.4,0.124786237,0.573652143,0.071476115,376.8791528,1.107714132,376.8791528,2085.200395,263.508764,6.19E-09,23.47213018,-1.5,0.098182845,0.617564957,0.031493339,0.252758859,2.714837136,0.002400249,1681.18199,192.0996255,1541.750862,2083.117257,2083.117257,2085.200395,10071.51791,2085.200395,2085.200395,-2.083138109,-10.06155707,0.00100001,0.00100001,GOOD,573.2274458,376.8791528
CENTRAL CALIFORNIA I.D.,Subtropical,San Joaquin River,233.8920409,950.3385633,4.405405823,3.25,846.2602958,162.5,1809.44916,670.5198364,0.13,50,0.4,0.202134149,0.160157528,0.432197361,697.8977484,1.142898607,697.8977484,234.1259353,621.6133253,6.19E-09,23.47213018,-1.5,0.274528717,0.261655669,0.338411801,0.125403814,3.742497454,0.032888283,20.36670054,1809.44916,670.5198364,233.8920409,233.8920409,233.6581465,759.3889762,233.6581465,233.6581465,0.233894377,0.760156724,0.00100001,0.00100001,GOOD,950.3385633,697.8977484
CENTRAL CALIFORNIA I.D.,Tomatoes,San Joaquin River,8077.35747,99.69467136,46.73447582,2.38,396.8321367,119,961.6082333,2531.592592,0.74,50,0.4,0.085172131,0.543356034,0.206390095,650.1452461,1.106828659,650.1452461,8085.434908,594.2815762,6.19E-09,23.47213018,-1.5,0.193336779,0.125243737,0.187581138,0.493838346,43.85013346,0.000167301,1533698.784,961.6082333,2531.592592,8077.35747,8077.35747,8069.280032,19204.88648,8069.280032,8069.280032,8.077438163,19.22430283,0.00100001,0.00100001,GOOD,99.69467136,650.1452461
CENTRAL CALIFORNIA I.D.,Truck,San Joaquin River,15.47871927,690.3355797,21.20927139,2.67,775.1695529,133.5,4298.997922,3487.484185,0.41,50,0.4,0.052943262,0.238191489,0.293617021,5946.363,1.60368677,5946.363,15.49419814,5883.692413,6.19E-09,23.47213018,-1.5,0.435185597,0.055933924,0.280958216,0.227922263,20.59520352,0.157572752,3686.922925,4298.997922,3487.484185,15.47871927,15.47871927,15.4632404,41.28685186,15.4632404,15.4632404,0.015478874,0.041328593,0.00100001,0.00100001,GOOD,690.3355797,5946.363
CENTRAL CALIFORNIA I.D.,Walnuts,San Joaquin River,4176.461829,1802.497789,1.658526763,4.95,765.1413122,247.5,268.1025111,816.5691828,0.13,50,0.4,0.25594369,0.273146576,0.089681664,892.1778172,1.35751512,892.1778172,4180.638333,775.9907728,6.19E-09,23.47213018,-1.5,0.232409399,0.604017407,0.040431021,0.123142173,0.975131497,0.001841824,381.8255158,268.1025111,816.5691828,4176.461829,4176.461829,4180.638333,20694.15975,4180.638333,4180.638333,-4.176503635,-20.67369299,0.00100001,0.00100001,GOOD,1802.497789,892.1778172
CITY OF TRACY,Alfalfa,San Joaquin River,154.9026085,290.4258221,6.981811447,4.13,571.5529897,41.3,305.9903326,377.9325908,1.86,10,0.4,0.281872792,0.186385019,0.150905255,730.9224161,1.489186564,730.9224161,155.0575127,633.9825188,2.86E-07,23.47213006,-1.5,0.395292942,0.380449951,0.100333684,0.123923422,5.318588381,0.00347079,202889.7118,305.9903326,377.9325908,154.9026085,154.9026085,155.0421483,640.3240726,155.0421483,155.0421483,-0.139539837,-0.576299526,0.000900823,0.000900823,GOOD,290.4258221,730.9224161
CITY OF TRACY,Field and Grain,San Joaquin River,139.5354986,194.8087562,3.454627792,2.92,127.4152524,73,76.29216237,327.7457084,0.74,25,0.4,0.189326621,0.486998112,0.113362702,68.53862012,1.060370925,68.53862012,139.3164083,1.23E-07,2.86E-07,23.47213006,-1.5,0.102946171,0.570608204,0.061640862,0.264804763,2.301443259,0.009684642,3406.068772,76.29216237,327.7457084,139.5354986,139.5354986,139.3959617,407.0362082,139.3959617,139.3959617,0.139536892,0.407447726,0.00100001,0.00100001,GOOD,194.8087562,68.53862012
COLUMBIA CANAL CO.,Alfalfa,San Joaquin River,135.399622,290.4258221,6.981811447,4.13,571.5529897,41.3,305.9903326,377.9325908,1.86,10,0.4,0.281872792,0.186385019,0.150905255,730.9224161,1.489186564,730.9224161,135.535023,557.9690433,5.02E-08,41.87732998,-1.5,0.312739194,0.497897963,0.084721827,0.104641016,4.751478278,0.003970723,166162.6639,305.9903326,377.9325908,135.399622,135.399622,135.535023,559.7596449,135.535023,135.535023,-0.135400972,-0.559206016,0.00100001,0.00100001,GOOD,290.4258221,730.9224161
COLUMBIA CANAL CO.,Almonds,San Joaquin River,10935.78501,4775.762292,1.018616781,4.13,1058.311098,206.5,455.3980167,1465.658482,0.4,50,0.4,0.217550368,0.301286212,0.093613311,1678.804016,1.454241409,1678.804016,10946.7209,1505.850643,5.02E-08,41.87732998,-1.5,0.334309307,0.415227918,0.05937371,0.191089065,0.751937735,0.000228607,920702.1689,455.3980167,1465.658482,10935.78501,10935.78501,10937.69329,45172.67327,10937.69329,10937.69329,-1.908276109,-7.88118033,0.000174498,0.000174498,GOOD,4775.762292,1678.804016
COLUMBIA CANAL CO.,Corn,San Joaquin River,46.81321903,77.55530093,25.22861255,2.42,172.4592834,121,171.1787431,1093.099489,0.3,50,0.4,0.088141761,0.558669339,0.087487293,398.8751229,1.196248142,398.8751229,46.86003272,297.5319843,5.02E-08,41.87732998,-1.5,0.182782768,0.325530917,0.066572566,0.42511375,21.02778738,0.071204959,235.4676645,171.1787431,1093.099489,46.81321903,46.81321903,46.76640534,113.1747009,46.76640534,46.76640534,0.046813687,0.113289122,0.00100001,0.00100001,GOOD,77.55530093,398.8751229
COLUMBIA CANAL CO.,Cotton,San Joaquin River,15.17210531,3399.208415,0.729719844,3.63,368.4467917,181.5,194.0424094,1104.405231,0.68,50,0.4,0.148539114,0.445240339,0.078228087,632.0754022,1.27805634,632.0754022,15.18727757,480.0606944,5.02E-08,41.87732998,-1.5,0.190523029,0.517924825,0.04357009,0.247982055,0.493976918,0.096927104,2011.602116,194.0424094,1104.405231,15.17210531,15.17210531,15.15693305,55.01966698,15.15693305,15.15693305,0.015172257,0.055075292,0.00100001,0.00100001,GOOD,3399.208415,632.0754022
COLUMBIA CANAL CO.,Field and Grain,San Joaquin River,12.25061981,194.8087562,3.454627792,2.92,127.4152524,73,76.29216237,327.7457084,0.74,25,0.4,0.189326621,0.486998112,0.113362702,68.53862012,1.060370925,68.53862012,-7.23E-09,2.47E-08,5.02E-08,41.87732998,-1.5,0.084613487,0.647074418,0.05066384,0.217648255,2.125514482,0.110308815,299.038266,76.29216237,327.7457084,12.25061981,12.25061981,12.23836907,35.73603768,11.3959167,11.3959167,0.012250742,0.035772167,0.00100001,0.00100001,GOOD,194.8087562,68.53862012
COLUMBIA CANAL CO.,Grapes,San Joaquin River,31.56189444,1686.199914,10.80135885,3.1,5693.452825,155,6051.355455,4549.189642,0.13,50,0.4,0.312599493,0.249773629,0.332250166,1764.252442,1.05452945,1764.252442,31.59345665,1634.432719,5.02E-08,41.87732998,-1.5,0.376116726,0.079791489,0.310596555,0.233495229,10.32680588,0.243721355,13.7201326,6051.355455,4549.189642,31.56189444,31.56189444,31.53830172,97.76873532,31.53830172,31.53830172,0.023592722,0.073137439,0.000747507,0.000747507,GOOD,1686.199914,1764.252442
