g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater_unit,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,,pc,pimarginal
TRC02-CC-WAs,Truck Crops,San Joaquin River,205.7094683,5380.668006,9.092879264,2.667732673,0.139554281,133.38663365000002,1.1244727167916924,1.262909809962677,0.288158927,0.17,7441.94487,27484.23099,27982.75263,50,48791.42239791063,346.8454955,48791.42239791063,385.7163598,48405.70604,-4.882352941,0.7523721360992319,0.24761528181047324,0.26505122983488133,0.2501025481885101,8.582954079,0.016869943963976175,89258.35985517707,205.70946753376398,548.7773467850315,7.66236013305388e-07,0.000522944,3.724845626395448e-09,9.52925336823696e-07,GOOD,0.332418674,0.35228740820875265,,5380.668006,48567.39772
BUT-001,Alfalfa,North Coast,10605.70113,236,6.3,2.331077971,0.306290873,116.5538986,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1369.581372,12.079991215397628,1369.581372,855.1104161,514.4709556,-4.882352941,0.1586903630951053,0.8412681146726797,0.24244337772351657,0.3077121923354258,4.394230372170037,5.069296239937986e-05,5931711.419850639,10605.71326679367,24722.705052521724,-0.012136794,0.011218631,1.1443650467948244e-06,4.5377825641902096e-07,GOOD,1.939072961544676,1.5277763122781245,,236,1214.584799
BUT-001,Grain,North Coast,4195.162496,281,4.4,1.227063393,0.351483763,61.35316965,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,1174.0960322270003,18.89966003150927,1174.0960322270003,855.1104161,318.9856161,-4.882352941,0.8753670213087402,0.12418628352693944,0.6326122580367598,2.723907966,4.326978924518959,0.000322121,256652.47048661634,4195.170231170686,5147.7318851044765,-0.007735171,-0.001558576,1.8438310061396491e-06,3.0276962266656856e-07,GOOD,3.1117324505343373,0.7226823065494933,,281,1160.054995
BUT-001,Onions & Garlic,North Coast,240.0443817,204,28,1.699157349,0.178481578,84.95786745000001,0.8220938475297447,0.4158621200492846,0.41,0.17,887.6914461,1905.136225,1355.002253,50,5626.208158949999,63.409293161450336,5626.208158949999,855.1104161,4771.097743,-4.882352941,0.832603722,0.16729927652334717,0.3879487418369527,0.5454568060366722,27.052387788543573,0.010160722667077954,40968.977823845926,240.0443938905695,407.8726398308687,-1.22E-05,0.000535421,5.0784648264615986e-08,1.312714049157247e-06,GOOD,0.6551217479671209,0.46594644170006466,,204,5566.226778
BUT-001,Pasture,North Coast,3815.731408,197,4.5,3.069359746,0.350906068,30.69359746,0.10289172336777223,0.068524209,0.51,0.17,328.209843,177.7241242,145.0367898,10,855.1104161,26.897002455235135,855.1104161,855.1104161,0,-4.882352941,0.10453064655885982,0.8954271873375361,0.19304068726730328,0.23654679042095242,2.854335186,0.000513869,96.11275884,3815.711615,11711.702438034432,0.019793369669969252,0.1499472286704986,5.187306849866528e-06,1.280303266622243e-05,GOOD,2.262942000342034,1.8467377139832826,,197,791.7679855
BUT-001,Potatoes,North Coast,86.98386867,218,22.6,2.70089927,0.150675135,135.0449635,1.4974640784942694,0.060261523,0.41,0.17,793.9256634,2502.863999,502.0871398,50,4791.034066890001,34.56088261,4791.034066890001,855.1104161,3935.923651,-4.882352941,0.2171862721906731,0.782787876,0.068892978,0.34342595481356025,16.62500357222312,0.028039962,12247.037083133862,86.98387008921694,234.93437019790778,-1.42E-06,0.000297195,1.6315863510859667e-08,1.2650098616951047e-06,GOOD,1.5812507454985842,0.31720687248646934,,218,4560.348756
BUT-001,Truck Crops,North Coast,1400.077263,5796.485366,4.228743052,1.856129243,0.139554281,92.80646215,1.1244727167916924,1.262909809962677,0.250364991,0.17,7441.94487,27484.23099,27982.75263,50,24418.085248677173,248.9774552801085,24418.085248677173,855.1104161,23562.97483,-4.882352941,0.9277370814693979,0.072231918,0.3268300919300066,0.3083971308765546,4.1675391862387485,0.00285282,152164.34018244696,1400.0772707770755,2598.7205709434097,-7.78E-06,0.00377937,5.5547474114218105e-09,1.4543174968879359e-06,GOOD,0.332418674,0.35228740820875265,,5796.485366,24337.05949
COA-001,Alfalfa,Colorado River,47.55345072,266,7.5,6.349688555,0.306290873,317.4844278,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1676.8508425119999,5.9720415889256735,1676.8508425119999,1676.850843,0,-4.882352941,0.000635703,0.9993641608812999,0.000971212,0.001232675,1.7208507367560886,0.011305896847902829,15.824769029901331,47.55201586430461,301.9401027444088,0.001434856,0.009499043,3.017353469976251e-05,3.14590351352582e-05,GOOD,1.939072961544676,1.5277763122781245,,266,-21.44621278
COA-001,Citrus & Subtropical,Colorado River,6183.173311,2724.815777,3.903706125,5.904544846,0.183365181,295.2272423,0.094855843,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,10340.966538213534,34.23420000288456,10340.966538213534,1676.850843,8664.115696,-4.882352941,0.005978657,0.9940210517756842,0.008312469,0.002954855,1.375912408725792,0.001244071,3178.0550981305796,6183.1733248763485,36508.77978543266,-1.39E-05,0.044319957138213795,2.244211545173173e-09,1.2139519205076461e-06,GOOD,0.49423381869050864,1.3903572019867076,,2724.815777,8892.66865
COA-001,Corn,Colorado River,1014.780906,532,16.2,3.708931611,0.234536008,185.4465806,1.320694044672553,0.033525185,0.3,0.17,423.9938724,1022.014707,159.5840787,50,8432.073658,44.05174240858283,8432.073658,1676.850843,6755.222816,-4.882352941,0.070275768,0.9297188542634985,0.029614830910955247,0.18587662267519087,9.446268688150058,0.003284781,73366.87571152282,1014.7809471766511,3763.7486132634285,-4.12E-05,0.004367239,4.0576887998814145e-08,1.1603416095106349e-06,GOOD,2.644960375498291,0.4214088525991567,,532,7929.00256
